class	n_members	families	n_families	pure
class_1	1	RBMY	1	TRUE
class_2	1	RBMY	1	TRUE
class_3	1	RBMY	1	TRUE
class_4	1	RBMY	1	TRUE
class_5	1	RBMY	1	TRUE
class_6	1	RBMY	1	TRUE
class_7	2	RBMY	1	TRUE
class_8	3	RBMY	1	TRUE
class_9	1	RBMY	1	TRUE
class_10	1	RBMY	1	TRUE
class_11	1	AMY	1	TRUE
class_12	1	AMY	1	TRUE
class_13	1	AMY	1	TRUE
class_14	1	GOLGA8I	1	TRUE
class_15	1	GOLGA8I	1	TRUE
class_16	1	GOLGA8I	1	TRUE
class_17	1	GOLGA8I	1	TRUE
class_18	1	GOLGA8I	1	TRUE
class_19	1	GOLGA8I	1	TRUE
class_20	1	GOLGA8I	1	TRUE
class_21	1	DEFB	1	TRUE
class_22	1	DEFB	1	TRUE
class_23	1	DEFB	1	TRUE
class_24	1	DEFB	1	TRUE
class_25	1	DEFB	1	TRUE
class_26	1	DEFB	1	TRUE
class_27	1	DEFB	1	TRUE
class_28	1	DEFB	1	TRUE
class_29	1	DEFB	1	TRUE
class_30	1	DEFB	1	TRUE
class_31	1	APOL	1	TRUE
class_32	1	APOL	1	TRUE
class_33	1	APOL	1	TRUE
class_34	1	APOL	1	TRUE
class_35	1	APOL	1	TRUE
class_36	1	APOL	1	TRUE
class_37	1	GAGE	1	TRUE
class_38	10	GAGE	1	TRUE
class_39	1	GAGE	1	TRUE
