feature	kind	BC	sil	compara_frac_hi	compara_frac_dom	n_compara	auc_compara	auc_panelR	auc_panelC	auc_antisense	auc_overlap
len_max	new-other	0.8523471017336761	0.7997453901377218	0.16666666666666666	0.8333333333333334	12	0.6300307377049181	0.5400262144671091	0.5686230340760158	0.7657649578557846	0.7266278644269074
edge_betw	new-topology	0.739778417754578	0.4893449789462707	1.0	1.0	12	0.9386851092896175	0.904399115261735	0.970879750982962	0.7555666644780963	0.9571853186685721
njunc_min	new-other	0.5564630585816635	0.6521813715993144	0.5	0.5	12	0.6113900273224043	0.5838371426230851	0.5198128276539974	0.40541318875245613	0.4593223761884049
njunc_a	new-other	0.5525919992440803	0.6906099394672736	0.08333333333333333	0.9166666666666666	12	0.5347677595628415	0.5180961743262062	0.48839900065530806	0.486297947708113	0.5568259491704468
co_junc	known-cothread	0.5525240198164599	0.7080665950106698	0.08333333333333333	0.9166666666666666	12	0.29793128410736164	0.5964604724935303	0.08493322203672787	0.07004706132125545	0.09928917603315168
len_min	new-other	0.4951007519770089	0.7035204042016904	0.4166666666666667	0.5833333333333334	12	0.7123497267759562	0.6969525681985747	0.5530082732634338	0.5938031962736653	0.5914842201923542
contig	known-cothread	0.4879394869419051	0.6991260407357163	0.08333333333333333	0.9166666666666666	12	0.3013280988974273	0.6046080641121965	0.08493322203672787	0.07006175947826987	0.09955278581970936
frac_mem	known-cothread	0.4228663985773851	0.6780530041095315	0.16666666666666666	0.8333333333333334	12	0.24410081857667892	0.46734284998747805	0.08493322203672787	0.07141281044186108	0.10216670924159856
seq_id	seq	0.3367790421480137	0.6468277842283869	0.6666666666666666	0.6666666666666666	12	0.6587124316939891	0.24635045465716393	0.9530635648754915	0.5307422972551946	0.9117430283698225
njunc_diff	new-other	0.3037983568864274	0.6365353508210773	0.3333333333333333	0.6666666666666666	12	0.5182581967213115	0.3429016138281314	0.6264846821756225	0.6423586775127235	0.6869054523360744
njunc_b	new-other	0.3037743928411603	0.7213624557216206	0.25	0.75	12	0.622889344262295	0.5197018104366347	0.5728313401048493	0.4852132708505372	0.5409018413803104
log_dist	strand-genomic	0.27605211891770415	0.7580823287170583	0.36363636363636365	0.6363636363636364	11	0.21341121579832542	0.5466080651569328	0.023639253079062394	0.19588423190358106	0.0
common_nbr	new-topology	0.23948006943529768	0.6851392423682455	0.0	1.0	12	0.0861646174863388	0.1244204145162612	0.04849279161205766	0.1369033543311542	0.05252870468181475
njunc_ratio	new-other	0.23617455710267204	0.5249293316567524	0.16666666666666666	0.8333333333333334	12	0.4891905737704918	0.6118210862619808	0.3885874017038008	0.32404863466122624	0.31619734598203497
len_ratio	new-other	0.23449046732952689	0.5457583522707631	0.16666666666666666	0.8333333333333334	12	0.4648770491803279	0.5219628082247891	0.3807953800786369	0.26223201800250423	0.31468495619213327
deg_min	new-topology	0.22728542226918655	0.6628863411684235	0.0	1.0	12	0.07418374316939891	0.10819202097157371	0.040915792922673666	0.15794414590327197	0.04564165234021694
cov_min	seq	0.2241254314450554	0.6585978113028136	0.25	0.75	12	0.4480498633879782	0.5153026951748997	0.4296567824377458	0.24036908905826881	0.3257123525066109
frac_ref	known-cothread	0.22303385612035434	0.5015558340799549	0.0	1.0	12	0.2920599454282214	0.5823774939477419	0.08493322203672787	0.06918368069070452	0.101561080835604
deg_max	new-topology	0.2199000609785804	0.5380006829019236	0.0	1.0	12	0.0677185792349727	0.10635700827394119	0.029120249017038025	0.221213581876644	0.041063920130905755
jaccard_nbr	new-topology	0.2367035639786393	0.45761003608675754	0.25	0.75	12	0.27854849726775954	0.5336364381092815	0.04849279161205766	0.14403898359942258	0.08723461546428056
