feature	kind	AUC_dir	AUC_raw	MI	cover	perm_p
contig	known-cothread	0.9923224568138195	0.9923224568138195	0.01605510010568001	0.9961977186311787	0.0004997501249375312
co_junc	known-cothread	0.9923224568138195	0.9923224568138195	0.01605510010568001	0.9961977186311787	0.0004997501249375312
frac_ref	known-cothread	0.9907869481765834	0.9907869481765834	0.041052296380658104	0.9961977186311787	0.0004997501249375312
frac_mem	known-cothread	0.9850287907869482	0.9850287907869482	0.03889380848072532	0.9961977186311787	0.0004997501249375312
antisense	confound-risk	0.9596928982725528	0.040307101727447225	0.019010436949245757	1.0	0.0004997501249375312
cov_min	new-other	0.927063339731286	0.927063339731286	0.014482958256926803	1.0	0.004997501249375313
aln_cov_small	known-cothread	0.9038387715930902	0.9038387715930902	0.021032807750090643	0.9961977186311787	0.010994502748625687
njunc_diff	new-other	0.8178502879078695	0.18214971209213054	0.008822083130619607	1.0	0.057971014492753624
len_max	new-other	0.8166986564299424	0.1833013435700576	0.011565899532210877	1.0	0.050974512743628186
len_ratio	new-other	0.8126679462571977	0.8126679462571977	0.0082199638541256	1.0	0.06296851574212893
log_dist	new-other	0.8069097888675624	0.8069097888675624	0.013514756629144364	0.5950570342205324	0.01199400299850075
njunc_ratio	new-other	0.8034548944337813	0.8034548944337813	0.002634866261541635	1.0	0.0769615192403798
disjoint	new-other	0.7322456813819578	0.7322456813819578	0.04571796771541492	1.0	0.5747126436781609
overlap	confound-risk	0.7322456813819578	0.2677543186180422	0.001047214023117471	1.0	0.5712143928035982
cov_max	new-other	0.7197696737044146	0.7197696737044146	0.004038132967511876	1.0	0.21839080459770116
seq_id	new-other	0.7071017274472169	0.2928982725527831	0.0031296178713828837	1.0	0.568215892053973
jaccard_nbr	new-topology	0.7063339731285989	0.7063339731285989	0.0004524219350013903	1.0	0.7906046976511744
njunc_min	new-other	0.6930902111324376	0.6930902111324376	0.0	1.0	0.2978510744627686
same_chrom	new-other	0.6034548944337812	0.6034548944337812	0.0	1.0	0.7926036981509246
len_min	new-other	0.5760076775431862	0.5760076775431862	0.017685665725125865	1.0	0.6796601699150425
edge_betw	new-topology	0.5641074856046064	0.5641074856046064	0.007031508551598731	1.0	0.9480259870064968
deg_max	new-topology	0.5629558541266795	0.4370441458733206	0.010447389946660723	1.0	0.9430284857571214
njunc_b	new-other	0.536852207293666	0.536852207293666	0.0	1.0	0.8655672163918041
common_nbr	new-topology	0.5330134357005758	0.5330134357005758	0.0016176012772203263	1.0	0.9825087456271864
deg_min	new-topology	0.5326295585412668	0.4673704414587332	0.0024854515090205753	1.0	0.9685157421289355
njunc_a	new-other	0.5316698656429942	0.5316698656429942	0.0019314594137004315	1.0	0.881559220389805
