feature	kind	AUC_dir	AUC_raw	MI	cover	perm_p
cov_min	new-other	0.8365758754863812	0.8365758754863812	0.01221935740160518	1.0	0.001999000499750125
len_ratio	new-other	0.7504863813229572	0.7504863813229572	0.02354554680264931	1.0	0.006496751624187906
antisense	confound-risk	0.7101167315175096	0.2898832684824903	0.001849737239602245	1.0	0.0029985007496251873
njunc_min	new-other	0.7074416342412451	0.7074416342412451	0.003374736262128808	1.0	0.04397801099450275
njunc_ratio	new-other	0.699254215304799	0.699254215304799	0.002895730364947946	1.0	0.0384807596201899
contig	known-cothread	0.6954442282749675	0.6954442282749675	0.005184961441790037	0.9961977186311787	0.0004997501249375312
co_junc	known-cothread	0.6954442282749675	0.6954442282749675	0.005184961441790037	0.9961977186311787	0.0004997501249375312
frac_ref	known-cothread	0.694795719844358	0.694795719844358	0.018569757772298523	0.9961977186311787	0.0004997501249375312
frac_mem	known-cothread	0.692363813229572	0.692363813229572	0.016557511463474173	0.9961977186311787	0.0004997501249375312
aln_cov_small	known-cothread	0.6865272373540855	0.6865272373540855	0.013062131734329352	0.9961977186311787	0.136431784107946
edge_betw	new-topology	0.6833657587548638	0.6833657587548638	0.001304448805200531	1.0	0.7006496751624188
len_max	new-other	0.6832846952010376	0.31671530479896237	0.012380475776025968	1.0	0.11644177911044477
deg_max	new-topology	0.6809338521400777	0.31906614785992227	0.024115400322662683	1.0	0.7171414292853573
same_chrom	new-other	0.6645590142671853	0.6645590142671853	0.002066648492863976	1.0	0.545727136431784
njunc_diff	new-other	0.6470492866407263	0.35295071335927375	0.00044980427813778867	1.0	0.136431784107946
deg_min	new-topology	0.6430771725032426	0.3569228274967574	0.004148442785725015	1.0	0.7386306846576711
njunc_b	new-other	0.6346465629053177	0.6346465629053177	0.0	1.0	0.2048975512243878
cov_max	new-other	0.6290531776913101	0.6290531776913101	0.007933789487062581	1.0	0.28085957021489255
len_min	new-other	0.6203793774319066	0.6203793774319066	0.004509690263886812	1.0	0.2143928035982009
log_dist	new-other	0.589332036316472	0.589332036316472	0.0	0.5950570342205324	0.10794602698650675
seq_id	new-other	0.5867380025940337	0.5867380025940337	0.0	1.0	0.8705647176411794
common_nbr	new-topology	0.5826848249027238	0.4173151750972762	0.0034327179859678925	1.0	0.823088455772114
overlap	confound-risk	0.5630674448767835	0.5630674448767835	0.0	1.0	0.8685657171414293
disjoint	new-other	0.5630674448767834	0.43693255512321666	0.0	1.0	0.862568715642179
njunc_a	new-other	0.5433690012970168	0.5433690012970168	0.02239274053696727	1.0	0.704647676161919
jaccard_nbr	new-topology	0.5123216601815823	0.5123216601815823	0.004766922388716122	1.0	0.9635182408795602
