feature	kind	BC	BIC_gap	sil2
overlap	confound-risk	0.9998311607002474		
disjoint	new-other	0.9998311607002474		
antisense	confound-risk	0.9998257908518627		
same_chrom	new-other	0.9996181435178333		
edge_betw	new-topology	0.9351619699817088	61619.29398509361	0.4628527923934227
frac_mem	known-cothread	0.8822889591299966	91540.36565752476	0.6867611175386976
len_max	new-other	0.865665292231029	28529.391881271087	0.7957826187357033
seq_id	new-other	0.7192971293848048	8060.696352033523	0.6319166414617806
cov_max	new-other	0.6795385005514752	30695.02981127675	0.2647248425597781
frac_ref	known-cothread	0.6740219094184923	35222.842848718334	0.5080564547496771
njunc_ratio	new-other	0.653458952786586	46635.75639084732	0.5000642573947223
jaccard_nbr	new-topology	0.6480728005496096	40242.075520035825	0.45467005125247867
cov_min	new-other	0.6420681227657377	3156.373323687396	0.6682404847581503
njunc_a	new-other	0.6387521448716607	10962.815929752003	0.6974837048530771
len_ratio	new-other	0.6335836322531085	4920.088324766115	0.5423502609645979
common_nbr	new-topology	0.6231757325986553	4077.2567585304096	0.6790116029732103
aln_cov_small	known-cothread	0.6180248523898869	25161.919328848584	0.16978683608778208
njunc_min	new-other	0.6019486401655687	12854.979317631874	0.6437285642171627
deg_min	new-topology	0.596509640011709	4036.721906777824	0.6582741762112263
co_junc	known-cothread	0.5941889119871244	10590.431827714187	0.7092690511944348
len_min	new-other	0.5678521160497202	10231.179685586656	0.7013637183924053
contig	known-cothread	0.5329792051055166	8911.375962047496	0.7034523318236706
deg_max	new-topology	0.44945018363006345	3352.0398929927105	0.5346314945990096
log_dist	new-other	0.4220870847731953	4773.390959255374	0.7604384311667012
njunc_diff	new-other	0.3070742243906482	18650.82187058853	0.6402451287822907
njunc_b	new-other	0.3065902960304175	12932.951376687353	0.718498792883115
