family	n_copies	nreg	cls	K	psvs	psv_per_kb	K_per_copy	cross_chrom	reads	assign_rate	agree_frac	sed_ident	n_link	n_pairs	link_frac	mean_len
0	7	7	fully_resolvable	7	246	5.6499	1.0000	0	1342	0.3219	0.7222	0.98754	21	21	1.000	43540
1	7	7	no_psv	1	0	0.0000	0.1429	0	1621	0.0000	NA	0.97985	20	21	0.952	47681
3	3	3	fully_resolvable	3	88	1.0245	1.0000	1	587	0.7905	0.9849	0.99265	3	3	1.000	85896
4	7	7	fully_resolvable	7	345	14.0691	1.0000	1	3837	0.9815	0.9942	0.98303	21	21	1.000	24522
5	2	2	fully_resolvable	2	33	0.6242	1.0000	0	968	0.8760	0.9917	0.99631	1	1	1.000	52870
7	7	7	no_psv	1	0	0.0000	0.1429	0	683	0.0000	NA	0.99131	21	21	1.000	30436
8	2	2	fully_resolvable	2	55	0.3618	1.0000	0	700	0.8443	0.9797	0.99388	1	1	1.000	152025
9	4	4	fully_resolvable	4	70	0.9604	1.0000	1	551	0.4610	0.7087	0.98313	6	6	1.000	72890
10	2	2	fully_resolvable	2	67	1.4073	1.0000	0	822	0.3735	0.9902	0.99088	1	1	1.000	47608
11	4	4	partial	2	13	0.3494	0.5000	0	714	0.0000	NA	0.99827	4	4	1.000	37212
12	5	5	fully_resolvable	5	362	6.2489	1.0000	0	612	0.7092	0.9977	0.97423	10	10	1.000	57930
13	3	3	fully_resolvable	3	382	7.1363	1.0000	0	3481	0.1359	1.0000	0.98157	3	3	1.000	53529
14	4	4	no_psv	1	0	0.0000	0.2500	0	541	0.0000	NA	0.97483	6	6	1.000	44690
15	3	3	fully_resolvable	3	19	1.1350	1.0000	1	653	0.9755	1.0000	0.99397	3	3	1.000	16741
16	3	3	fully_resolvable	3	564	22.9598	1.0000	0	383	0.7232	0.9819	0.97168	3	3	1.000	24565
17	3	3	fully_resolvable	3	119	3.3657	1.0000	0	775	0.4761	1.0000	0.98675	3	3	1.000	35357
18	9	9	fully_resolvable	9	72	3.2733	1.0000	1	510	0.7804	0.9698	0.99016	36	36	1.000	21996
19	3	3	fully_resolvable	3	181	3.4502	1.0000	0	1882	0.8544	1.0000	0.98985	3	3	1.000	52460
21	5	5	no_psv	1	0	0.0000	0.2000	0	415	0.0000	NA	0.98765	7	7	1.000	57567
22	6	6	partial	4	61	1.5401	0.6667	1	634	0.1199	0.9737	0.98296	13	13	1.000	39607
23	2	2	fully_resolvable	2	1	0.0241	1.0000	0	3418	0.0009	1.0000	0.99465	1	1	1.000	41532
24	3	3	fully_resolvable	3	357	14.4599	1.0000	0	2490	0.9847	0.9992	0.98752	3	3	1.000	24689
25	2	2	fully_resolvable	2	21	0.2772	1.0000	0	518	0.8185	0.9953	0.99393	1	1	1.000	75770
26	2	2	fully_resolvable	2	14	0.9465	1.0000	0	257	0.4319	1.0000	0.99592	1	1	1.000	14791
27	5	5	fully_resolvable	5	137	4.7661	1.0000	1	281	0.4484	0.9762	0.98537	10	10	1.000	28745
28	4	4	fully_resolvable	4	64	4.1482	1.0000	0	314	0.6433	1.0000	0.99005	6	6	1.000	15428
29	2	2	fully_resolvable	2	9	0.1726	1.0000	1	741	0.0000	NA	0.98888	1	1	1.000	52137
30	2	2	no_psv	1	0	0.0000	0.5000	0	475	0.0000	NA	0.99770	1	1	1.000	16182
31	3	3	fully_resolvable	3	99	6.9656	1.0000	1	441	0.5011	1.0000	0.98360	3	3	1.000	14213
32	4	4	partial	3	31	0.5431	0.7500	0	437	0.3913	0.3392	0.99335	5	5	1.000	57076
33	2	2	fully_resolvable	2	39	4.7448	1.0000	0	595	0.7546	0.9978	0.99395	1	1	1.000	8220
34	8	8	no_psv	1	0	0.0000	0.1250	1	596	0.0000	NA	0.98194	19	28	0.679	69793
35	2	2	fully_resolvable	2	105	1.0467	1.0000	0	392	0.5153	0.9356	0.99579	1	1	1.000	100316
36	2	2	fully_resolvable	2	15	0.1940	1.0000	0	287	0.4843	0.9712	0.99635	1	1	1.000	77320
37	2	2	fully_resolvable	2	7	0.1919	1.0000	0	410	0.9293	0.9869	0.99851	1	1	1.000	36476
38	8	8	fully_resolvable	8	114	8.5455	1.0000	0	141	0.6596	0.9892	0.97617	28	28	1.000	13340
39	5	5	fully_resolvable	5	235	15.1057	1.0000	1	201	0.7214	0.9931	0.98630	10	10	1.000	15557
40	2	2	fully_resolvable	2	20	0.3523	1.0000	0	333	0.7147	0.9874	0.99295	1	1	1.000	56772
41	4	4	fully_resolvable	4	98	4.5326	1.0000	1	744	0.6828	0.9055	0.98605	6	6	1.000	21621
42	8	8	fully_resolvable	8	21	2.5687	1.0000	0	248	0.1613	0.9500	0.98970	28	28	1.000	8175
43	2	2	fully_resolvable	2	3	0.1389	1.0000	0	1035	0.9362	0.0795	0.99661	1	1	1.000	21606
44	6	6	fully_resolvable	6	45	0.7984	1.0000	1	147	0.3946	0.8966	0.98878	15	15	1.000	56366
46	2	2	no_psv	1	0	0.0000	0.5000	0	364	0.0000	NA	0.99958	1	1	1.000	64632
47	2	2	fully_resolvable	2	65	1.3162	1.0000	1	193	0.6062	0.9915	0.98978	1	1	1.000	49384
48	2	2	fully_resolvable	2	38	6.7646	1.0000	0	378	0.5582	1.0000	0.99393	1	1	1.000	5618
49	2	2	fully_resolvable	2	32	1.2259	1.0000	0	197	0.1472	1.0000	0.99060	1	1	1.000	26104
50	2	2	fully_resolvable	2	18	0.5901	1.0000	1	320	0.8500	1.0000	0.99738	1	1	1.000	30502
52	3	3	fully_resolvable	3	41	1.4289	1.0000	0	371	0.9811	0.9890	0.99125	3	3	1.000	28694
53	2	2	fully_resolvable	2	1	0.0882	1.0000	0	230	0.5000	1.0000	0.99879	1	1	1.000	11332
54	2	2	fully_resolvable	2	37	1.2691	1.0000	1	183	0.8306	1.0000	0.97128	1	1	1.000	29154
55	2	2	fully_resolvable	2	62	1.3140	1.0000	0	237	0.3333	0.8734	0.99379	1	1	1.000	47182
57	2	2	fully_resolvable	2	81	1.4970	1.0000	0	1005	0.8796	1.0000	0.98091	1	1	1.000	54106
58	2	2	fully_resolvable	2	14	0.0899	1.0000	1	662	0.0498	0.9394	0.98888	1	1	1.000	155811
59	3	3	fully_resolvable	3	45	3.5405	1.0000	0	232	0.8491	1.0000	0.99371	3	3	1.000	12710
62	4	4	no_psv	1	0	0.0000	0.2500	0	224	0.0000	NA	0.98990	4	5	0.800	28263
63	2	2	no_psv	1	0	0.0000	0.5000	0	315	0.0000	NA	0.95709	1	1	1.000	3640
64	2	2	fully_resolvable	2	178	3.2496	1.0000	0	387	0.6873	1.0000	0.98502	1	1	1.000	54776
65	4	4	fully_resolvable	4	59	1.8136	1.0000	1	400	0.0300	0.8333	0.99382	6	6	1.000	32531
66	2	2	fully_resolvable	2	126	1.3546	1.0000	0	357	0.4650	1.0000	0.99176	1	1	1.000	93014
67	2	2	fully_resolvable	2	119	2.9644	1.0000	0	248	0.7218	1.0000	0.98521	1	1	1.000	40144
68	2	2	no_psv	1	0	0.0000	0.5000	0	159	0.0000	NA	0.99756	1	1	1.000	2304
69	2	2	no_psv	1	0	0.0000	0.5000	0	92	0.0000	NA	0.99199	1	1	1.000	7341
71	2	2	fully_resolvable	2	11	0.2268	1.0000	0	145	0.5172	0.9200	0.99668	1	1	1.000	48494
72	4	4	fully_resolvable	4	235	19.1022	1.0000	1	107	0.5047	0.9815	0.97983	6	6	1.000	12302
