point	desc	core_min	aln_min	gamma	best2cut_t	n_families	oracle_mapped	P_oracle_task	P_oracle_dedup	P_task_fixed48	P_dedup_fixed48	R_oracle	recovered_mc	P_Ep	impure_blocks	truthbar_retention	n_multifam	n_oversize	distinct_fp_blocks	distinct_fp_removed_vs_default	gstm2_multifam_count	foxo1_count	mage_oversize_count	mage_recovered	n_repeat_hubs	n_split_events	n_undersize	undersize_delta_vs_default	truthbar_pairs_cut_vs_default	n_lost_oracle_genes	lost_oracle_genes
1_recall_preserving_DEFAULT	core>=0.19 AND aln>=0.24, gamma 0.20 (== family_rna_refine DEFAULT)	0.19	0.24	0.2	None	606	48	0.8542	0.875	0.8542	0.875	0.8421	48	0.868	80	0.0193	4	3	6	-	2	1	0	True	2	0	33	0	0	0	-
2_f1_alnfrac	TIGHT homology core>=0.26 AND aln_frac>=0.72, gamma 0.20	0.26	0.72	0.2	None	418	42	0.8571	0.881	0.875	0.8958	0.7719	44	0.9258	31	0.0066	4	2	5	LOC134758618	2	1	0	True	0	0	30	-3	518	4	LOC101130854,LOC101130894,LOC109023386,LOC109029264
3_aggressive_gamma_0.30	default edge rule, gamma 0.30	0.19	0.24	0.3	None	614	49	0.8776	0.898	0.875	0.8958	0.8421	48	0.8746	77	0.0191	4	2	5	LOC134758618	2	1	0	True	0	0	35	2	7	0	-
3_aggressive_gamma_0.40	default edge rule, gamma 0.40	0.19	0.24	0.4	None	623	50	0.9	0.92	0.8958	0.9167	0.8421	48	0.878	76	0.0189	4	1	4	LOC134758618,MPHOSPH8	2	1	0	True	0	0	37	4	15	0	-
4_best2cut_t0.15	default + best-2-cut split t>=0.15	0.19	0.24	0.2	0.15	634	51	0.8824	0.902	0.875	0.8958	0.8421	48	0.8817	75	0.0184	4	2	5	GSTM2+LOC115930164+LOC115930576,LOC134758618	1	1	0	True	2	36	39	6	37	0	-
4_best2cut_t0.20	default + best-2-cut split t>=0.20	0.19	0.24	0.2	0.2	626	50	0.86	0.88	0.8542	0.875	0.8421	48	0.8786	76	0.0184	4	3	6	GSTM2+LOC115930164+LOC115930576	1	1	0	True	2	25	38	5	37	0	-
4_best2cut_t0.25	default + best-2-cut split t>=0.25	0.19	0.24	0.2	0.25	618	50	0.86	0.88	0.8542	0.875	0.8421	48	0.8738	78	0.0186	4	3	6	GSTM2+LOC115930164+LOC115930576	1	1	0	True	2	15	38	5	29	0	-
4_best2cut_t0.30	default + best-2-cut split t>=0.30	0.19	0.24	0.2	0.3	614	50	0.86	0.88	0.8542	0.875	0.8421	48	0.8697	80	0.0187	4	3	6	GSTM2+LOC115930164+LOC115930576	1	1	0	True	2	10	36	3	23	0	-
4_best2cut_t0.35	default + best-2-cut split t>=0.35	0.19	0.24	0.2	0.35	608	48	0.8542	0.875	0.8542	0.875	0.8421	48	0.8684	80	0.0191	4	3	6	-	2	1	0	True	2	2	33	0	7	0	-
5_combined_g0.30_best2cut_t0.25	COMBINED: default edge rule + gamma 0.30 + best-2-cut t>=0.25	0.19	0.24	0.3	0.25	623	51	0.8824	0.902	0.875	0.8958	0.8421	48	0.878	76	0.0186	4	2	5	GSTM2+LOC115930164+LOC115930576,LOC134758618	1	1	0	True	0	12	39	6	29	0	-
5_combined_g0.30_best2cut_t0.30	COMBINED: default edge rule + gamma 0.30 + best-2-cut t>=0.30	0.19	0.24	0.3	0.3	621	51	0.8824	0.902	0.875	0.8958	0.8421	48	0.876	77	0.0187	4	2	5	GSTM2+LOC115930164+LOC115930576,LOC134758618	1	1	0	True	0	9	38	5	23	0	-
5_combined_g0.40_best2cut_t0.15	COMBINED: default edge rule + gamma 0.40 + best-2-cut t>=0.15 (max-precision)	0.19	0.24	0.4	0.15	641	51	0.902	0.9216	0.8958	0.9167	0.8421	48	0.8892	71	0.0184	4	1	4	GSTM2+LOC115930164+LOC115930576,LOC134758618,MPHOSPH8	1	1	0	True	0	26	39	6	37	0	-
5_combined_g0.40_best2cut_t0.25	COMBINED: default edge rule + gamma 0.40 + best-2-cut t>=0.25	0.19	0.24	0.4	0.25	629	51	0.902	0.9216	0.8958	0.9167	0.8421	48	0.8808	75	0.0184	4	1	4	GSTM2+LOC115930164+LOC115930576,LOC134758618,MPHOSPH8	1	1	0	True	0	9	39	6	37	0	-
