# READ-CONFUSABILITY vs COPY IDENTITY (characterize). copy identity from colinear_multiexon_gate.tsv (mean_matched_id=whole-read, best_exon_id=per-exon max, core_recip=floor metric). confusable: BAM MAPQ0 (GGO_mm.bam -N50 -p0.1); re-align default splice:hq MAPQ0; AS-margin<10 (Eichler). sample<=40/fam seed=0. Deterministic PYTHONHASHSEED=0.
family_id	dominant_gene	n_members	n_loci	n_pairs_covered	mean_matched_id	min_matched_id	best_exon_id	core_recip	exon_spread	recip_best_mean	recip_best_min	n_recip_pairs	depth	bam_mapq0	bam_conf_frac	n_realn	realn_mapq0	realn_conf_frac	margin_conf	margin_conf_frac
0	GLMP	2	2	1	0.0000	0.0000	0.0000	0.3675	0.0000	0.2476	0.2476	1	638	0	0.0000	40	0	0.0000	0	0.0000
1	GON4L	2	2	1	0.9530	0.9530	1.0000	0.5987	0.0470	0.4548	0.4548	1	884	0	0.0000	40	0	0.0000	0	0.0000
2	GBA1	2	2	1	0.9513	0.9513	1.0000	0.3588	0.0487	0.6264	0.6264	1	316	1	0.0032	40	0	0.0000	0	0.0000
3	SCNM1	2	2	1	1.0000	1.0000	1.0000	0.5832	0.0000	0.3036	0.3036	1	86	0	0.0000	40	0	0.0000	0	0.0000
4	TRNAQ-CUG	2	2	1	0.7610	0.7610	0.7610	0.2798	0.0000	0.4749	0.4749	1	65	0	0.0000	40	0	0.0000	1	0.0250
6	LOC115930164	15	15	50	0.9466	0.8854	1.0000	0.4288	0.0534	0.5590	0.3835	45	2444	45	0.0184	40	1	0.0250	6	0.1500
7	LOC101126097	3	3	3	0.9826	0.9787	1.0000	0.5673	0.0174	0.5637	0.4961	3	894	0	0.0000	40	0	0.0000	1	0.0250
8	GPR89A	2	2	1	0.9864	0.9864	1.0000	0.5039	0.0136	0.3901	0.3901	1	350	0	0.0000	40	0	0.0000	1	0.0250
9	LOC129532935	2	2	1	0.9895	0.9895	1.0000	0.3095	0.0105	0.1380	0.1380	1	325	0	0.0000	40	0	0.0000	0	0.0000
10	SEC22B	3	3	3	0.9878	0.9833	1.0000	0.4622	0.0122	0.8984	0.8520	3	2471	0	0.0000	40	0	0.0000	0	0.0000
11	LOC109023809	3	3	3	0.9789	0.9705	1.0000	0.2587	0.0211	0.4698	0.2120	3	413	0	0.0000	40	0	0.0000	0	0.0000
13	IGSF3	2	2	1	0.9723	0.9723	0.9771	0.4585	0.0048	0.1866	0.1866	1	507	0	0.0000	40	0	0.0000	0	0.0000
14	LOC109025730	3	3	3	0.8178	0.8088	0.8282	0.2926	0.0104	0.3241	0.3213	3	275	0	0.0000	40	0	0.0000	0	0.0000
15	LOC109029488	2	2	1	0.9153	0.9153	1.0000	0.2450	0.0847	0.1838	0.1838	1	357	21	0.0588	40	3	0.0750	3	0.0750
16	LOC109025592	4	4	5	0.4458	0.0000	0.7664	0.2354	0.3206	0.2135	0.1400	4	391	0	0.0000	40	0	0.0000	0	0.0000
17	RHOC	2	2	1	0.0000	0.0000	0.0000	0.5360	0.0000	0.1115	0.1115	1	1586	0	0.0000	40	0	0.0000	0	0.0000
18	GSTM5	3	3	3	0.9277	0.9167	1.0000	0.4316	0.0723	0.1707	0.0831	3	1253	0	0.0000	40	0	0.0000	0	0.0000
19	GSTM1	4	4	1	0.0000	0.0000	0.0000	0.1906	0.0000	0.1437	0.1437	1	1182	0	0.0000	40	0	0.0000	0	0.0000
21	WDR64	4	4	1	0.7761	0.7761	0.7761	0.2562	0.0000	0.2037	0.2037	1	405	0	0.0000	40	0	0.0000	0	0.0000
23	GLMN	2	2	1	0.7437	0.7437	0.7437	0.5228	0.0000	0.2955	0.2955	1	197	0	0.0000	40	0	0.0000	0	0.0000
24	LOC101137042	4	4	6	0.8756	0.8338	1.0000	0.3016	0.1244	0.4180	0.3023	4	526	0	0.0000	40	0	0.0000	0	0.0000
25	GBP6	2	2	1	0.8286	0.8286	0.9528	0.5839	0.1242	0.2274	0.2274	1	526	0	0.0000	40	0	0.0000	0	0.0000
27	GNG5	2	2	1	0.0000	0.0000	0.0000	0.6307	0.0000	0.2321	0.2321	1	368	0	0.0000	40	0	0.0000	5	0.1250
28	LOC129529226	7	7	21	0.9909	0.9831	1.0000	0.7703	0.0091	0.6161	0.2148	21	490	5	0.0102	40	1	0.0250	12	0.3000
29	LOC129532115	2	2	1	0.8071	0.8071	0.8071	0.2144	0.0000	0.3310	0.3310	1	306	0	0.0000	40	0	0.0000	0	0.0000
30	TESK2	2	2	1	1.0000	1.0000	1.0000	0.6233	0.0000	0.5917	0.5917	1	221	0	0.0000	40	0	0.0000	0	0.0000
31	PTPRF	2	2	1	0.8264	0.8264	0.8730	0.4497	0.0466	0.1898	0.1898	1	330	0	0.0000	40	0	0.0000	0	0.0000
33	SYNC	2	2	1	1.0000	1.0000	1.0000	0.6067	0.0000	0.3495	0.3495	1	3267	0	0.0000	40	0	0.0000	0	0.0000
34	XKR8	2	2	1	0.0000	0.0000	0.0000	0.2302	0.0000	0.3465	0.3465	1	129	0	0.0000	40	0	0.0000	0	0.0000
35	AUNIP	2	2	1	1.0000	1.0000	1.0000	0.7245	0.0000	0.6218	0.6218	1	1111	0	0.0000	40	0	0.0000	0	0.0000
36	RHD	2	2	1	0.9468	0.9468	0.9468	0.4522	0.0000	0.7850	0.7850	1	306	0	0.0000	40	0	0.0000	0	0.0000
37	AKR7A2	2	2	1	0.9250	0.9250	0.9792	0.7366	0.0542	0.3203	0.3203	1	255	0	0.0000	40	0	0.0000	0	0.0000
