family	gene	n_loci	chi_H	n_resolvable	collapsed_excess	E_fam_reads	lambda_within	depth_cn_within	within_ref_hidden_copies	depth_cn_within_plus_hidden	depth_cn_global	rna_cn_lower_bound	expr_cv	dominant_copy_share	all_collapsed_no_tier1	asm_hapCN_dna
0	GSTM2	7	7	7	0	249	47.0	5.3	0	5.3	41.5	7	0.56	0.225	0	19.0
1	LOC109025447	7	1	0	6	808	51.0	15.84	11	26.84	134.67	15	1.507	0.663	1	11.0
3	SORL1	3	3	3	0	238	6.0	39.67	37	76.67	39.67	39	1.334	0.962	0	3.0
4	LOC129523503	7	7	7	0	1775	29.0	61.21	56	117.21	295.83	61	2.013	0.845	0	11.0
5	TUBGCP5	2	2	2	0	550	275.0	2.0	1	3.0	91.67	2	0.625	0.813	0	2.0
7	LOC129534585	7	1	0	6	167	21.0	7.95	2	9.95	27.83	7	0.637	0.299	1	7.0
8	DAPK1	2	2	2	0	233	116.5	2.0	0	2.0	38.83	2	0.159	0.579	0	2.0
9	LOC129526957	4	4	4	0	134	30.0	4.47	1	5.47	22.33	4	0.508	0.448	0	27.0
10	LOC115930576	2	2	2	0	73	36.5	2.0	0	2.0	12.17	2	0.37	0.685	0	16.0
11	LOC101130894	4	2	0	2	401	38.5	10.42	7	17.42	66.83	10	1.255	0.791	1	16.0
12	SMG1	5	5	5	0	199	27.0	7.37	4	11.37	33.17	7	1.11	0.623	0	8.0
13	GSTM2	3	3	3	0	82	24.0	3.42	1	4.42	13.67	3	0.781	0.671	0	5.0
14	LOC115930164	4	1	0	3	322	73.5	4.38	2	6.38	53.67	4	0.862	0.531	1	13.0
15	LOC115932756	3	3	3	0	524	187.0	2.8	0	2.8	87.33	3	0.108	0.361	0	11.0
16	LOC101143406	3	3	3	0	71	7.0	10.14	7	17.14	11.83	10	1.026	0.817	0	7.0
17	LOC101146782	3	3	3	0	521	217.0	2.4	0	2.4	86.83	3	0.722	0.578	0	3.0
18	LOC134757299	9	9	9	0	374	46.0	8.13	1	9.13	62.33	9	0.798	0.283	0	23.0
19	LOC115933250	3	3	3	0	823	27.0	30.48	28	58.48	137.17	30	1.296	0.944	0	5.0
21	LOC101141440	5	1	0	4	110	22.0	5.0	2	7.0	18.33	5	0.752	0.418	1	6.0
22	LOC115933254	6	1	0	5	79	11.5	6.87	2	8.87	13.17	6	0.681	0.405	1	8.0
23	LOC101124683	2	2	2	0	141	70.5	2.0	1	3.0	23.5	2	0.645	0.823	0	2.0
24	LOC101129940	3	3	3	0	1170	428.0	2.73	1	3.73	195.0	3	0.765	0.628	0	3.0
25	LOC134756941	2	2	2	0	320	160.0	2.0	0	2.0	53.33	2	0.069	0.534	0	2.0
26	C4B	2	2	2	0	160	80.0	2.0	0	2.0	26.67	2	0.075	0.537	0	2.0
27	LOC129526550	5	5	5	0	47	4.0	11.75	7	18.75	7.83	11	0.809	0.447	0	13.0
