family_id	n_copies	class	covered_loci	n_edges	n_detie_reads
DNFAM0	728	SKIP_BLOB	0	0	0
DNFAM1	28	EC_VISIBLE	28	23	5569
DNFAM2	26	EC_VISIBLE	26	15	592
DNFAM3	23	EC_VISIBLE	23	9	2226
DNFAM4	17	EC_VISIBLE	17	54	28684
DNFAM5	16	EC_VISIBLE	16	120	31770
DNFAM6	16	EC_VISIBLE	16	27	4129
DNFAM7	16	EC_VISIBLE	16	14	10490
DNFAM8	15	EC_VISIBLE	15	66	104521
DNFAM9	15	EC_VISIBLE	15	66	7504
DNFAM10	14	EC_VISIBLE	14	2	91
DNFAM11	13	EC_VISIBLE	13	69	4079
DNFAM12	11	EC_VISIBLE	11	5	1488
DNFAM13	10	EC_VISIBLE	9	21	2187
DNFAM14	10	EC_VISIBLE	10	36	8669
DNFAM15	9	EC_VISIBLE	9	3	111
DNFAM16	9	EC_VISIBLE	9	36	1890
DNFAM17	8	EC_VISIBLE	8	15	1086
DNFAM18	8	EC_VISIBLE	8	25	729
DNFAM19	8	EC_VISIBLE	8	28	12012
DNFAM20	8	EC_VISIBLE	8	2	161
DNFAM21	7	EC_VISIBLE	7	1	10
DNFAM22	7	EC_VISIBLE	7	9	4232
DNFAM23	7	EC_VISIBLE	7	7	12301
DNFAM24	7	EC_VISIBLE	7	10	12472
DNFAM25	7	EC_VISIBLE	7	4	3058
DNFAM26	7	EC_VISIBLE	7	7	1265
DNFAM27	7	EC_VISIBLE	7	20	1232
DNFAM28	7	EC_VISIBLE	7	21	8351
DNFAM29	7	EC_VISIBLE	7	6	547
DNFAM30	7	EC_VISIBLE	7	4	7583
DNFAM31	6	EC_VISIBLE	6	11	4147
DNFAM32	6	EC_VISIBLE	6	4	892
DNFAM33	6	EC_DROPPED	6	0	0
DNFAM34	6	EC_VISIBLE	6	7	929
DNFAM35	6	EC_VISIBLE	5	2	61
DNFAM36	6	EC_DROPPED	6	0	0
DNFAM37	6	EC_VISIBLE	6	3	874
DNFAM38	5	EC_VISIBLE	4	6	1912
DNFAM39	5	EC_VISIBLE	5	5	273
DNFAM40	5	EC_VISIBLE	5	4	806
DNFAM41	5	EC_VISIBLE	5	3	544
DNFAM42	5	EC_VISIBLE	5	10	6150
DNFAM43	5	EC_VISIBLE	5	5	54
DNFAM44	5	EC_VISIBLE	5	1	9
DNFAM45	5	EC_VISIBLE	5	6	927
DNFAM46	5	EC_VISIBLE	5	6	224
DNFAM47	5	EC_VISIBLE	5	2	10
DNFAM48	5	EC_VISIBLE	5	10	3180
DNFAM49	5	EC_VISIBLE	5	10	8614
DNFAM50	5	EC_VISIBLE	5	6	3761
DNFAM51	5	EC_DROPPED	5	0	0
DNFAM52	5	EC_VISIBLE	5	1	54
DNFAM53	5	EC_VISIBLE	5	10	1083
DNFAM54	5	EC_VISIBLE	5	1	15
DNFAM55	5	EC_VISIBLE	5	1	9
DNFAM56	5	EC_VISIBLE	5	1	48
DNFAM57	5	EC_VISIBLE	5	10	14180
DNFAM58	5	EC_VISIBLE	5	6	1989
DNFAM59	5	EC_VISIBLE	5	6	10854
DNFAM60	5	EC_DROPPED	5	0	0
DNFAM61	5	EC_VISIBLE	5	1	32
DNFAM62	5	EC_VISIBLE	5	10	2418
DNFAM63	5	EC_DROPPED	5	0	0
DNFAM64	5	EC_DROPPED	5	0	0
DNFAM65	4	EC_VISIBLE	4	6	2460
DNFAM66	4	EC_DROPPED	4	0	0
DNFAM67	4	EC_VISIBLE	4	1	125
DNFAM68	4	EC_VISIBLE	4	3	176
DNFAM69	4	EC_DROPPED	3	0	0
DNFAM70	4	EC_VISIBLE	4	3	87
DNFAM71	4	EC_VISIBLE	4	6	1533
DNFAM72	4	EC_DROPPED	4	0	0
DNFAM73	4	EC_VISIBLE	4	6	4177
DNFAM74	4	EC_VISIBLE	4	6	412
DNFAM75	4	EC_DROPPED	4	0	0
DNFAM76	4	EC_VISIBLE	4	3	267
DNFAM77	4	EC_VISIBLE	4	6	106
DNFAM78	4	EC_DROPPED	4	0	0
DNFAM79	4	EC_VISIBLE	4	6	115
DNFAM80	4	EC_VISIBLE	4	6	300
DNFAM81	4	EC_VISIBLE	4	1	335
DNFAM82	4	EC_VISIBLE	4	4	1642
DNFAM83	4	EC_VISIBLE	4	6	2262
DNFAM84	4	EC_VISIBLE	4	6	4902
DNFAM85	4	EC_VISIBLE	4	6	6255
DNFAM86	4	EC_VISIBLE	4	6	1056
DNFAM87	4	EC_VISIBLE	4	6	283
DNFAM88	4	EC_VISIBLE	4	6	3210
DNFAM89	4	EC_VISIBLE	4	5	237
DNFAM90	4	EC_VISIBLE	4	6	7167
DNFAM91	4	EC_VISIBLE	4	1	211
DNFAM92	4	EC_VISIBLE	4	1	3
DNFAM93	4	EC_VISIBLE	4	4	66
DNFAM94	4	EC_VISIBLE	4	6	8109
DNFAM95	4	EC_VISIBLE	4	6	1872
DNFAM96	4	EC_VISIBLE	4	6	836
DNFAM97	4	EC_VISIBLE	4	6	1602
DNFAM98	4	EC_VISIBLE	4	6	1788
DNFAM99	4	EC_DROPPED	4	0	0
DNFAM100	4	EC_VISIBLE	4	6	4223
DNFAM101	4	EC_VISIBLE	4	6	196
DNFAM102	4	EC_VISIBLE	4	6	278
DNFAM103	4	EC_VISIBLE	4	6	206
DNFAM104	4	EC_VISIBLE	4	6	531
DNFAM105	4	EC_VISIBLE	4	6	1133
DNFAM106	4	EC_VISIBLE	4	5	148
DNFAM107	4	EC_VISIBLE	4	1	160
DNFAM108	4	EC_VISIBLE	4	5	483
DNFAM109	3	EC_VISIBLE	3	3	556
DNFAM110	3	EC_DROPPED	3	0	0
DNFAM111	3	EC_VISIBLE	3	3	87
DNFAM112	3	EC_VISIBLE	3	3	933
DNFAM113	3	EC_VISIBLE	3	3	252
DNFAM114	3	EC_VISIBLE	3	3	378
DNFAM115	3	EC_VISIBLE	3	1	98
DNFAM116	3	EC_VISIBLE	3	3	1068
DNFAM117	3	EC_VISIBLE	3	1	26
DNFAM118	3	EC_VISIBLE	3	3	957
DNFAM119	3	EC_VISIBLE	3	1	36
DNFAM120	3	EC_VISIBLE	3	3	242
DNFAM121	3	EC_VISIBLE	3	3	159
DNFAM122	3	EC_DROPPED	3	0	0
DNFAM123	3	EC_VISIBLE	3	1	163
DNFAM124	3	EC_VISIBLE	3	3	358
DNFAM125	3	EC_DROPPED	3	0	0
DNFAM126	3	EC_VISIBLE	3	3	150
DNFAM127	3	EC_VISIBLE	3	1	4
DNFAM128	3	EC_VISIBLE	3	1	388
DNFAM129	3	EC_DROPPED	3	0	0
DNFAM130	3	EC_DROPPED	3	0	0
DNFAM131	3	EC_DROPPED	3	0	0
DNFAM132	3	EC_VISIBLE	3	3	678
DNFAM133	3	EC_VISIBLE	3	3	73
DNFAM134	3	EC_DROPPED	3	0	0
DNFAM135	3	EC_VISIBLE	3	1	33
DNFAM136	3	EC_VISIBLE	3	3	1563
DNFAM137	3	EC_DROPPED	3	0	0
DNFAM138	3	EC_VISIBLE	3	3	2415
DNFAM139	3	EC_VISIBLE	3	3	1051
DNFAM140	3	EC_VISIBLE	3	1	125
DNFAM141	3	EC_VISIBLE	3	3	188
DNFAM142	3	EC_VISIBLE	3	3	336
DNFAM143	3	EC_VISIBLE	3	1	6
DNFAM144	3	EC_VISIBLE	3	1	330
DNFAM145	3	EC_VISIBLE	3	3	789
DNFAM146	3	EC_VISIBLE	3	3	4365
DNFAM147	3	EC_VISIBLE	3	3	592
DNFAM148	3	EC_VISIBLE	3	3	177
DNFAM149	3	EC_VISIBLE	3	3	19
DNFAM150	3	EC_VISIBLE	3	1	18
DNFAM151	3	EC_VISIBLE	3	3	129
DNFAM152	3	EC_VISIBLE	3	3	204
DNFAM153	3	EC_VISIBLE	3	1	261
DNFAM154	3	EC_DROPPED	3	0	0
DNFAM155	3	EC_VISIBLE	3	1	307
DNFAM156	3	EC_DROPPED	3	0	0
DNFAM157	3	EC_DROPPED	3	0	0
DNFAM158	3	EC_VISIBLE	3	1	104
DNFAM159	3	EC_VISIBLE	3	3	234
DNFAM160	3	EC_VISIBLE	3	1	361
DNFAM161	3	EC_VISIBLE	3	1	538
DNFAM162	3	EC_VISIBLE	3	3	291
DNFAM163	3	EC_DROPPED	3	0	0
DNFAM164	3	EC_VISIBLE	3	3	964
DNFAM165	3	EC_VISIBLE	3	1	450
DNFAM166	3	EC_VISIBLE	3	1	185
DNFAM167	3	EC_DROPPED	3	0	0
DNFAM168	3	EC_VISIBLE	3	3	606
DNFAM169	3	EC_DROPPED	3	0	0
DNFAM170	3	EC_VISIBLE	3	1	18
DNFAM171	3	EC_VISIBLE	3	3	99
DNFAM172	3	EC_DROPPED	3	0	0
DNFAM173	3	EC_DROPPED	3	0	0
DNFAM174	3	EC_DROPPED	3	0	0
DNFAM175	3	EC_DROPPED	3	0	0
DNFAM176	3	EC_VISIBLE	3	1	14
DNFAM177	3	EC_VISIBLE	3	3	183
DNFAM178	3	EC_VISIBLE	3	3	321
DNFAM179	3	EC_DROPPED	3	0	0
DNFAM180	3	EC_VISIBLE	3	3	744
DNFAM181	3	EC_VISIBLE	3	2	135
DNFAM182	3	EC_VISIBLE	3	3	393
DNFAM183	3	EC_VISIBLE	3	3	174
DNFAM184	3	EC_VISIBLE	3	3	790
DNFAM185	3	EC_DROPPED	3	0	0
DNFAM186	3	EC_VISIBLE	3	3	543
DNFAM187	3	EC_VISIBLE	3	3	2139
DNFAM188	3	EC_DROPPED	3	0	0
DNFAM189	3	EC_VISIBLE	3	3	6075
DNFAM190	3	EC_VISIBLE	3	3	2118
DNFAM191	3	EC_VISIBLE	3	3	1932
DNFAM192	3	EC_VISIBLE	3	1	19
DNFAM193	3	EC_VISIBLE	3	3	216
DNFAM194	3	EC_VISIBLE	3	3	88
DNFAM195	3	EC_VISIBLE	3	1	39
DNFAM196	3	EC_VISIBLE	3	3	239
DNFAM197	3	EC_VISIBLE	3	3	579
DNFAM198	3	EC_DROPPED	3	0	0
DNFAM199	3	EC_VISIBLE	3	3	1006
DNFAM200	3	EC_VISIBLE	3	1	4
DNFAM201	3	EC_VISIBLE	3	3	351
DNFAM202	3	EC_DROPPED	3	0	0
DNFAM203	3	EC_VISIBLE	3	1	170
DNFAM204	3	EC_VISIBLE	3	3	1554
DNFAM205	3	EC_VISIBLE	3	3	1282
DNFAM206	3	EC_DROPPED	3	0	0
DNFAM207	3	EC_VISIBLE	3	3	288
DNFAM208	3	EC_VISIBLE	3	3	689
DNFAM209	3	EC_DROPPED	3	0	0
DNFAM210	3	EC_VISIBLE	3	1	366
DNFAM211	3	EC_VISIBLE	3	3	4438
DNFAM212	3	EC_VISIBLE	3	1	67
DNFAM213	3	EC_DROPPED	3	0	0
DNFAM214	3	EC_VISIBLE	3	1	80
DNFAM215	3	EC_VISIBLE	3	3	336
DNFAM216	3	EC_VISIBLE	3	1	12
DNFAM217	3	EC_VISIBLE	3	3	221
DNFAM218	3	EC_VISIBLE	3	1	155
DNFAM219	3	EC_VISIBLE	3	3	1715
DNFAM220	3	EC_VISIBLE	3	1	3
DNFAM221	3	EC_VISIBLE	3	3	127
DNFAM222	3	EC_VISIBLE	3	3	166
DNFAM223	3	EC_VISIBLE	3	3	210
DNFAM224	3	EC_VISIBLE	3	3	405
DNFAM225	3	EC_VISIBLE	3	3	1549
DNFAM226	3	EC_DROPPED	3	0	0
DNFAM227	3	EC_VISIBLE	3	1	37
DNFAM228	3	EC_VISIBLE	3	3	457
DNFAM229	3	EC_VISIBLE	3	3	16520
DNFAM230	3	EC_VISIBLE	3	2	12
DNFAM231	3	EC_DROPPED	3	0	0
DNFAM232	3	EC_VISIBLE	3	3	989
DNFAM233	3	EC_VISIBLE	3	3	2160
DNFAM234	3	EC_VISIBLE	3	3	624
DNFAM235	3	EC_DROPPED	3	0	0
DNFAM236	3	EC_VISIBLE	2	1	12
DNFAM237	3	EC_VISIBLE	3	3	2331
DNFAM238	3	EC_VISIBLE	3	1	129
DNFAM239	3	EC_DROPPED	3	0	0
DNFAM240	3	EC_VISIBLE	3	3	435
DNFAM241	3	EC_VISIBLE	2	1	500
DNFAM242	3	EC_VISIBLE	3	3	1239
DNFAM243	3	EC_VISIBLE	3	3	4510
DNFAM244	3	EC_VISIBLE	3	3	2366
DNFAM245	3	EC_VISIBLE	3	1	331
DNFAM246	3	EC_VISIBLE	3	3	1011
DNFAM247	3	EC_DROPPED	3	0	0
DNFAM248	3	EC_VISIBLE	3	3	276
DNFAM249	3	EC_VISIBLE	3	3	424
DNFAM250	3	EC_DROPPED	3	0	0
DNFAM251	3	EC_VISIBLE	3	3	60
DNFAM252	3	EC_DROPPED	3	0	0
DNFAM253	3	EC_VISIBLE	3	3	147
DNFAM254	3	EC_DROPPED	3	0	0
DNFAM255	3	EC_DROPPED	3	0	0
DNFAM256	3	EC_VISIBLE	3	3	2370
DNFAM257	3	EC_DROPPED	3	0	0
DNFAM258	3	EC_DROPPED	3	0	0
DNFAM259	3	EC_VISIBLE	3	3	251
DNFAM260	3	EC_DROPPED	3	0	0
DNFAM261	3	EC_VISIBLE	3	3	423
DNFAM262	3	EC_DROPPED	3	0	0
DNFAM263	3	EC_VISIBLE	3	3	327
DNFAM264	3	EC_VISIBLE	3	1	190
DNFAM265	3	EC_VISIBLE	3	1	2103
DNFAM266	3	EC_VISIBLE	3	3	315
DNFAM267	3	EC_VISIBLE	3	3	1674
DNFAM268	3	EC_VISIBLE	3	3	958
DNFAM269	3	EC_VISIBLE	3	3	36
DNFAM270	3	EC_VISIBLE	3	1	121
DNFAM271	3	EC_VISIBLE	3	3	7098
DNFAM272	2	EC_VISIBLE	2	1	51
DNFAM273	2	EC_DROPPED	2	0	0
DNFAM274	2	EC_VISIBLE	2	1	1444
DNFAM275	2	EC_VISIBLE	2	1	365
DNFAM276	2	EC_VISIBLE	2	1	139
DNFAM277	2	EC_VISIBLE	2	1	4
DNFAM278	2	EC_VISIBLE	2	1	83
DNFAM279	2	EC_VISIBLE	2	1	127
DNFAM280	2	EC_DROPPED	2	0	0
DNFAM281	2	EC_DROPPED	2	0	0
DNFAM282	2	EC_VISIBLE	2	1	933
DNFAM283	2	EC_DROPPED	2	0	0
DNFAM284	2	EC_VISIBLE	2	1	880
DNFAM285	2	EC_VISIBLE	2	1	53
DNFAM286	2	EC_VISIBLE	2	1	54
DNFAM287	2	EC_VISIBLE	2	1	40
DNFAM288	2	EC_VISIBLE	2	1	110
DNFAM289	2	EC_VISIBLE	2	1	378
DNFAM290	2	EC_DROPPED	2	0	0
DNFAM291	2	EC_VISIBLE	2	1	112
DNFAM292	2	EC_DROPPED	2	0	0
DNFAM293	2	EC_VISIBLE	2	1	417
DNFAM294	2	EC_DROPPED	2	0	0
DNFAM295	2	EC_DROPPED	2	0	0
DNFAM296	2	EC_DROPPED	2	0	0
DNFAM297	2	EC_DROPPED	2	0	0
DNFAM298	2	EC_DROPPED	2	0	0
DNFAM299	2	EC_VISIBLE	2	1	239
DNFAM300	2	EC_VISIBLE	2	1	36
DNFAM301	2	EC_VISIBLE	2	1	220
DNFAM302	2	EC_VISIBLE	2	1	93
DNFAM303	2	EC_VISIBLE	2	1	3892
DNFAM304	2	EC_VISIBLE	2	1	45
DNFAM305	2	EC_VISIBLE	2	1	136
DNFAM306	2	EC_VISIBLE	2	1	858
DNFAM307	2	EC_VISIBLE	2	1	15
DNFAM308	2	EC_DROPPED	2	0	0
DNFAM309	2	EC_VISIBLE	2	1	45
DNFAM310	2	EC_VISIBLE	2	1	50
DNFAM311	2	EC_DROPPED	2	0	0
DNFAM312	2	EC_VISIBLE	2	1	11
DNFAM313	2	EC_VISIBLE	2	1	140
DNFAM314	2	EC_VISIBLE	2	1	9
DNFAM315	2	EC_DROPPED	2	0	0
DNFAM316	2	EC_VISIBLE	2	1	70
DNFAM317	2	EC_DROPPED	2	0	0
DNFAM318	2	EC_VISIBLE	2	1	38
DNFAM319	2	EC_DROPPED	2	0	0
DNFAM320	2	EC_VISIBLE	2	1	96
DNFAM321	2	EC_VISIBLE	2	1	349
DNFAM322	2	EC_DROPPED	2	0	0
DNFAM323	2	EC_VISIBLE	2	1	150
DNFAM324	2	EC_DROPPED	2	0	0
DNFAM325	2	EC_DROPPED	2	0	0
DNFAM326	2	EC_VISIBLE	2	1	243
DNFAM327	2	EC_DROPPED	2	0	0
DNFAM328	2	EC_VISIBLE	2	1	1094
DNFAM329	2	EC_DROPPED	2	0	0
DNFAM330	2	EC_VISIBLE	2	1	1019
DNFAM331	2	EC_VISIBLE	2	1	206
DNFAM332	2	EC_VISIBLE	2	1	85
DNFAM333	2	EC_VISIBLE	2	1	474
DNFAM334	2	EC_DROPPED	2	0	0
DNFAM335	2	EC_VISIBLE	2	1	222
DNFAM336	2	EC_VISIBLE	2	1	336
DNFAM337	2	EC_DROPPED	2	0	0
DNFAM338	2	EC_DROPPED	2	0	0
DNFAM339	2	EC_VISIBLE	2	1	17
DNFAM340	2	EC_VISIBLE	2	1	20
DNFAM341	2	EC_VISIBLE	2	1	245
DNFAM342	2	EC_VISIBLE	2	1	61
DNFAM343	2	EC_DROPPED	2	0	0
DNFAM344	2	EC_VISIBLE	2	1	256
DNFAM345	2	EC_DROPPED	2	0	0
DNFAM346	2	EC_VISIBLE	2	1	41
DNFAM347	2	EC_VISIBLE	2	1	551
DNFAM348	2	EC_DROPPED	2	0	0
DNFAM349	2	EC_DROPPED	2	0	0
DNFAM350	2	EC_DROPPED	2	0	0
DNFAM351	2	EC_DROPPED	2	0	0
DNFAM352	2	EC_VISIBLE	2	1	425
DNFAM353	2	EC_VISIBLE	2	1	46
DNFAM354	2	EC_VISIBLE	2	1	64
DNFAM355	2	EC_VISIBLE	2	1	119
DNFAM356	2	EC_VISIBLE	2	1	62
DNFAM357	2	EC_VISIBLE	2	1	540
DNFAM358	2	EC_DROPPED	2	0	0
DNFAM359	2	EC_DROPPED	2	0	0
DNFAM360	2	EC_VISIBLE	2	1	109
DNFAM361	2	EC_VISIBLE	2	1	391
DNFAM362	2	EC_VISIBLE	2	1	262
DNFAM363	2	EC_VISIBLE	2	1	141
DNFAM364	2	EC_VISIBLE	2	1	341
DNFAM365	2	EC_VISIBLE	2	1	5
DNFAM366	2	EC_VISIBLE	2	1	71
DNFAM367	2	EC_VISIBLE	2	1	117
DNFAM368	2	EC_VISIBLE	2	1	135
DNFAM369	2	EC_VISIBLE	2	1	173
DNFAM370	2	EC_DROPPED	2	0	0
DNFAM371	2	EC_VISIBLE	2	1	201
DNFAM372	2	EC_VISIBLE	2	1	23
DNFAM373	2	EC_VISIBLE	2	1	269
DNFAM374	2	EC_DROPPED	2	0	0
DNFAM375	2	EC_VISIBLE	2	1	86
DNFAM376	2	EC_DROPPED	2	0	0
DNFAM377	2	EC_VISIBLE	2	1	418
DNFAM378	2	EC_DROPPED	2	0	0
DNFAM379	2	EC_DROPPED	2	0	0
DNFAM380	2	EC_VISIBLE	2	1	1722
DNFAM381	2	EC_VISIBLE	2	1	43
DNFAM382	2	EC_VISIBLE	2	1	38
DNFAM383	2	EC_VISIBLE	2	1	37
DNFAM384	2	EC_DROPPED	2	0	0
DNFAM385	2	EC_DROPPED	2	0	0
DNFAM386	2	EC_DROPPED	2	0	0
DNFAM387	2	EC_VISIBLE	2	1	440
DNFAM388	2	EC_VISIBLE	2	1	15
DNFAM389	2	EC_DROPPED	2	0	0
DNFAM390	2	EC_DROPPED	2	0	0
DNFAM391	2	EC_VISIBLE	2	1	27
DNFAM392	2	EC_VISIBLE	2	1	44
DNFAM393	2	EC_VISIBLE	2	1	107
DNFAM394	2	EC_VISIBLE	2	1	114
DNFAM395	2	EC_VISIBLE	2	1	218
DNFAM396	2	EC_DROPPED	2	0	0
DNFAM397	2	EC_VISIBLE	2	1	123
DNFAM398	2	EC_VISIBLE	2	1	493
DNFAM399	2	EC_VISIBLE	2	1	102
DNFAM400	2	EC_VISIBLE	2	1	3366
DNFAM401	2	EC_DROPPED	2	0	0
DNFAM402	2	EC_VISIBLE	2	1	12
DNFAM403	2	EC_DROPPED	2	0	0
DNFAM404	2	EC_VISIBLE	2	1	40
DNFAM405	2	EC_VISIBLE	2	1	241
DNFAM406	2	EC_VISIBLE	2	1	94
DNFAM407	2	EC_VISIBLE	2	1	141
DNFAM408	2	EC_VISIBLE	2	1	107
DNFAM409	2	EC_VISIBLE	2	1	173
DNFAM410	2	EC_VISIBLE	2	1	33
DNFAM411	2	EC_VISIBLE	2	1	136
DNFAM412	2	EC_VISIBLE	2	1	39
DNFAM413	2	EC_DROPPED	2	0	0
DNFAM414	2	EC_DROPPED	2	0	0
DNFAM415	2	EC_VISIBLE	2	1	228
DNFAM416	2	EC_VISIBLE	2	1	89
DNFAM417	2	EC_DROPPED	2	0	0
DNFAM418	2	EC_VISIBLE	2	1	11
DNFAM419	2	EC_VISIBLE	2	1	19
DNFAM420	2	EC_VISIBLE	2	1	110
DNFAM421	2	EC_VISIBLE	2	1	10
DNFAM422	2	EC_VISIBLE	2	1	183
DNFAM423	2	EC_VISIBLE	2	1	9
DNFAM424	2	EC_VISIBLE	2	1	115
DNFAM425	2	EC_DROPPED	2	0	0
DNFAM426	2	EC_DROPPED	2	0	0
DNFAM427	2	EC_VISIBLE	2	1	483
DNFAM428	2	EC_VISIBLE	2	1	36
DNFAM429	2	EC_VISIBLE	2	1	59
DNFAM430	2	EC_DROPPED	2	0	0
DNFAM431	2	EC_DROPPED	2	0	0
DNFAM432	2	EC_DROPPED	2	0	0
DNFAM433	2	EC_VISIBLE	2	1	10
DNFAM434	2	EC_VISIBLE	2	1	91
DNFAM435	2	EC_DROPPED	2	0	0
DNFAM436	2	EC_DROPPED	2	0	0
DNFAM437	2	EC_DROPPED	2	0	0
DNFAM438	2	EC_VISIBLE	2	1	1691
DNFAM439	2	EC_DROPPED	2	0	0
DNFAM440	2	EC_VISIBLE	2	1	1056
DNFAM441	2	EC_DROPPED	2	0	0
DNFAM442	2	EC_VISIBLE	2	1	242
DNFAM443	2	EC_DROPPED	2	0	0
DNFAM444	2	EC_VISIBLE	2	1	123
DNFAM445	2	EC_VISIBLE	2	1	26
DNFAM446	2	EC_DROPPED	2	0	0
DNFAM447	2	EC_VISIBLE	2	1	309
DNFAM448	2	EC_VISIBLE	2	1	47
DNFAM449	2	EC_VISIBLE	2	1	647
DNFAM450	2	EC_DROPPED	2	0	0
DNFAM451	2	EC_VISIBLE	2	1	104
DNFAM452	2	EC_DROPPED	2	0	0
