family_id	n_copies	class	covered	loci_amb	tot_reads	mapq0_frac
DNFAM0	728	SKIP_BLOB	0	0	0	0
DNFAM1	28	EC_VISIBLE	28	8	4888	0.1628
DNFAM2	26	EC_VISIBLE	26	2	3951	0.001
DNFAM3	23	EC_DROPPED	23	0	3224	0.0
DNFAM4	17	EC_VISIBLE	17	4	2855	0.0235
DNFAM5	16	EC_VISIBLE	16	4	529	0.0397
DNFAM6	16	EC_DROPPED	16	0	2409	0.0004
DNFAM7	16	EC_DROPPED	16	0	10064	0.0
DNFAM8	15	EC_DROPPED	15	0	5364	0.0009
DNFAM9	15	EC_DROPPED	15	1	1814	0.0006
DNFAM10	14	EC_VISIBLE	14	2	1764	0.0079
DNFAM11	13	EC_VISIBLE	13	3	637	0.0188
DNFAM12	11	EC_DROPPED	11	0	4253	0.0005
DNFAM13	10	EC_VISIBLE	9	2	1191	0.0084
DNFAM14	10	EC_VISIBLE	10	7	277	0.7148
DNFAM15	9	EC_DROPPED	9	0	218	0.0
DNFAM16	9	EC_VISIBLE	9	3	136	0.0882
DNFAM17	8	EC_DROPPED	8	0	1012	0.0
DNFAM18	8	EC_DROPPED	8	0	691	0.0
DNFAM19	8	EC_DROPPED	8	0	891	0.0
DNFAM20	8	EC_DROPPED	8	0	1314	0.0
DNFAM21	7	EC_DROPPED	7	0	3479	0.0
DNFAM22	7	EC_VISIBLE	7	3	895	0.0503
DNFAM23	7	EC_DROPPED	7	0	11871	0.0
DNFAM24	7	EC_DROPPED	7	0	9692	0.0
DNFAM25	7	EC_DROPPED	7	0	3274	0.0
DNFAM26	7	EC_DROPPED	7	1	624	0.008
DNFAM27	7	EC_VISIBLE	7	2	763	0.0092
DNFAM28	7	EC_DROPPED	7	0	492	0.0102
DNFAM29	7	EC_DROPPED	7	0	428	0.0
DNFAM30	7	EC_DROPPED	7	0	9974	0.0
DNFAM31	6	EC_DROPPED	6	0	1988	0.001
DNFAM32	6	EC_VISIBLE	6	2	2616	0.0157
DNFAM33	6	EC_DROPPED	6	0	1839	0.0
DNFAM34	6	EC_DROPPED	6	0	1002	0.0
DNFAM35	6	EC_DROPPED	5	0	177	0.0
DNFAM36	6	EC_DROPPED	6	0	35	0.0
DNFAM37	6	EC_DROPPED	6	0	1901	0.0
DNFAM38	5	EC_DROPPED	4	0	339	0.0
DNFAM39	5	EC_VISIBLE	5	2	220	0.0682
DNFAM40	5	EC_DROPPED	5	0	659	0.0
DNFAM41	5	EC_DROPPED	5	0	1082	0.0
DNFAM42	5	EC_VISIBLE	5	5	1661	0.3281
DNFAM43	5	EC_DROPPED	5	0	1088	0.0
DNFAM44	5	EC_DROPPED	5	0	1282	0.0
DNFAM45	5	EC_VISIBLE	5	4	308	0.9351
DNFAM46	5	EC_VISIBLE	5	4	183	0.0874
DNFAM47	5	EC_DROPPED	5	0	507	0.0
DNFAM48	5	EC_DROPPED	5	0	2239	0.0027
DNFAM49	5	EC_DROPPED	5	0	4487	0.0
DNFAM50	5	EC_DROPPED	5	0	3265	0.0
DNFAM51	5	EC_DROPPED	5	0	1577	0.0
DNFAM52	5	EC_DROPPED	5	1	180	0.0056
DNFAM53	5	EC_DROPPED	5	0	195	0.0154
DNFAM54	5	EC_DROPPED	5	0	150	0.0
DNFAM55	5	EC_DROPPED	5	0	687	0.0
DNFAM56	5	EC_DROPPED	5	0	217	0.0
DNFAM57	5	EC_DROPPED	5	0	7215	0.0
DNFAM58	5	EC_DROPPED	5	0	1605	0.0
DNFAM59	5	EC_DROPPED	5	0	9152	0.0
