class	gene	reads	read_junctions	read_and_annotated	annotated_introns	model_junctions	model_and_read	model_and_annotated
family-good	AMY1A	164	12	9	9	8	8	8
family-good	AMY2B	904	67	10	10	25	25	10
family-good	GOLGA6L10	429	16	7	7	9	9	7
family-good	FAM72A	425	43	5	12	4	4	3
family-good	SEC22B	1197	12	3	3	4	4	3
family-bad	SRGAP2	1128	56	28	28	22	22	21
family-bad	SRGAP2C	858	22	9	9	9	9	8
family-bad	NOTCH2NLC	917	55	3	3	88	32	0
family-bad	NBPF26	119	28	24	36	19	19	18
single-copy	RPL22	710	8	2	2	0	0	0
single-copy	SDHB	345	12	6	7	0	0	0
single-copy	CAPZB	3043	52	11	15	0	0	0
single-copy	PSMB4	98	23	5	5	0	0	0
single-copy	B2M	2152	4	2	2	0	0	0
single-copy	IGF1R	3545	69	21	21	0	0	0
single-copy	THBS1	3174	55	20	21	0	0	0
single-copy	CHD2	3553	128	37	37	0	0	0
