Node,Colour
1,#9aa0a6
2,#1e8e3e
3,#9aa0a6
4,#9aa0a6
5,#1e8e3e
6,#9aa0a6
7,#1e8e3e
8,#9aa0a6
9,#1e8e3e
10,#9aa0a6
11,#1e8e3e
12,#9aa0a6
13,#9aa0a6
14,#9aa0a6
15,#1e8e3e
16,#9aa0a6
17,#1e8e3e
18,#9aa0a6
19,#9aa0a6
20,#1e8e3e
21,#9aa0a6
22,#9aa0a6
23,#1e8e3e
24,#9aa0a6
25,#1e8e3e
26,#9aa0a6
27,#9aa0a6
28,#9aa0a6
29,#1e8e3e
30,#9aa0a6
31,#9aa0a6
32,#1e8e3e
33,#9aa0a6
34,#9aa0a6
35,#1e8e3e
36,#9aa0a6
37,#9aa0a6
38,#1e8e3e
39,#9aa0a6
40,#9aa0a6
41,#1e8e3e
42,#9aa0a6
43,#9aa0a6
44,#9aa0a6
45,#9aa0a6
46,#1e8e3e
47,#9aa0a6
48,#1e8e3e
49,#9aa0a6
50,#9aa0a6
51,#1e8e3e
52,#9aa0a6
53,#9aa0a6
54,#9aa0a6
55,#9aa0a6
56,#1e8e3e
57,#9aa0a6
58,#1e8e3e
59,#9aa0a6
60,#9aa0a6
61,#1e8e3e
62,#9aa0a6
63,#9aa0a6
64,#1e8e3e
65,#9aa0a6
66,#9aa0a6
67,#9aa0a6
68,#9aa0a6
69,#1e8e3e
70,#9aa0a6
71,#9aa0a6
72,#1e8e3e
73,#9aa0a6
74,#9aa0a6
75,#1e8e3e
76,#9aa0a6
77,#1e8e3e
78,#9aa0a6
79,#9aa0a6
80,#1e8e3e
81,#9aa0a6
82,#9aa0a6
83,#9aa0a6
84,#9aa0a6
85,#9aa0a6
86,#1e8e3e
87,#1e8e3e
88,#9aa0a6
89,#1e8e3e
90,#1e8e3e
91,#9aa0a6
92,#9aa0a6
93,#1e8e3e
94,#9aa0a6
95,#9aa0a6
96,#9aa0a6
97,#9aa0a6
98,#9aa0a6
99,#1e8e3e
100,#9aa0a6
101,#9aa0a6
102,#9aa0a6
103,#9aa0a6
104,#1e8e3e
105,#9aa0a6
106,#9aa0a6
107,#9aa0a6
108,#1e8e3e
109,#9aa0a6
110,#1e8e3e
111,#9aa0a6
112,#9aa0a6
113,#1e8e3e
114,#9aa0a6
115,#9aa0a6
116,#1e8e3e
117,#9aa0a6
118,#9aa0a6
119,#1e8e3e
120,#9aa0a6
121,#1e8e3e
122,#9aa0a6
123,#9aa0a6
124,#1e8e3e
125,#9aa0a6
126,#9aa0a6
127,#1e8e3e
128,#9aa0a6
129,#1e8e3e
130,#9aa0a6
131,#9aa0a6
132,#1e8e3e
133,#9aa0a6
134,#9aa0a6
135,#1e8e3e
136,#9aa0a6
137,#9aa0a6
138,#9aa0a6
139,#1e8e3e
140,#9aa0a6
141,#1e8e3e
142,#9aa0a6
143,#9aa0a6
144,#1e8e3e
145,#9aa0a6
146,#9aa0a6
147,#1e8e3e
148,#9aa0a6
149,#1e8e3e
150,#9aa0a6
151,#9aa0a6
152,#9aa0a6
153,#9aa0a6
154,#9aa0a6
155,#9aa0a6
156,#1e8e3e
157,#9aa0a6
158,#9aa0a6
159,#9aa0a6
160,#1e8e3e
161,#9aa0a6
162,#9aa0a6
163,#9aa0a6
164,#1e8e3e
165,#9aa0a6
166,#1e8e3e
167,#9aa0a6
168,#9aa0a6
169,#9aa0a6
170,#9aa0a6
171,#9aa0a6
172,#1e8e3e
173,#9aa0a6
174,#9aa0a6
175,#9aa0a6
176,#9aa0a6
177,#1e8e3e
178,#9aa0a6
179,#1e8e3e
180,#9aa0a6
181,#1e8e3e
182,#9aa0a6
183,#9aa0a6
184,#1e8e3e
185,#9aa0a6
186,#9aa0a6
187,#9aa0a6
188,#1e8e3e
189,#9aa0a6
190,#9aa0a6
191,#1e8e3e
192,#9aa0a6
193,#1e8e3e
194,#9aa0a6
195,#9aa0a6
196,#9aa0a6
197,#1e8e3e
198,#9aa0a6
199,#9aa0a6
200,#1e8e3e
201,#9aa0a6
202,#1e8e3e
203,#9aa0a6
204,#1e8e3e
205,#9aa0a6
206,#1e8e3e
207,#9aa0a6
208,#9aa0a6
209,#9aa0a6
210,#9aa0a6
211,#9aa0a6
212,#9aa0a6
213,#1e8e3e
