Node,Colour
1,#1e8e3e
2,#d93025
3,#1e8e3e
4,#1e8e3e
5,#1e8e3e
6,#1e8e3e
7,#9aa0a6
8,#d93025
9,#1e8e3e
10,#1e8e3e
11,#9aa0a6
12,#d93025
13,#1e8e3e
14,#1e8e3e
15,#9aa0a6
16,#1e8e3e
17,#9aa0a6
18,#1e8e3e
19,#d93025
20,#1e8e3e
21,#9aa0a6
22,#1e8e3e
23,#1e8e3e
24,#d93025
25,#9aa0a6
26,#9aa0a6
27,#1e8e3e
28,#9aa0a6
29,#1e8e3e
30,#1e8e3e
31,#1e8e3e
32,#9aa0a6
33,#1e8e3e
34,#d93025
35,#9aa0a6
36,#d93025
37,#1e8e3e
38,#1e8e3e
39,#1e8e3e
40,#1e8e3e
41,#1e8e3e
42,#9aa0a6
43,#d93025
44,#1e8e3e
45,#1e8e3e
46,#1e8e3e
47,#9aa0a6
48,#1e8e3e
49,#1e8e3e
50,#1e8e3e
51,#9aa0a6
52,#1e8e3e
53,#9aa0a6
54,#9aa0a6
55,#1e8e3e
56,#d93025
57,#1e8e3e
58,#9aa0a6
59,#9aa0a6
60,#1e8e3e
61,#9aa0a6
62,#1e8e3e
63,#9aa0a6
64,#d93025
65,#1e8e3e
66,#1e8e3e
67,#1e8e3e
68,#9aa0a6
69,#9aa0a6
70,#1e8e3e
71,#1e8e3e
72,#9aa0a6
73,#d93025
74,#1e8e3e
75,#9aa0a6
76,#1e8e3e
77,#9aa0a6
78,#1e8e3e
79,#1e8e3e
80,#1e8e3e
81,#d93025
82,#9aa0a6
83,#1e8e3e
84,#d93025
85,#1e8e3e
86,#1e8e3e
87,#1e8e3e
88,#9aa0a6
89,#1e8e3e
90,#9aa0a6
91,#9aa0a6
92,#1e8e3e
93,#9aa0a6
94,#1e8e3e
95,#d93025
96,#1e8e3e
97,#9aa0a6
98,#d93025
99,#1e8e3e
100,#1e8e3e
101,#1e8e3e
102,#9aa0a6
103,#1e8e3e
104,#d93025
105,#1e8e3e
106,#9aa0a6
107,#1e8e3e
108,#1e8e3e
109,#9aa0a6
110,#1e8e3e
111,#d93025
112,#1e8e3e
113,#1e8e3e
114,#9aa0a6
115,#1e8e3e
116,#1e8e3e
117,#1e8e3e
118,#9aa0a6
119,#9aa0a6
120,#1e8e3e
121,#9aa0a6
122,#9aa0a6
123,#1e8e3e
124,#9aa0a6
125,#d93025
126,#1e8e3e
127,#1e8e3e
128,#9aa0a6
129,#1e8e3e
130,#d93025
131,#1e8e3e
132,#1e8e3e
133,#9aa0a6
134,#1e8e3e
135,#9aa0a6
136,#9aa0a6
137,#1e8e3e
138,#d93025
139,#1e8e3e
140,#9aa0a6
141,#d93025
142,#1e8e3e
143,#1e8e3e
144,#9aa0a6
145,#d93025
146,#9aa0a6
147,#1e8e3e
148,#1e8e3e
149,#9aa0a6
150,#1e8e3e
151,#9aa0a6
152,#1e8e3e
153,#9aa0a6
154,#1e8e3e
155,#1e8e3e
156,#d93025
157,#1e8e3e
158,#1e8e3e
159,#1e8e3e
