Node,Colour
1,#d93025
2,#d93025
3,#1e8e3e
4,#1e8e3e
5,#1e8e3e
6,#d93025
7,#1e8e3e
8,#9aa0a6
9,#d93025
10,#d93025
11,#1e8e3e
12,#1e8e3e
13,#1e8e3e
14,#d93025
15,#1e8e3e
16,#9aa0a6
17,#1e8e3e
18,#1e8e3e
19,#d93025
20,#1e8e3e
21,#1e8e3e
22,#d93025
23,#d93025
24,#9aa0a6
25,#1e8e3e
26,#d93025
27,#d93025
28,#1e8e3e
29,#1e8e3e
30,#1e8e3e
31,#d93025
32,#9aa0a6
33,#d93025
34,#1e8e3e
35,#d93025
36,#9aa0a6
37,#1e8e3e
38,#1e8e3e
39,#9aa0a6
40,#1e8e3e
41,#1e8e3e
42,#1e8e3e
43,#d93025
44,#d93025
45,#d93025
46,#1e8e3e
47,#9aa0a6
48,#d93025
49,#1e8e3e
50,#1e8e3e
51,#d93025
52,#1e8e3e
53,#9aa0a6
54,#1e8e3e
55,#1e8e3e
56,#1e8e3e
57,#1e8e3e
58,#d93025
59,#d93025
60,#d93025
61,#9aa0a6
62,#d93025
63,#d93025
64,#1e8e3e
65,#1e8e3e
66,#1e8e3e
67,#d93025
68,#1e8e3e
69,#9aa0a6
70,#d93025
71,#d93025
72,#d93025
73,#1e8e3e
74,#1e8e3e
75,#1e8e3e
76,#1e8e3e
77,#9aa0a6
78,#d93025
79,#d93025
80,#d93025
81,#1e8e3e
82,#1e8e3e
83,#1e8e3e
84,#1e8e3e
85,#9aa0a6
86,#1e8e3e
87,#9aa0a6
88,#1e8e3e
89,#9aa0a6
90,#d93025
91,#9aa0a6
92,#d93025
93,#9aa0a6
94,#d93025
95,#d93025
96,#1e8e3e
97,#1e8e3e
98,#1e8e3e
99,#1e8e3e
100,#9aa0a6
101,#d93025
102,#d93025
103,#d93025
104,#1e8e3e
105,#1e8e3e
106,#1e8e3e
107,#1e8e3e
