Node,Colour
1,#9aa0a6
2,#1e8e3e
3,#1e8e3e
4,#9aa0a6
5,#1e8e3e
6,#d93025
7,#1e8e3e
8,#9aa0a6
9,#1e8e3e
10,#1e8e3e
11,#1e8e3e
12,#d93025
13,#9aa0a6
14,#1e8e3e
15,#9aa0a6
16,#9aa0a6
17,#1e8e3e
18,#1e8e3e
19,#9aa0a6
20,#9aa0a6
21,#1e8e3e
22,#1e8e3e
23,#9aa0a6
24,#1e8e3e
25,#9aa0a6
26,#9aa0a6
27,#1e8e3e
28,#1e8e3e
29,#9aa0a6
30,#1e8e3e
31,#9aa0a6
32,#1e8e3e
33,#d93025
34,#1e8e3e
35,#9aa0a6
36,#9aa0a6
37,#9aa0a6
38,#1e8e3e
39,#1e8e3e
40,#d93025
41,#1e8e3e
42,#9aa0a6
43,#9aa0a6
44,#9aa0a6
45,#1e8e3e
46,#9aa0a6
47,#9aa0a6
48,#1e8e3e
49,#9aa0a6
50,#9aa0a6
51,#1e8e3e
52,#1e8e3e
53,#9aa0a6
54,#1e8e3e
55,#9aa0a6
56,#1e8e3e
57,#9aa0a6
58,#1e8e3e
59,#1e8e3e
60,#9aa0a6
61,#9aa0a6
62,#1e8e3e
63,#9aa0a6
64,#9aa0a6
65,#9aa0a6
66,#9aa0a6
67,#1e8e3e
68,#9aa0a6
69,#1e8e3e
70,#9aa0a6
71,#1e8e3e
72,#9aa0a6
73,#9aa0a6
74,#1e8e3e
75,#1e8e3e
76,#9aa0a6
77,#9aa0a6
78,#1e8e3e
79,#1e8e3e
80,#9aa0a6
81,#1e8e3e
82,#9aa0a6
83,#9aa0a6
84,#9aa0a6
85,#1e8e3e
86,#d93025
87,#1e8e3e
88,#1e8e3e
89,#9aa0a6
90,#1e8e3e
91,#9aa0a6
92,#1e8e3e
93,#9aa0a6
94,#1e8e3e
95,#1e8e3e
96,#9aa0a6
97,#9aa0a6
98,#1e8e3e
99,#d93025
100,#9aa0a6
101,#9aa0a6
102,#1e8e3e
103,#9aa0a6
104,#1e8e3e
105,#9aa0a6
106,#9aa0a6
107,#1e8e3e
108,#1e8e3e
109,#9aa0a6
110,#1e8e3e
111,#9aa0a6
112,#1e8e3e
113,#9aa0a6
114,#1e8e3e
115,#9aa0a6
116,#9aa0a6
117,#1e8e3e
118,#9aa0a6
119,#1e8e3e
120,#9aa0a6
121,#1e8e3e
122,#9aa0a6
123,#1e8e3e
124,#9aa0a6
125,#1e8e3e
126,#9aa0a6
127,#1e8e3e
128,#9aa0a6
129,#1e8e3e
130,#9aa0a6
131,#9aa0a6
132,#1e8e3e
133,#9aa0a6
134,#9aa0a6
135,#1e8e3e
136,#1e8e3e
137,#d93025
138,#1e8e3e
139,#9aa0a6
140,#1e8e3e
141,#1e8e3e
142,#9aa0a6
143,#9aa0a6
144,#1e8e3e
145,#9aa0a6
146,#9aa0a6
147,#1e8e3e
148,#9aa0a6
149,#9aa0a6
150,#1e8e3e
151,#9aa0a6
152,#9aa0a6
153,#1e8e3e
154,#9aa0a6
155,#9aa0a6
156,#1e8e3e
157,#1e8e3e
158,#9aa0a6
159,#9aa0a6
160,#1e8e3e
161,#9aa0a6
162,#9aa0a6
163,#1e8e3e
164,#9aa0a6
165,#1e8e3e
166,#d93025
167,#1e8e3e
168,#9aa0a6
169,#1e8e3e
170,#1e8e3e
171,#d93025
172,#1e8e3e
173,#9aa0a6
174,#9aa0a6
175,#1e8e3e
176,#9aa0a6
177,#1e8e3e
178,#9aa0a6
179,#9aa0a6
180,#1e8e3e
181,#9aa0a6
182,#1e8e3e
183,#9aa0a6
184,#1e8e3e
185,#1e8e3e
186,#9aa0a6
187,#9aa0a6
188,#1e8e3e
189,#9aa0a6
190,#1e8e3e
191,#1e8e3e
192,#1e8e3e
193,#d93025
194,#9aa0a6
195,#1e8e3e
196,#9aa0a6
197,#1e8e3e
198,#9aa0a6
199,#9aa0a6
200,#1e8e3e
201,#1e8e3e
202,#1e8e3e
203,#9aa0a6
204,#1e8e3e
205,#1e8e3e
206,#d93025
207,#1e8e3e
208,#1e8e3e
209,#9aa0a6
210,#1e8e3e
211,#9aa0a6
212,#1e8e3e
213,#1e8e3e
214,#9aa0a6
215,#1e8e3e
216,#1e8e3e
217,#1e8e3e
218,#9aa0a6
219,#9aa0a6
220,#1e8e3e
221,#1e8e3e
222,#1e8e3e
223,#9aa0a6
224,#9aa0a6
225,#1e8e3e
226,#1e8e3e
227,#9aa0a6
228,#9aa0a6
229,#1e8e3e
230,#1e8e3e
231,#9aa0a6
232,#9aa0a6
233,#1e8e3e
234,#9aa0a6
235,#1e8e3e
236,#1e8e3e
237,#9aa0a6
238,#1e8e3e
239,#9aa0a6
240,#1e8e3e
241,#1e8e3e
242,#1e8e3e
243,#9aa0a6
244,#9aa0a6
245,#1e8e3e
246,#9aa0a6
247,#9aa0a6
248,#1e8e3e
249,#1e8e3e
250,#1e8e3e
251,#9aa0a6
252,#9aa0a6
253,#9aa0a6
254,#1e8e3e
255,#1e8e3e
256,#1e8e3e
257,#9aa0a6
258,#1e8e3e
259,#1e8e3e
260,#9aa0a6
261,#9aa0a6
262,#9aa0a6
263,#1e8e3e
264,#1e8e3e
265,#1e8e3e
266,#9aa0a6
267,#9aa0a6
268,#9aa0a6
269,#9aa0a6
270,#1e8e3e
271,#9aa0a6
272,#1e8e3e
273,#1e8e3e
274,#d93025
275,#1e8e3e
276,#1e8e3e
