Node,Colour
1,#d93025
2,#d93025
3,#1e8e3e
4,#1e8e3e
5,#1e8e3e
6,#1e8e3e
7,#9aa0a6
8,#1e8e3e
9,#1e8e3e
10,#d93025
11,#9aa0a6
12,#1e8e3e
13,#1e8e3e
14,#d93025
15,#d93025
16,#1e8e3e
17,#9aa0a6
18,#d93025
19,#d93025
20,#1e8e3e
21,#1e8e3e
22,#1e8e3e
23,#1e8e3e
24,#9aa0a6
25,#9aa0a6
26,#1e8e3e
27,#d93025
28,#1e8e3e
29,#9aa0a6
30,#d93025
31,#9aa0a6
32,#1e8e3e
33,#1e8e3e
34,#d93025
35,#9aa0a6
36,#9aa0a6
37,#d93025
38,#1e8e3e
39,#1e8e3e
40,#1e8e3e
41,#d93025
42,#1e8e3e
43,#9aa0a6
44,#d93025
45,#9aa0a6
46,#9aa0a6
47,#9aa0a6
48,#1e8e3e
49,#d93025
50,#9aa0a6
51,#1e8e3e
52,#9aa0a6
53,#d93025
54,#9aa0a6
55,#1e8e3e
56,#9aa0a6
57,#d93025
58,#1e8e3e
59,#1e8e3e
60,#d93025
61,#1e8e3e
62,#1e8e3e
63,#9aa0a6
64,#1e8e3e
65,#d93025
66,#9aa0a6
67,#1e8e3e
68,#1e8e3e
69,#9aa0a6
70,#1e8e3e
71,#1e8e3e
72,#d93025
73,#d93025
74,#1e8e3e
75,#9aa0a6
76,#d93025
77,#d93025
78,#9aa0a6
79,#9aa0a6
80,#1e8e3e
81,#9aa0a6
82,#9aa0a6
83,#d93025
84,#1e8e3e
85,#1e8e3e
86,#1e8e3e
87,#1e8e3e
88,#d93025
89,#9aa0a6
90,#1e8e3e
91,#1e8e3e
92,#d93025
93,#1e8e3e
94,#d93025
95,#9aa0a6
96,#1e8e3e
97,#1e8e3e
98,#d93025
99,#9aa0a6
100,#1e8e3e
101,#d93025
102,#1e8e3e
103,#1e8e3e
104,#d93025
105,#1e8e3e
106,#9aa0a6
107,#1e8e3e
108,#d93025
109,#d93025
110,#1e8e3e
111,#1e8e3e
112,#1e8e3e
113,#9aa0a6
114,#1e8e3e
115,#1e8e3e
116,#d93025
117,#d93025
118,#1e8e3e
119,#9aa0a6
120,#1e8e3e
121,#d93025
122,#1e8e3e
123,#9aa0a6
124,#9aa0a6
125,#d93025
126,#1e8e3e
127,#1e8e3e
128,#1e8e3e
129,#d93025
130,#9aa0a6
131,#1e8e3e
132,#1e8e3e
133,#9aa0a6
134,#9aa0a6
135,#d93025
136,#1e8e3e
137,#d93025
138,#9aa0a6
139,#d93025
140,#1e8e3e
141,#1e8e3e
142,#1e8e3e
143,#d93025
144,#9aa0a6
145,#1e8e3e
146,#1e8e3e
147,#d93025
148,#1e8e3e
149,#9aa0a6
150,#1e8e3e
151,#d93025
152,#1e8e3e
153,#1e8e3e
154,#d93025
155,#1e8e3e
156,#9aa0a6
157,#1e8e3e
158,#1e8e3e
159,#9aa0a6
160,#1e8e3e
161,#d93025
162,#9aa0a6
163,#d93025
164,#1e8e3e
165,#9aa0a6
166,#9aa0a6
167,#d93025
168,#1e8e3e
169,#1e8e3e
170,#9aa0a6
171,#1e8e3e
172,#9aa0a6
173,#1e8e3e
174,#9aa0a6
175,#d93025
176,#1e8e3e
177,#9aa0a6
178,#d93025
179,#d93025
180,#1e8e3e
181,#1e8e3e
182,#9aa0a6
183,#d93025
184,#1e8e3e
185,#1e8e3e
186,#9aa0a6
187,#9aa0a6
188,#1e8e3e
189,#d93025
190,#1e8e3e
191,#1e8e3e
192,#d93025
193,#9aa0a6
194,#d93025
195,#1e8e3e
196,#1e8e3e
197,#d93025
198,#1e8e3e
199,#9aa0a6
200,#9aa0a6
201,#1e8e3e
202,#d93025
203,#9aa0a6
204,#1e8e3e
205,#d93025
206,#1e8e3e
207,#d93025
208,#1e8e3e
209,#9aa0a6
210,#9aa0a6
211,#1e8e3e
212,#d93025
213,#9aa0a6
214,#d93025
215,#9aa0a6
216,#1e8e3e
217,#d93025
218,#1e8e3e
219,#d93025
220,#1e8e3e
221,#9aa0a6
222,#1e8e3e
223,#1e8e3e
224,#1e8e3e
225,#d93025
226,#d93025
227,#9aa0a6
228,#d93025
229,#1e8e3e
230,#d93025
231,#1e8e3e
232,#1e8e3e
233,#9aa0a6
234,#d93025
235,#d93025
236,#1e8e3e
