Node,Colour
1,#1e8e3e
2,#d93025
3,#9aa0a6
4,#d93025
5,#9aa0a6
6,#d93025
7,#9aa0a6
8,#d93025
9,#1e8e3e
10,#9aa0a6
11,#d93025
12,#1e8e3e
13,#9aa0a6
14,#1e8e3e
15,#9aa0a6
16,#1e8e3e
17,#9aa0a6
18,#d93025
19,#9aa0a6
20,#1e8e3e
21,#9aa0a6
22,#d93025
23,#9aa0a6
24,#1e8e3e
25,#d93025
26,#9aa0a6
27,#1e8e3e
28,#9aa0a6
29,#d93025
30,#1e8e3e
31,#9aa0a6
32,#1e8e3e
33,#d93025
34,#9aa0a6
35,#1e8e3e
36,#d93025
37,#1e8e3e
38,#9aa0a6
39,#d93025
40,#9aa0a6
41,#d93025
42,#1e8e3e
43,#9aa0a6
44,#d93025
45,#1e8e3e
46,#9aa0a6
47,#9aa0a6
48,#1e8e3e
49,#9aa0a6
50,#1e8e3e
51,#9aa0a6
52,#d93025
53,#9aa0a6
54,#d93025
55,#9aa0a6
56,#d93025
57,#9aa0a6
58,#d93025
59,#1e8e3e
60,#9aa0a6
61,#1e8e3e
62,#9aa0a6
63,#1e8e3e
64,#9aa0a6
65,#d93025
66,#1e8e3e
67,#9aa0a6
68,#1e8e3e
69,#d93025
70,#9aa0a6
71,#d93025
72,#1e8e3e
73,#9aa0a6
74,#d93025
75,#9aa0a6
76,#d93025
77,#1e8e3e
78,#9aa0a6
79,#1e8e3e
80,#9aa0a6
81,#d93025
82,#1e8e3e
83,#1e8e3e
84,#9aa0a6
85,#1e8e3e
86,#d93025
87,#9aa0a6
88,#d93025
89,#9aa0a6
90,#d93025
91,#9aa0a6
92,#d93025
93,#1e8e3e
94,#9aa0a6
95,#d93025
96,#1e8e3e
97,#9aa0a6
98,#d93025
99,#1e8e3e
100,#9aa0a6
101,#1e8e3e
102,#d93025
103,#9aa0a6
104,#d93025
105,#1e8e3e
106,#9aa0a6
107,#d93025
108,#1e8e3e
109,#9aa0a6
110,#d93025
111,#9aa0a6
112,#d93025
113,#9aa0a6
114,#d93025
115,#9aa0a6
116,#d93025
117,#9aa0a6
118,#1e8e3e
119,#d93025
120,#9aa0a6
121,#d93025
122,#9aa0a6
123,#9aa0a6
124,#1e8e3e
125,#9aa0a6
126,#d93025
127,#1e8e3e
128,#9aa0a6
129,#d93025
130,#1e8e3e
131,#9aa0a6
132,#1e8e3e
133,#1e8e3e
134,#d93025
135,#9aa0a6
136,#1e8e3e
137,#9aa0a6
138,#9aa0a6
139,#1e8e3e
140,#9aa0a6
141,#1e8e3e
142,#9aa0a6
143,#d93025
144,#9aa0a6
145,#1e8e3e
146,#9aa0a6
147,#1e8e3e
148,#9aa0a6
149,#1e8e3e
150,#d93025
151,#9aa0a6
152,#d93025
153,#9aa0a6
154,#d93025
155,#9aa0a6
156,#1e8e3e
157,#d93025
158,#9aa0a6
159,#d93025
