Node,Colour
1,#1e8e3e
2,#1e8e3e
3,#1e8e3e
4,#1e8e3e
5,#d93025
6,#9aa0a6
7,#9aa0a6
8,#9aa0a6
9,#1e8e3e
10,#9aa0a6
11,#9aa0a6
12,#1e8e3e
13,#9aa0a6
14,#9aa0a6
15,#1e8e3e
16,#9aa0a6
17,#1e8e3e
18,#9aa0a6
19,#9aa0a6
20,#1e8e3e
21,#9aa0a6
22,#9aa0a6
23,#9aa0a6
24,#1e8e3e
25,#9aa0a6
26,#1e8e3e
27,#9aa0a6
28,#1e8e3e
29,#9aa0a6
30,#9aa0a6
31,#9aa0a6
32,#9aa0a6
33,#1e8e3e
34,#9aa0a6
35,#9aa0a6
36,#9aa0a6
37,#1e8e3e
38,#9aa0a6
39,#1e8e3e
40,#9aa0a6
41,#9aa0a6
42,#9aa0a6
43,#9aa0a6
44,#9aa0a6
45,#9aa0a6
46,#1e8e3e
47,#9aa0a6
48,#9aa0a6
49,#1e8e3e
50,#9aa0a6
51,#1e8e3e
52,#9aa0a6
53,#9aa0a6
54,#1e8e3e
55,#9aa0a6
56,#9aa0a6
57,#9aa0a6
58,#9aa0a6
59,#1e8e3e
60,#9aa0a6
61,#9aa0a6
62,#1e8e3e
63,#9aa0a6
64,#9aa0a6
65,#1e8e3e
66,#9aa0a6
67,#1e8e3e
68,#9aa0a6
69,#1e8e3e
70,#1e8e3e
71,#d93025
72,#1e8e3e
73,#9aa0a6
74,#9aa0a6
75,#1e8e3e
76,#9aa0a6
77,#9aa0a6
78,#1e8e3e
79,#9aa0a6
80,#1e8e3e
81,#9aa0a6
82,#9aa0a6
83,#9aa0a6
84,#9aa0a6
85,#1e8e3e
86,#9aa0a6
87,#9aa0a6
88,#9aa0a6
89,#9aa0a6
90,#1e8e3e
91,#1e8e3e
92,#9aa0a6
93,#9aa0a6
94,#9aa0a6
95,#9aa0a6
96,#9aa0a6
97,#1e8e3e
98,#9aa0a6
99,#9aa0a6
100,#9aa0a6
101,#d93025
102,#1e8e3e
103,#1e8e3e
104,#9aa0a6
105,#1e8e3e
106,#9aa0a6
107,#9aa0a6
108,#9aa0a6
109,#1e8e3e
110,#9aa0a6
111,#9aa0a6
112,#9aa0a6
113,#d93025
114,#1e8e3e
115,#1e8e3e
116,#9aa0a6
117,#9aa0a6
118,#1e8e3e
119,#9aa0a6
120,#9aa0a6
121,#1e8e3e
122,#9aa0a6
123,#1e8e3e
124,#9aa0a6
125,#9aa0a6
126,#1e8e3e
127,#9aa0a6
128,#1e8e3e
129,#9aa0a6
130,#9aa0a6
131,#9aa0a6
