Node,Colour
1,#1e8e3e
2,#1e8e3e
3,#d93025
4,#d93025
5,#9aa0a6
6,#d93025
7,#9aa0a6
8,#d93025
9,#1e8e3e
10,#1e8e3e
11,#d93025
12,#9aa0a6
13,#d93025
14,#d93025
15,#1e8e3e
16,#1e8e3e
17,#9aa0a6
18,#1e8e3e
19,#d93025
20,#1e8e3e
21,#9aa0a6
22,#d93025
23,#d93025
24,#1e8e3e
25,#1e8e3e
26,#9aa0a6
27,#1e8e3e
28,#1e8e3e
29,#d93025
30,#9aa0a6
31,#1e8e3e
32,#9aa0a6
33,#d93025
34,#9aa0a6
35,#d93025
36,#d93025
37,#1e8e3e
38,#9aa0a6
39,#d93025
40,#1e8e3e
41,#1e8e3e
42,#d93025
43,#9aa0a6
44,#1e8e3e
45,#d93025
46,#1e8e3e
47,#d93025
48,#9aa0a6
49,#9aa0a6
50,#9aa0a6
51,#1e8e3e
52,#9aa0a6
53,#1e8e3e
54,#d93025
55,#1e8e3e
56,#d93025
57,#9aa0a6
58,#9aa0a6
59,#9aa0a6
60,#1e8e3e
61,#d93025
62,#1e8e3e
63,#d93025
64,#9aa0a6
65,#d93025
66,#1e8e3e
67,#d93025
68,#1e8e3e
69,#9aa0a6
70,#9aa0a6
71,#9aa0a6
72,#9aa0a6
73,#d93025
74,#9aa0a6
75,#d93025
76,#1e8e3e
77,#d93025
78,#9aa0a6
79,#1e8e3e
80,#d93025
81,#d93025
82,#1e8e3e
83,#9aa0a6
84,#1e8e3e
85,#d93025
86,#1e8e3e
87,#d93025
88,#9aa0a6
89,#d93025
90,#1e8e3e
91,#1e8e3e
92,#d93025
93,#9aa0a6
94,#d93025
95,#d93025
96,#1e8e3e
97,#1e8e3e
98,#9aa0a6
99,#d93025
100,#1e8e3e
101,#d93025
102,#1e8e3e
103,#9aa0a6
104,#1e8e3e
105,#1e8e3e
106,#d93025
107,#d93025
108,#9aa0a6
109,#d93025
110,#9aa0a6
111,#1e8e3e
112,#d93025
113,#9aa0a6
114,#d93025
115,#d93025
116,#9aa0a6
117,#d93025
118,#d93025
119,#1e8e3e
120,#1e8e3e
121,#9aa0a6
122,#9aa0a6
123,#9aa0a6
124,#9aa0a6
125,#d93025
126,#d93025
127,#1e8e3e
128,#1e8e3e
129,#9aa0a6
130,#d93025
131,#1e8e3e
132,#d93025
133,#1e8e3e
134,#9aa0a6
135,#1e8e3e
136,#d93025
137,#1e8e3e
138,#d93025
139,#9aa0a6
140,#9aa0a6
141,#1e8e3e
142,#d93025
143,#9aa0a6
144,#1e8e3e
145,#9aa0a6
