Node,Colour
1,#1e8e3e
2,#1e8e3e
3,#1e8e3e
4,#9aa0a6
5,#1e8e3e
6,#1e8e3e
7,#1e8e3e
8,#9aa0a6
9,#1e8e3e
10,#1e8e3e
11,#1e8e3e
12,#d93025
13,#9aa0a6
14,#1e8e3e
15,#1e8e3e
16,#d93025
17,#9aa0a6
18,#1e8e3e
19,#9aa0a6
20,#9aa0a6
21,#1e8e3e
22,#9aa0a6
23,#9aa0a6
24,#1e8e3e
25,#d93025
26,#1e8e3e
27,#1e8e3e
28,#9aa0a6
29,#1e8e3e
30,#9aa0a6
31,#1e8e3e
32,#9aa0a6
33,#9aa0a6
34,#1e8e3e
35,#9aa0a6
36,#1e8e3e
37,#9aa0a6
38,#1e8e3e
39,#1e8e3e
40,#1e8e3e
41,#1e8e3e
42,#9aa0a6
43,#d93025
44,#1e8e3e
45,#1e8e3e
46,#9aa0a6
47,#1e8e3e
48,#9aa0a6
49,#1e8e3e
50,#d93025
51,#1e8e3e
52,#9aa0a6
53,#9aa0a6
54,#9aa0a6
55,#d93025
56,#1e8e3e
57,#1e8e3e
58,#9aa0a6
59,#1e8e3e
60,#1e8e3e
61,#d93025
62,#9aa0a6
63,#d93025
64,#1e8e3e
65,#9aa0a6
66,#d93025
67,#1e8e3e
68,#1e8e3e
69,#9aa0a6
70,#1e8e3e
71,#d93025
72,#1e8e3e
73,#9aa0a6
74,#d93025
75,#1e8e3e
76,#1e8e3e
77,#1e8e3e
78,#9aa0a6
79,#1e8e3e
80,#1e8e3e
81,#d93025
82,#9aa0a6
83,#d93025
84,#1e8e3e
85,#9aa0a6
86,#1e8e3e
87,#1e8e3e
88,#9aa0a6
89,#d93025
90,#1e8e3e
91,#1e8e3e
92,#1e8e3e
