Node,Colour
1,#1e8e3e
2,#d93025
3,#d93025
4,#9aa0a6
5,#d93025
6,#d93025
7,#9aa0a6
8,#d93025
9,#1e8e3e
10,#9aa0a6
11,#d93025
12,#d93025
13,#9aa0a6
14,#9aa0a6
15,#d93025
16,#1e8e3e
17,#d93025
18,#9aa0a6
19,#d93025
20,#9aa0a6
21,#1e8e3e
22,#d93025
23,#d93025
24,#d93025
25,#9aa0a6
26,#9aa0a6
27,#1e8e3e
28,#9aa0a6
29,#d93025
30,#d93025
31,#d93025
32,#9aa0a6
33,#d93025
34,#1e8e3e
35,#9aa0a6
36,#d93025
37,#d93025
38,#9aa0a6
39,#d93025
40,#d93025
41,#1e8e3e
42,#d93025
43,#1e8e3e
44,#d93025
45,#9aa0a6
46,#1e8e3e
47,#9aa0a6
48,#d93025
49,#d93025
50,#9aa0a6
51,#1e8e3e
52,#d93025
53,#9aa0a6
54,#1e8e3e
55,#d93025
56,#d93025
57,#9aa0a6
58,#d93025
59,#9aa0a6
60,#d93025
61,#d93025
62,#1e8e3e
63,#9aa0a6
64,#1e8e3e
65,#d93025
66,#d93025
67,#9aa0a6
68,#d93025
69,#9aa0a6
70,#d93025
71,#d93025
72,#9aa0a6
73,#9aa0a6
74,#9aa0a6
75,#1e8e3e
76,#d93025
77,#9aa0a6
78,#d93025
79,#d93025
80,#9aa0a6
81,#d93025
82,#d93025
83,#d93025
84,#9aa0a6
85,#1e8e3e
86,#9aa0a6
87,#d93025
88,#9aa0a6
89,#1e8e3e
90,#d93025
91,#d93025
92,#9aa0a6
93,#d93025
94,#d93025
95,#9aa0a6
96,#d93025
97,#1e8e3e
98,#9aa0a6
99,#d93025
100,#d93025
101,#1e8e3e
102,#9aa0a6
103,#d93025
104,#9aa0a6
105,#9aa0a6
106,#d93025
107,#d93025
108,#9aa0a6
109,#d93025
110,#d93025
111,#d93025
112,#9aa0a6
113,#1e8e3e
114,#1e8e3e
115,#9aa0a6
116,#9aa0a6
117,#1e8e3e
118,#d93025
119,#d93025
120,#1e8e3e
121,#d93025
122,#9aa0a6
123,#9aa0a6
124,#9aa0a6
125,#d93025
126,#d93025
127,#d93025
128,#9aa0a6
129,#1e8e3e
130,#9aa0a6
131,#d93025
132,#d93025
133,#1e8e3e
134,#9aa0a6
135,#d93025
136,#9aa0a6
137,#d93025
138,#1e8e3e
139,#9aa0a6
140,#9aa0a6
141,#d93025
142,#9aa0a6
143,#1e8e3e
144,#1e8e3e
145,#9aa0a6
146,#d93025
147,#d93025
148,#d93025
149,#9aa0a6
150,#d93025
151,#d93025
152,#9aa0a6
153,#1e8e3e
154,#d93025
155,#9aa0a6
156,#1e8e3e
157,#9aa0a6
158,#d93025
159,#d93025
160,#d93025
161,#9aa0a6
162,#d93025
163,#d93025
164,#d93025
165,#9aa0a6
166,#1e8e3e
167,#9aa0a6
168,#1e8e3e
169,#9aa0a6
