Node,Colour
1,#1e8e3e
2,#d93025
3,#1e8e3e
4,#1e8e3e
5,#1e8e3e
6,#d93025
7,#1e8e3e
8,#9aa0a6
9,#d93025
10,#1e8e3e
11,#1e8e3e
12,#1e8e3e
13,#d93025
14,#1e8e3e
15,#1e8e3e
16,#9aa0a6
17,#d93025
18,#1e8e3e
19,#1e8e3e
20,#1e8e3e
21,#1e8e3e
22,#d93025
23,#1e8e3e
24,#9aa0a6
25,#1e8e3e
26,#1e8e3e
27,#1e8e3e
28,#d93025
29,#1e8e3e
30,#1e8e3e
31,#d93025
32,#9aa0a6
33,#1e8e3e
34,#1e8e3e
35,#1e8e3e
36,#1e8e3e
37,#1e8e3e
38,#1e8e3e
39,#d93025
40,#d93025
41,#9aa0a6
42,#9aa0a6
43,#d93025
44,#1e8e3e
45,#1e8e3e
46,#1e8e3e
47,#9aa0a6
48,#d93025
49,#d93025
50,#1e8e3e
51,#1e8e3e
52,#1e8e3e
53,#1e8e3e
54,#1e8e3e
55,#9aa0a6
56,#1e8e3e
57,#d93025
58,#1e8e3e
59,#1e8e3e
60,#1e8e3e
61,#1e8e3e
62,#d93025
63,#9aa0a6
64,#1e8e3e
65,#1e8e3e
66,#1e8e3e
67,#d93025
68,#d93025
69,#1e8e3e
70,#1e8e3e
71,#1e8e3e
72,#9aa0a6
73,#d93025
74,#d93025
75,#1e8e3e
76,#1e8e3e
77,#1e8e3e
78,#1e8e3e
79,#1e8e3e
80,#1e8e3e
81,#9aa0a6
82,#1e8e3e
83,#9aa0a6
84,#d93025
85,#d93025
86,#1e8e3e
87,#1e8e3e
88,#1e8e3e
89,#1e8e3e
90,#1e8e3e
91,#9aa0a6
92,#1e8e3e
93,#1e8e3e
94,#1e8e3e
95,#d93025
96,#1e8e3e
97,#d93025
98,#1e8e3e
99,#9aa0a6
100,#d93025
101,#1e8e3e
102,#1e8e3e
103,#1e8e3e
104,#1e8e3e
105,#1e8e3e
106,#9aa0a6
107,#1e8e3e
108,#1e8e3e
109,#d93025
110,#1e8e3e
111,#1e8e3e
112,#d93025
113,#1e8e3e
114,#9aa0a6
115,#1e8e3e
116,#1e8e3e
117,#1e8e3e
118,#1e8e3e
119,#1e8e3e
120,#d93025
121,#d93025
122,#9aa0a6
123,#d93025
124,#1e8e3e
125,#1e8e3e
126,#1e8e3e
127,#1e8e3e
128,#1e8e3e
129,#1e8e3e
130,#d93025
131,#9aa0a6
132,#1e8e3e
133,#d93025
134,#1e8e3e
135,#1e8e3e
136,#1e8e3e
137,#d93025
138,#1e8e3e
139,#9aa0a6
140,#1e8e3e
141,#1e8e3e
142,#1e8e3e
143,#d93025
144,#d93025
145,#1e8e3e
146,#1e8e3e
147,#9aa0a6
148,#1e8e3e
149,#d93025
150,#1e8e3e
151,#1e8e3e
152,#9aa0a6
153,#9aa0a6
154,#1e8e3e
155,#1e8e3e
156,#1e8e3e
