Node,Colour
1,#1e8e3e
2,#1e8e3e
3,#1e8e3e
4,#d93025
5,#9aa0a6
6,#1e8e3e
7,#9aa0a6
8,#9aa0a6
9,#1e8e3e
10,#1e8e3e
11,#9aa0a6
12,#1e8e3e
13,#9aa0a6
14,#1e8e3e
15,#1e8e3e
16,#9aa0a6
17,#9aa0a6
18,#1e8e3e
19,#9aa0a6
20,#1e8e3e
21,#9aa0a6
22,#1e8e3e
23,#9aa0a6
24,#1e8e3e
25,#9aa0a6
26,#1e8e3e
27,#9aa0a6
28,#1e8e3e
29,#9aa0a6
30,#1e8e3e
31,#9aa0a6
32,#9aa0a6
33,#9aa0a6
34,#9aa0a6
35,#1e8e3e
36,#9aa0a6
37,#1e8e3e
38,#1e8e3e
39,#9aa0a6
40,#1e8e3e
41,#9aa0a6
42,#9aa0a6
43,#9aa0a6
44,#9aa0a6
45,#1e8e3e
46,#9aa0a6
47,#1e8e3e
48,#1e8e3e
49,#9aa0a6
50,#1e8e3e
51,#1e8e3e
52,#9aa0a6
53,#1e8e3e
54,#9aa0a6
55,#9aa0a6
56,#1e8e3e
57,#1e8e3e
58,#1e8e3e
59,#9aa0a6
60,#1e8e3e
61,#1e8e3e
62,#1e8e3e
63,#9aa0a6
64,#9aa0a6
65,#1e8e3e
66,#9aa0a6
67,#1e8e3e
68,#9aa0a6
69,#1e8e3e
70,#1e8e3e
71,#9aa0a6
72,#9aa0a6
73,#1e8e3e
74,#1e8e3e
75,#9aa0a6
76,#9aa0a6
77,#1e8e3e
78,#1e8e3e
79,#1e8e3e
80,#9aa0a6
81,#9aa0a6
82,#9aa0a6
83,#1e8e3e
84,#1e8e3e
85,#9aa0a6
86,#1e8e3e
87,#1e8e3e
88,#1e8e3e
89,#9aa0a6
90,#9aa0a6
91,#1e8e3e
92,#1e8e3e
93,#1e8e3e
94,#9aa0a6
95,#9aa0a6
96,#9aa0a6
97,#1e8e3e
98,#1e8e3e
99,#1e8e3e
100,#9aa0a6
101,#9aa0a6
102,#1e8e3e
103,#1e8e3e
104,#1e8e3e
105,#9aa0a6
106,#1e8e3e
107,#1e8e3e
108,#1e8e3e
109,#9aa0a6
110,#9aa0a6
111,#1e8e3e
112,#9aa0a6
113,#1e8e3e
114,#9aa0a6
115,#1e8e3e
116,#9aa0a6
117,#1e8e3e
118,#1e8e3e
119,#9aa0a6
120,#9aa0a6
121,#1e8e3e
122,#1e8e3e
123,#1e8e3e
124,#9aa0a6
125,#1e8e3e
126,#9aa0a6
127,#1e8e3e
128,#9aa0a6
129,#9aa0a6
130,#1e8e3e
