Name,Colour
CAFAM0_bb0,#dadce0
CAFAM0_bb1,#dadce0
CAFAM0_bb10,#dadce0
CAFAM0_bb100,#dadce0
CAFAM0_bb1000,#dadce0
CAFAM0_bb1001,#dadce0
CAFAM0_bb1002,#dadce0
CAFAM0_bb1003,#dadce0
CAFAM0_bb1004,#dadce0
CAFAM0_bb1005,#dadce0
CAFAM0_bb1006,#dadce0
CAFAM0_bb1007,#dadce0
CAFAM0_bb1008,#dadce0
CAFAM0_bb1009,#dadce0
CAFAM0_bb101,#dadce0
CAFAM0_bb1010,#dadce0
CAFAM0_bb1011,#dadce0
CAFAM0_bb1012,#dadce0
CAFAM0_bb1013,#dadce0
CAFAM0_bb1014,#dadce0
CAFAM0_bb1015,#dadce0
CAFAM0_bb1016,#dadce0
CAFAM0_bb1017,#dadce0
CAFAM0_bb1018,#dadce0
CAFAM0_bb1019,#dadce0
CAFAM0_bb102,#dadce0
CAFAM0_bb1020,#dadce0
CAFAM0_bb1021,#dadce0
CAFAM0_bb1022,#dadce0
CAFAM0_bb1023,#dadce0
CAFAM0_bb1024,#dadce0
CAFAM0_bb1025,#dadce0
CAFAM0_bb1026,#dadce0
CAFAM0_bb1027,#dadce0
CAFAM0_bb1028,#dadce0
CAFAM0_bb1029,#dadce0
CAFAM0_bb103,#dadce0
CAFAM0_bb1030,#dadce0
CAFAM0_bb1031,#dadce0
CAFAM0_bb1032,#dadce0
CAFAM0_bb1033,#dadce0
CAFAM0_bb1034,#dadce0
CAFAM0_bb1035,#dadce0
CAFAM0_bb1036,#dadce0
CAFAM0_bb1037,#dadce0
CAFAM0_bb1038,#dadce0
CAFAM0_bb1039,#dadce0
CAFAM0_bb104,#dadce0
CAFAM0_bb1040,#dadce0
CAFAM0_bb1041,#dadce0
CAFAM0_bb1042,#dadce0
CAFAM0_bb1043,#dadce0
CAFAM0_bb1044,#dadce0
CAFAM0_bb1045,#dadce0
CAFAM0_bb1046,#dadce0
CAFAM0_bb1047,#dadce0
CAFAM0_bb1048,#dadce0
CAFAM0_bb1049,#dadce0
CAFAM0_bb105,#dadce0
CAFAM0_bb1050,#dadce0
CAFAM0_bb1051,#dadce0
CAFAM0_bb1052,#dadce0
CAFAM0_bb1053,#dadce0
CAFAM0_bb1054,#dadce0
CAFAM0_bb1055,#dadce0
CAFAM0_bb1056,#dadce0
CAFAM0_bb1057,#dadce0
CAFAM0_bb1058,#dadce0
CAFAM0_bb1059,#dadce0
CAFAM0_bb106,#dadce0
CAFAM0_bb1060,#dadce0
CAFAM0_bb1061,#dadce0
CAFAM0_bb1062,#dadce0
CAFAM0_bb1063,#dadce0
CAFAM0_bb1064,#dadce0
CAFAM0_bb1065,#dadce0
CAFAM0_bb1066,#dadce0
CAFAM0_bb1067,#dadce0
CAFAM0_bb1068,#dadce0
CAFAM0_bb1069,#dadce0
CAFAM0_bb107,#dadce0
CAFAM0_bb1070,#dadce0
CAFAM0_bb1071,#dadce0
CAFAM0_bb1072,#dadce0
CAFAM0_bb1073,#dadce0
CAFAM0_bb1074,#dadce0
CAFAM0_bb1075,#dadce0
CAFAM0_bb1076,#dadce0
CAFAM0_bb1077,#dadce0
CAFAM0_bb1078,#dadce0
CAFAM0_bb1079,#dadce0
CAFAM0_bb108,#dadce0
CAFAM0_bb1080,#dadce0
CAFAM0_bb1081,#dadce0
CAFAM0_bb1082,#dadce0
CAFAM0_bb1083,#dadce0
CAFAM0_bb1084,#dadce0
CAFAM0_bb1085,#dadce0
CAFAM0_bb1086,#dadce0
CAFAM0_bb1087,#dadce0
CAFAM0_bb1088,#dadce0
CAFAM0_bb1089,#dadce0
CAFAM0_bb109,#dadce0
CAFAM0_bb1090,#dadce0
CAFAM0_bb1091,#dadce0
CAFAM0_bb1092,#dadce0
CAFAM0_bb1093,#dadce0
CAFAM0_bb1094,#dadce0
CAFAM0_bb1095,#dadce0
CAFAM0_bb1096,#dadce0
CAFAM0_bb1097,#dadce0
CAFAM0_bb1098,#dadce0
CAFAM0_bb1099,#dadce0
CAFAM0_bb11,#dadce0
CAFAM0_bb110,#dadce0
CAFAM0_bb1100,#dadce0
CAFAM0_bb1101,#dadce0
CAFAM0_bb1102,#dadce0
CAFAM0_bb1103,#dadce0
CAFAM0_bb1104,#dadce0
CAFAM0_bb1105,#dadce0
CAFAM0_bb1106,#dadce0
CAFAM0_bb1107,#dadce0
CAFAM0_bb1108,#dadce0
CAFAM0_bb1109,#dadce0
CAFAM0_bb111,#dadce0
CAFAM0_bb1110,#dadce0
CAFAM0_bb1111,#dadce0
CAFAM0_bb1112,#dadce0
CAFAM0_bb1113,#dadce0
CAFAM0_bb1114,#dadce0
CAFAM0_bb1115,#dadce0
CAFAM0_bb1116,#dadce0
CAFAM0_bb1117,#dadce0
CAFAM0_bb1118,#dadce0
CAFAM0_bb1119,#dadce0
CAFAM0_bb112,#dadce0
CAFAM0_bb1120,#dadce0
CAFAM0_bb1121,#dadce0
CAFAM0_bb1122,#dadce0
CAFAM0_bb1123,#dadce0
CAFAM0_bb1124,#dadce0
CAFAM0_bb1125,#dadce0
CAFAM0_bb1126,#dadce0
CAFAM0_bb1127,#dadce0
CAFAM0_bb1128,#dadce0
CAFAM0_bb1129,#dadce0
CAFAM0_bb113,#dadce0
CAFAM0_bb1130,#dadce0
CAFAM0_bb1131,#dadce0
CAFAM0_bb1132,#dadce0
CAFAM0_bb1133,#dadce0
CAFAM0_bb1134,#dadce0
CAFAM0_bb1135,#dadce0
CAFAM0_bb1136,#dadce0
CAFAM0_bb1137,#dadce0
CAFAM0_bb1138,#dadce0
CAFAM0_bb1139,#dadce0
CAFAM0_bb114,#dadce0
CAFAM0_bb1140,#dadce0
CAFAM0_bb1141,#dadce0
CAFAM0_bb1142,#dadce0
CAFAM0_bb1143,#dadce0
CAFAM0_bb1144,#dadce0
CAFAM0_bb1145,#dadce0
CAFAM0_bb1146,#dadce0
CAFAM0_bb1147,#dadce0
CAFAM0_bb1148,#dadce0
CAFAM0_bb1149,#dadce0
CAFAM0_bb115,#dadce0
CAFAM0_bb1150,#dadce0
CAFAM0_bb1151,#dadce0
CAFAM0_bb1152,#dadce0
CAFAM0_bb1153,#dadce0
CAFAM0_bb1154,#dadce0
CAFAM0_bb1155,#dadce0
CAFAM0_bb1156,#dadce0
CAFAM0_bb1157,#dadce0
CAFAM0_bb1158,#dadce0
CAFAM0_bb1159,#dadce0
CAFAM0_bb116,#dadce0
CAFAM0_bb1160,#dadce0
CAFAM0_bb1161,#dadce0
CAFAM0_bb1162,#dadce0
