fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL101_073244	3	exit=0	14	8	4	2	14	8	6	0	0	6.98	605	0
fam_MCL105_073244	3	exit=0	26	2	2	22	20	1	1	6	1	0.43	158	0
fam_MCL108_073244	3	exit=0	6	3	3	0	6	3	3	0	0	0.22	159	2
fam_MCL10_073244	8	exit=0	1376	88	126	1162	1376	88	86	0	0	16.16	1466	0
fam_MCL110_073244	3	exit=0	464	419	8	37	464	419	419	0	0	0.98	166	0
fam_MCL15_073242	4	exit=0	82	72	0	10	79	69	69	3	3	0.68	257	2
fam_MCL16_073242	3	exit=0	3	3	0	0	1	1	1	2	2	1.03	340	3
fam_MCL23_073244	4	exit=0	60	41	18	1	57	41	35	3	0	0.31	159	0
fam_MCL29_073242	3	exit=0	19	19	0	0	15	15	15	4	4	0.24	257	0
fam_MCL2_073244	2	exit=0	3	3	0	0	3	3	3	0	0	0.29	159	0
fam_MCL32_073244	3	exit=0	27	3	0	24	27	3	3	0	0	0.24	159	2
fam_MCL34_073244	2	exit=0	117	14	7	96	117	14	12	0	0	6.89	405	0
fam_MCL35_073242	3	exit=0	109	102	0	7	109	102	101	0	0	0.3	257	0
fam_MCL36_073242	3	exit=0	383	195	2	186	383	195	195	0	0	1.28	257	0
fam_MCL37_073244	5	exit=0	661	400	18	243	661	400	399	0	0	2.4	325	0
fam_MCL38_073244	4	exit=0	497	366	25	106	432	310	119	65	56	0.58	178	2
fam_MCL3_073242	22	exit=0	993	90	104	799	528	76	75	465	14	31.85	2004	0
fam_MCL48_073242	4	exit=0	410	277	72	61	394	275	271	16	2	1.89	519	0
fam_MCL50_073242	4	exit=0	777	325	31	421	594	292	290	183	33	5.32	369	3
fam_MCL51_073242	3	exit=0	20	0	10	10	13	0	0	7	0	1.54	412	2
fam_MCL53_073242	4	exit=0	1037	970	42	25	1035	970	970	2	0	1.08	302	2
fam_MCL59_073244	4	exit=0	59	21	38	0	59	21	21	0	0	2.54	215	2
fam_MCL60_073242	2	exit=0	183	183	0	0	183	183	183	0	0	0.32	257	0
fam_MCL61_073242	4	exit=0	9	2	0	7	9	2	2	0	0	0.28	257	2
fam_MCL62_073244	3	exit=0	653	504	70	79	653	504	504	0	0	0.71	181	0
fam_MCL63_073244	4	exit=0	506	6	32	468	506	6	6	0	0	2.02	249	0
fam_MCL65_073244	2	exit=0	17	16	1	0	17	16	16	0	0	0.18	159	1
fam_MCL6_073244	14	exit=0	1605	36	94	1475	1605	36	31	0	0	84.66	2760	0
fam_MCL7_073242	10	exit=0	659	44	135	480	570	40	40	89	4	6.1	797	4
fam_MCL83_073242	3	exit=0	1048	88	135	825	1012	78	72	36	10	3.36	426	0
fam_MCL84_073242	2	exit=0	1025	53	7	965	1017	47	47	8	6	0.81	257	0
fam_MCL85_073242	3	exit=0	2364	226	15	2123	2347	223	223	17	3	1.75	346	3
fam_MCL88_073242	3	exit=0	421	311	31	79	324	310	310	97	1	1.14	257	2
fam_MCL89_073242	3	exit=0	1006	12	47	947	897	9	9	109	3	0.74	257	3
fam_MCL8_073244	3	exit=0	11	1	1	9	11	1	1	0	0	0.48	218	0
