feature	kind	n	nuniq	BC	bic_improve	silhouette	note	rank_score
len_max	new-other	12212	2058	0.8523471017336761	28529.41288300787	0.7997453901377218		1.652092491871398
edge_betw	new-topology	12212	2607	0.739778417754578	60357.63246963165	0.4893449789462707		1.2291233967008486
njunc_min	new-other	12212	50	0.5564630585816635	12854.998742247386	0.6521813715993144		1.208644430180978
njunc_a	new-other	12212	59	0.5525919992440803	10972.640129097475	0.6906099394672736		1.243201938711354
co_junc	known-cothread	11984	50	0.5525240198164599	10590.43998038688	0.7080665950106698		1.2605906148271298
len_min	new-other	12212	1766	0.4951007519770089	10231.185435529012	0.7035204042016904		1.1986211561786992
contig	known-cothread	11984	46	0.4879394869419051	8911.380241381506	0.6991260407357163		1.1870655276776214
frac_mem	known-cothread	11984	136	0.4228663985773851	77583.45287729368	0.6780530041095315		1.1009194026869167
seq_id	seq	12212	998	0.3367790421480137	8049.9015658524295	0.6468277842283869		0.9836068263764006
aln_cov_small	known-cothread	11984	806	0.32712381874058705	21155.051770729955	0.22932260915894373		0.5564464278995308
njunc_diff	new-other	12212	68	0.3037983568864274	18655.778606276464	0.6365353508210773		0.9403337077075047
njunc_b	new-other	12212	55	0.3037743928411603	12932.96509210905	0.7213624557216206		1.025136848562781
log_dist	strand-genomic	5038	2334	0.27605211891770415	5010.035135136744	0.7580823287170583		1.0341344476347625
cov_max	seq	12212	3599	0.2616226924362764	22889.028580602608	0.3213338218330261		0.5829565142693025
common_nbr	new-topology	12212	50	0.23948006943529768	4077.2582600433234	0.6851392423682455		0.9246193118035432
jaccard_nbr	new-topology	12212	1140	0.2367035639786393	32980.94525581471	0.45761003608675754		0.6943136000653969
njunc_ratio	new-other	12212	376	0.23617455710267204	37648.49785528687	0.5249293316567524		0.7611038887594244
len_ratio	new-other	12212	5874	0.23449046732952689	4919.639320849678	0.5457583522707631		0.7802488196002899
deg_min	new-topology	12212	56	0.22728542226918655	4036.727087135412	0.6628863411684235		0.8901717634376101
cov_min	seq	12212	3918	0.2241254314450554	3156.370870486441	0.6585978113028136		0.882723242747869
frac_ref	known-cothread	11984	320	0.22303385612035434	29421.495286443314	0.5015558340799549		0.7245896902003092
deg_max	new-topology	12212	57	0.2199000609785804	3352.050665478164	0.5380006829019236		0.757900743880504
antisense	strand-genomic	12212	2				too-few-uniq	0.0
same_chrom	strand-genomic	12212	2				too-few-uniq	0.0
overlap	strand-genomic	12212	2				too-few-uniq	0.0
disjoint	strand-genomic	12212	2				too-few-uniq	0.0
