family	n	status	cls	cyclic	nodes	edges	max_mult	mult_values	rearrangement	rep_len	rep_complexity	distinguishing
RCF_135	3	ok	CYCLE_CNV	True	270	281	2	[1, 2]	True	373	0.84	True
RCF_13	8	ok	CYCLE_CNV	True	256	296	2	[1, 2]	True	658	0.81	True
RCF_212	10	msga_failed										
RCF_275	2	ok	CYCLE_CNV	True	798	996	8	[1, 8]	True	588	0.78	True
RCF_277	6	ok	CYCLE_CNV	True	1566	2075	7	[1, 2, 6, 7]	True	137	0.84	True
RCF_287	3	ok	CYCLE_CNV	True	844	1079	8	[1, 4, 8]	True	2019	0.83	True
RCF_288	4	ok	LINEAR	True	882	976	1	[1]	False	0	1.0	False
RCF_30	9	ok	CYCLE_CNV	True	839	1030	2	[1, 2]	True	12	0.78	True
RCF_311	2	ok	CYCLE_CNV	True	662	799	5	[1, 5]	True	1153	0.8	True
RCF_362	2	ok	CYCLE_CNV	True	218	278	5	[1, 5]	True	92	0.82	True
RCF_363	2	ok	CYCLE_CNV	True	143	163	3	[1, 3]	True	290	0.76	True
RCF_102	6	ok	CYCLE_CNV	True	6629	7036	76	[1, 2, 4, 6, 36, 76]	True	2377	0.82	True
RCF_489	2	ok	LINEAR	True	104	104	1	[1]	False	0	1.0	False
RCF_5	2	ok	CYCLE_CNV	True	836	1044	43	[1, 43]	True	448	0.8	True
RCF_518	2	ok	CYCLE_CNV	True	498	541	4	[1, 4]	True	312	0.75	True
RCF_53	10	ok	CYCLE_CNV	True	1614	1926	7	[1, 2, 3, 4, 5, 7]	True	1702	0.8	True
RCF_432	10	ok	CYCLE_CNV	True	672	953	37	[1, 5, 6, 13, 16, 31, 37]	True	277	0.96	True
RCF_611	4	ok	CYCLE_CNV	True	143	183	3	[1, 2, 3]	True	150	0.84	True
RCF_718	7	ok	CYCLE_CNV	True	540	721	6	[1, 2, 3, 4, 6]	True	308	0.84	True
RCF_719	2	ok	CYCLE_CNV	True	157	201	3	[1, 3]	True	154	0.78	True
RCF_721	3	ok	CYCLE_CNV	True	213	265	2	[1, 2]	True	58	0.77	True
RCF_6	10	ok	CYCLE_CNV	True	3441	4603	11	[1, 3, 4, 7, 9, 10, 11]	True	2226	0.84	True
RCF_181	10	msga_failed										
