t	gate	n_edges	tp_retained	tp_noep_retained	noncoding_tp_retained	truthbar_retained	genuine_overmerge	genuine_rate_edge	genuine_prfam_invisible	n_blocks	blocks_overmerged	genuine_rate_block	genuine_rate_block_edgehost	noncoding_dominant_blocks	noncoding_dominant_blocks_hosting_tp	reach_recall_overall	recall_id_0.90-0.95	recall_id_0.95-0.99	recall_id_>=0.99
	none	10755	450	97	31	6142	4163	0.3871	3678	667	106	0.1589	0.4873	54	8	0.9491	0.9508	0.9231	0.972
	protein	6506	353	0	0	6142	11	0.0017	11	398	1	0.0025	0.0201	0	0	0.7754	0.7377	0.7308	0.8322
0.5	id>=0.50	488	450	97	31	13	25	0.0512	21	204	20	0.098	0.0931	11	11	0.9491	0.9508	0.9231	0.972
0.8	id>=0.80	478	450	97	31	9	19	0.0397	15	204	20	0.098	0.0784	11	11	0.9491	0.9508	0.9231	0.972
0.9	id>=0.90	462	450	97	31	0	12	0.026	11	202	18	0.0891	0.0495	11	11	0.9491	0.9508	0.9231	0.972
0.13	core	5571	416	90	28	3382	1773	0.3183	1606	674	105	0.1558	0.4837	54	8	0.8802	0.8852	0.8385	0.9161
0.2	core	3651	384	79	25	2229	1038	0.2843	949	600	79	0.1317	0.445	53	8	0.8323	0.8197	0.7692	0.8951
0.3	core	1911	321	64	20	1062	528	0.2763	458	464	63	0.1358	0.4246	37	7	0.7156	0.6721	0.6231	0.8182
0.4	core	1047	261	49	14	469	317	0.3028	263	361	46	0.1274	0.4432	30	7	0.5958	0.5246	0.4385	0.7692
0.5	core	613	208	33	11	218	187	0.3051	154	251	29	0.1155	0.4223	22	5	0.5	0.4098	0.3308	0.6923
0.6	core	423	172	27	9	125	126	0.2979	101	182	21	0.1154	0.3956	16	4	0.4132	0.2295	0.2462	0.6434
0.7	core	293	148	19	6	69	76	0.2594	66	134	11	0.0821	0.3134	18	4	0.3623	0.1803	0.2154	0.5734
0.8	core	187	106	9	2	37	44	0.2353	38	92	7	0.0761	0.2935	13	2	0.2964	0.082	0.1462	0.5245
0.13	combined	8359	443	90	28	6142	1774	0.2122	1607	671	105	0.1565	0.4814	54	8	0.9341	0.9016	0.9077	0.972
0.2	combined	7613	432	79	25	6142	1039	0.1365	950	629	79	0.1256	0.4118	53	8	0.9102	0.8852	0.8538	0.972
0.3	combined	7091	417	64	20	6142	532	0.075	462	576	64	0.1111	0.3333	36	7	0.8862	0.8689	0.8154	0.958
0.4	combined	6866	402	49	14	6142	322	0.0469	268	544	48	0.0882	0.2886	29	7	0.8653	0.8525	0.7769	0.951
0.5	combined	6721	386	33	11	6142	193	0.0287	160	488	30	0.0615	0.2131	20	5	0.8353	0.8361	0.7538	0.9091
0.6	combined	6657	380	27	9	6142	135	0.0203	110	459	22	0.0479	0.159	14	4	0.8234	0.8361	0.7462	0.8881
0.7	combined	6600	372	19	6	6142	86	0.013	76	437	12	0.0275	0.1121	15	4	0.8114	0.8033	0.7385	0.8811
0.8	combined	6558	362	9	2	6142	54	0.0082	48	423	8	0.0189	0.0804	10	2	0.7934	0.7377	0.7308	0.8741
0.13	protein+core	3718	326	0	0	3382	10	0.0027	10	403	1	0.0025	0.0199	0	0	0.7216	0.7213	0.6615	0.7762
0.2	protein+core	2544	305	0	0	2229	10	0.0039	10	362	1	0.0028	0.0221	0	0	0.6976	0.6721	0.6462	0.7552
0.3	protein+core	1326	257	0	0	1062	7	0.0053	7	278	0	0.0	0.0216	0	0	0.6048	0.541	0.5385	0.6923
0.4	protein+core	687	212	0	0	469	6	0.0087	6	208	0	0.0	0.024	0	0	0.506	0.4098	0.3923	0.6503
0.5	protein+core	398	175	0	0	218	5	0.0126	5	152	0	0.0	0.0263	0	0	0.4401	0.3115	0.3077	0.6154
0.6	protein+core	272	145	0	0	125	2	0.0074	2	110	0	0.0	0.0182	0	0	0.3653	0.1311	0.2308	0.5874
0.7	protein+core	199	129	0	0	69	1	0.005	1	86	0	0.0	0.0116	0	0	0.3263	0.1148	0.2077	0.5245
0.8	protein+core	135	97	0	0	37	1	0.0074	1	62	0	0.0	0.0161	0	0	0.2784	0.082	0.1462	0.4825
