gate	t	m	n_edges	tp_retained	tp_noep_retained	noncoding_tp_retained	noncoding_tp_total	truthbar_retained	genuine_overmerge	genuine_rate_edge	genuine_prfam_invisible	n_blocks	genuine_rate_block	genuine_rate_block_edgehost	reach_recall_overall	recall_id_0.90-0.95	recall_id_0.95-0.99	recall_id_>=0.99
none			10755	450	97	31	31	6142	4163	0.3871	3678	667	0.1589	0.4873	0.9491	0.9508	0.9231	0.972
protein			6506	353	0	0	31	6142	11	0.0017	11	398	0.0025	0.0201	0.7754	0.7377	0.7308	0.8322
combined	0.13		8359	443	90	28	31	6142	1774	0.2122	1607	671	0.1565	0.4814	0.9341	0.9016	0.9077	0.972
combined	0.2		7613	432	79	25	31	6142	1039	0.1365	950	629	0.1256	0.4118	0.9102	0.8852	0.8538	0.972
combined	0.3		7091	417	64	20	31	6142	532	0.075	462	576	0.1111	0.3333	0.8862	0.8689	0.8154	0.958
combined	0.4		6866	402	49	14	31	6142	322	0.0469	268	544	0.0882	0.2886	0.8653	0.8525	0.7769	0.951
combined	0.5		6721	386	33	11	31	6142	193	0.0287	160	488	0.0615	0.2131	0.8353	0.8361	0.7538	0.9091
combined	0.6		6657	380	27	9	31	6142	135	0.0203	110	459	0.0479	0.159	0.8234	0.8361	0.7462	0.8881
combined	0.7		6600	372	19	6	31	6142	86	0.013	76	437	0.0275	0.1121	0.8114	0.8033	0.7385	0.8811
combined	0.8		6558	362	9	2	31	6142	54	0.0082	48	423	0.0189	0.0804	0.7934	0.7377	0.7308	0.8741
combined_mask	0.13	0.05	6577	373	20	6	31	6142	62	0.0094	47	418	0.0215	0.0789	0.8144	0.8361	0.7462	0.8671
combined_mask	0.13	0.1	6668	388	35	11	31	6142	138	0.0207	103	464	0.0603	0.1832	0.8383	0.8525	0.7692	0.8951
combined_mask	0.13	0.15	6820	394	41	13	31	6142	284	0.0416	227	500	0.088	0.278	0.8563	0.8525	0.8077	0.9021
combined_mask	0.13	0.2	6953	402	49	14	31	6142	409	0.0588	334	555	0.1117	0.3568	0.8653	0.8525	0.8154	0.9161
combined_mask	0.13	0.3	7320	427	74	20	31	6142	751	0.1026	649	625	0.1296	0.4224	0.9012	0.9016	0.8692	0.9301
combined_mask	0.13	0.5	8066	443	90	28	31	6142	1481	0.1836	1327	677	0.1477	0.4742	0.9341	0.9016	0.9077	0.972
combined_mask	0.13	1.0	8359	443	90	28	31	6142	1774	0.2122	1607	671	0.1565	0.4814	0.9341	0.9016	0.9077	0.972
combined_mask	0.2	0.05	6571	373	20	6	31	6142	56	0.0085	43	417	0.0168	0.0719	0.8144	0.8361	0.7462	0.8671
combined_mask	0.2	0.1	6638	388	35	11	31	6142	108	0.0163	82	454	0.0507	0.152	0.8383	0.8525	0.7692	0.8951
combined_mask	0.2	0.15	6756	390	37	12	31	6142	224	0.0332	180	486	0.0741	0.2346	0.8443	0.8525	0.7769	0.9021
combined_mask	0.2	0.2	6840	398	45	13	31	6142	300	0.0439	243	528	0.0947	0.2936	0.8533	0.8525	0.7846	0.9161
combined_mask	0.2	0.3	7045	420	67	19	31	6142	483	0.0686	408	591	0.1117	0.3689	0.8832	0.8852	0.8308	0.9301
combined_mask	0.2	0.5	7448	432	79	25	31	6142	874	0.1173	790	630	0.1238	0.4063	0.9102	0.8852	0.8538	0.972
combined_mask	0.2	1.0	7613	432	79	25	31	6142	1039	0.1365	950	629	0.1256	0.4118	0.9102	0.8852	0.8538	0.972
combined_mask	0.3	0.05	6565	373	20	6	31	6142	50	0.0076	37	415	0.0169	0.0627	0.8144	0.8361	0.7462	0.8671
combined_mask	0.3	0.1	6616	383	30	8	31	6142	91	0.0138	66	447	0.0492	0.132	0.8293	0.8525	0.7538	0.8881
combined_mask	0.3	0.15	6701	384	31	9	31	6142	175	0.0261	136	470	0.0702	0.1915	0.8323	0.8525	0.7538	0.8951
combined_mask	0.3	0.2	6752	392	39	10	31	6142	218	0.0323	170	506	0.087	0.2411	0.8413	0.8525	0.7615	0.9091
combined_mask	0.3	0.3	6868	408	55	15	31	6142	318	0.0463	255	555	0.1009	0.3063	0.8623	0.8689	0.7923	0.9231
combined_mask	0.3	0.5	7014	417	64	20	31	6142	455	0.0649	388	573	0.1082	0.3264	0.8862	0.8689	0.8154	0.958
combined_mask	0.3	1.0	7091	417	64	20	31	6142	532	0.075	462	576	0.1111	0.3333	0.8862	0.8689	0.8154	0.958
combined_mask	0.4	0.05	6558	370	17	6	31	6142	46	0.007	33	412	0.0146	0.0583	0.8144	0.8361	0.7462	0.8671
combined_mask	0.4	0.1	6603	379	26	8	31	6142	82	0.0124	57	441	0.0431	0.1202	0.8263	0.8525	0.7462	0.8881
combined_mask	0.4	0.15	6667	380	27	9	31	6142	145	0.0217	110	460	0.0565	0.1652	0.8293	0.8525	0.7462	0.8951
combined_mask	0.4	0.2	6708	386	33	10	31	6142	180	0.0268	139	492	0.0691	0.2114	0.8383	0.8525	0.7538	0.9091
combined_mask	0.4	0.3	6777	396	43	12	31	6142	239	0.0353	188	527	0.0835	0.2638	0.8503	0.8525	0.7692	0.9231
combined_mask	0.4	0.5	6836	402	49	14	31	6142	292	0.0427	239	542	0.0867	0.2823	0.8653	0.8525	0.7769	0.951
combined_mask	0.4	1.0	6866	402	49	14	31	6142	322	0.0469	268	544	0.0882	0.2886	0.8653	0.8525	0.7769	0.951
combined_mask	0.5	0.05	6543	367	14	6	31	6142	34	0.0052	26	410	0.0122	0.0488	0.8084	0.8361	0.7462	0.8531
combined_mask	0.5	0.1	6571	374	21	7	31	6142	55	0.0084	41	426	0.0282	0.0892	0.8144	0.8361	0.7462	0.8671
combined_mask	0.5	0.15	6618	375	22	8	31	6142	101	0.0153	80	438	0.0411	0.121	0.8174	0.8361	0.7462	0.8741
combined_mask	0.5	0.2	6643	379	26	8	31	6142	122	0.0184	97	457	0.0503	0.151	0.8234	0.8361	0.7462	0.8881
combined_mask	0.5	0.3	6688	383	30	9	31	6142	163	0.0244	131	475	0.0589	0.1895	0.8293	0.8361	0.7462	0.9021
combined_mask	0.5	0.5	6712	386	33	11	31	6142	184	0.0274	152	487	0.0595	0.2094	0.8353	0.8361	0.7538	0.9091
combined_mask	0.5	1.0	6721	386	33	11	31	6142	193	0.0287	160	488	0.0615	0.2131	0.8353	0.8361	0.7538	0.9091
combined_mask	0.6	0.05	6537	365	12	6	31	6142	30	0.0046	23	407	0.0098	0.0418	0.8024	0.8361	0.7385	0.8462
combined_mask	0.6	0.1	6555	371	18	7	31	6142	42	0.0064	32	416	0.0168	0.0649	0.8084	0.8361	0.7385	0.8601
combined_mask	0.6	0.15	6589	371	18	7	31	6142	76	0.0115	61	420	0.0262	0.0833	0.8084	0.8361	0.7385	0.8601
combined_mask	0.6	0.2	6606	374	21	7	31	6142	90	0.0136	72	435	0.0368	0.108	0.8114	0.8361	0.7385	0.8671
combined_mask	0.6	0.3	6638	377	24	7	31	6142	119	0.0179	95	448	0.0446	0.1406	0.8174	0.8361	0.7385	0.8811
combined_mask	0.6	0.5	6652	380	27	9	31	6142	130	0.0195	106	458	0.0459	0.155	0.8234	0.8361	0.7462	0.8881
combined_mask	0.6	1.0	6657	380	27	9	31	6142	135	0.0203	110	459	0.0479	0.159	0.8234	0.8361	0.7462	0.8881
combined_mask	0.7	0.05	6521	361	8	3	31	6142	18	0.0028	18	404	0.0025	0.0297	0.7904	0.8033	0.7308	0.8392
combined_mask	0.7	0.1	6535	366	13	4	31	6142	27	0.0041	24	410	0.0098	0.0488	0.7964	0.8033	0.7308	0.8531
combined_mask	0.7	0.15	6563	366	13	4	31	6142	55	0.0084	50	413	0.0145	0.063	0.7964	0.8033	0.7308	0.8531
combined_mask	0.7	0.2	6571	367	14	4	31	6142	62	0.0094	55	421	0.0214	0.0784	0.7994	0.8033	0.7308	0.8601
combined_mask	0.7	0.3	6591	369	16	4	31	6142	80	0.0121	70	429	0.0256	0.1002	0.8054	0.8033	0.7308	0.8741
