family_id	n_members	graph_score	core_cols	n_scored
FAM0	250	0.008	6	30
FAM1	114	0.009	8	30
FAM2	72	0.011	7	30
FAM3	47	0.601	452	30
FAM4	45	0.076	124	30
FAM5	45	1.0	1269	30
FAM6	34	1.0	1395	30
FAM7	32	0.848	601	30
FAM8	29	0.009	15	29
FAM9	29	0.019	19	29
FAM10	27	0.017	48	27
FAM11	26	0.005	14	26
FAM12	26	0.064	42	26
FAM13	25	1.0	666	25
FAM14	23	0.37	950	23
FAM15	23	0.005	8	23
FAM16	22	0.052	267	22
FAM17	21	0.035	31	21
FAM18	21	0.129	63	21
FAM19	21	0.046	93	21
FAM20	20	0.132	188	20
FAM21	19	0.046	224	19
FAM22	19	0.019	76	18
FAM23	18	0.068	65	18
FAM24	17	0.071	62	17
FAM25	17	0.073	40	17
FAM26	17	0.008	26	16
FAM27	17	0.063	73	17
FAM28	17	0.19	66	17
FAM29	17	0.004	19	17
FAM30	16	0.04	86	16
FAM31	16	0.008	13	15
FAM32	16	0.04	41	16
FAM33	16	0.206	145	16
FAM34	16	0.078	49	16
FAM35	15	0.019	83	15
FAM36	15	0.528	1121	15
FAM37	15	0.046	53	15
FAM38	15	0.024	44	15
FAM39	14	0.172	188	14
FAM40	14	0.842	399	14
FAM41	14	0.12	68	14
FAM42	14	0.24	388	14
FAM43	14	0.308	132	14
FAM44	13	0.025	60	13
FAM45	13	0.259	151	13
FAM46	13	0.035	63	13
FAM47	12	0.296	444	12
FAM48	12	0.58	205	12
FAM49	12	1.006	996	11
FAM50	11	1.035	119	11
FAM51	11	0.808	1018	11
FAM52	11	0.596	567	11
FAM53	11	0.032	68	11
FAM54	11	0.084	46	11
FAM55	11	0.119	47	11
FAM56	11	0.008	18	11
FAM57	11	0.166	52	11
FAM58	10	0.393	527	10
FAM59	10	0.931	778	10
FAM60	10	0.069	571	10
FAM61	10	0.059	118	10
FAM62	10	0.893	1189	10
FAM63	10	0.014	25	10
FAM64	10	0.039	157	10
FAM65	10	0.016	26	10
FAM66	10	0.13	46	10
FAM67	10	0.217	153	10
FAM68	10	0.061	87	10
FAM69	9	0.326	1570	9
FAM70	9	0.089	114	9
FAM71	9	0.135	146	9
FAM72	9	0.952	660	9
FAM73	9	0.032	68	9
FAM74	9	0.021	32	9
FAM75	9	0.929	589	9
FAM76	9	0.144	371	9
FAM77	9	0.116	58	9
FAM78	9	0.055	93	9
FAM79	9	0.043	81	9
FAM80	8	0.916	1118	8
FAM81	8	0.064	156	8
FAM82	8	1.05	681	8
FAM83	8	0.347	2089	8
FAM84	8	0.106	292	8
FAM85	8	0.578	275	8
FAM86	8	0.343	245	8
FAM87	8	0.087	151	8
FAM88	8	0.561	1267	8
FAM89	8	0.181	255	8
FAM90	8	0.186	192	8
FAM91	7	0.623	2355	7
FAM92	7	0.084	179	7
FAM93	7	0.44	780	7
FAM94	7	0.128	208	7
FAM95	7	0.59	601	7
FAM96	7	0.548	519	7
FAM97	7	0.19	83	7
FAM98	7	0.313	387	7
FAM99	7	0.013	98	7
FAM100	7	0.088	321	7
FAM101	7	0.498	670	7
FAM102	7	0.066	185	7
FAM103	7	0.327	465	7
FAM104	7	0.201	78	7
FAM105	7	0.127	211	7
FAM106	7	0.041	74	7
FAM107	7	0.134	311	7
FAM108	7	0.907	362	7
FAM109	7	0.245	211	7
FAM110	7	0.077	54	7
FAM111	7	0.137	290	7
FAM112	7	0.328	114	7
FAM113	7	0.423	745	7
FAM114	6	1.0	1140	6
FAM115	6	1.097	1213	6
FAM116	6	0.488	284	6
FAM117	6	0.452	977	6
FAM118	6	0.206	785	6
FAM119	6	0.07	124	6
FAM120	6	0.114	488	5
FAM121	6	0.558	501	6
FAM122	6	0.08	965	6
FAM123	6	0.076	218	6
FAM124	6	0.146	408	6
FAM125	6	0.574	397	6
FAM126	6	0.677	556	6
FAM127	6	0.767	1361	6
FAM128	6	0.012	46	6
FAM129	6	0.938	1487	6
FAM130	6	0.072	157	6
FAM131	6	0.797	1259	6
FAM132	6	0.05	97	6
FAM133	6	0.607	489	6
FAM134	6	0.067	57	6
FAM135	6	0.102	150	6
FAM136	6	0.239	582	6
FAM137	6	0.584	748	6
FAM138	6	0.55	902	6
FAM139	6	0.178	120	6
FAM140	6	0.521	182	6
FAM141	6	0.03	99	6
FAM142	6	0.893	677	6
FAM143	6	0.052	107	6
FAM144	6	0.123	313	6
FAM145	6	0.14	295	6
FAM146	6	0.379	563	6
FAM147	6	1.038	436	6
FAM148	6	0.147	239	6
FAM149	6	0.044	91	5
FAM150	6	0.099	238	6
FAM151	6	0.436	175	6
FAM152	6	0.968	883	6
FAM153	6	0.194	187	6
FAM154	6	0.113	681	6
FAM155	6	0.041	152	6
FAM156	5	0.029	60	5
FAM157	5	0.1	177	5
FAM158	5	0.151	329	5
FAM159	5	0.555	2024	5
FAM160	5	0.028	84	5
FAM161	5	0.203	676	5
FAM162	5	0.024	49	5
FAM163	5	0.011	57	5
FAM164	5	1.0	573	5
FAM165	5	1.0	1394	5
FAM166	5	0.571	588	5
FAM167	5	0.612	506	5
FAM168	5	0.179	495	5
FAM169	5	0.094	48	5
FAM170	5	1.0	1191	5
FAM171	5	0.09	124	5
FAM172	5	0.423	484	5
FAM173	5	0.403	201	5
FAM174	5	0.825	273	5
FAM175	5	0.982	769	5
FAM176	5	0.915	561	5
FAM177	5	0.148	111	5
FAM178	5	0.249	156	5
FAM179	5	1.02	803	5
FAM180	5	0.156	66	5
FAM181	5	0.544	237	5
FAM182	5	0.049	105	5
FAM183	5	0.86	405	5
FAM184	5	0.747	340	5
FAM185	5	0.298	294	5
FAM186	5	0.013	20	5
FAM187	5	0.052	63	5
FAM188	5	0.828	303	5
FAM189	5	0.051	144	5
FAM190	5	0.058	40	5
FAM191	5	0.593	201	5
FAM192	5	0.452	957	5
FAM193	5	0.43	220	5
FAM194	4	0.538	1882	4
FAM195	4	0.035	89	4
FAM196	4	1.0	2205	4
FAM197	4	0.141	387	4
FAM198	4	0.576	1206	4
FAM199	4	0.066	161	4
FAM200	4	0.154	478	4
FAM201	4	0.696	940	4
FAM202	4	1.181	1635	4
FAM203	4	1.0	939	4
FAM204	4	0.515	663	4
FAM205	4	0.776	455	4
FAM206	4	1.184	447	4
FAM207	4	0.65	258	4
FAM208	4	0.608	3011	4
FAM209	4	0.069	333	4
FAM210	4	0.701	6154	3
FAM211	4	0.515	1624	4
FAM212	4	0.537	751	4
FAM213	4	0.262	370	4
FAM214	4	0.066	220	4
FAM215	4	0.857	1653	4
FAM216	4	0.569	457	4
FAM217	4	0.667	7523	2
FAM218	4	0.202	900	4
