name	n_families	kept_pairs	kept_REAL	kept_GENUINE	kept_TRUTHBAR	tp_retention	overmerge_cut	truthbar_retention	genuine_precision	ge_genuine_cut	ge_real_kept	impure_blocks	impure_rate	oracle_blocks	oracle_recovered_genes	oracle_allele_as_copy	oracle_oversize_diploid	oracle_oversize_haploid_naive	oracle_multifam	oracle_median_log2_ratio_haploid	oracle_median_log2_ratio_diploid
bridge_removal_2ec	152	117839	340	78659	38840	0.7391	0.3905	0.9498	0.3325	0.1107	0.7616	28	0.1842	29	36	2	3	3	6	0.0	-0.737
combined_gamma_AND_embed0.02	194	8839	333	2988	5518	0.7239	0.9768	0.1349	0.662	0.426	0.7574	35	0.1804	33	36	2	3	3	6	0.0	-1.0
combined_gamma_AND_embed0.05	192	8728	332	2920	5476	0.7217	0.9774	0.1339	0.6654	0.4286	0.7553	34	0.1771	32	34	2	3	3	5	-0.058	-0.904
combined_gamma_AND_embed0.10	196	8222	332	2747	5143	0.7217	0.9787	0.1258	0.6659	0.4356	0.7553	35	0.1786	31	34	2	3	3	5	0.0	-0.807
combined_gamma_AND_truss3	194	8915	333	3042	5540	0.7239	0.9764	0.1355	0.6588	0.4251	0.7574	35	0.1804	33	36	2	3	3	6	0.0	-1.0
embed_t0.001	155	89192	338	52795	36059	0.7348	0.5909	0.8818	0.4081	0.1145	0.7616	30	0.1935	30	36	2	4	4	6	0.0	-0.661
embed_t0.010	155	89192	338	52795	36059	0.7348	0.5909	0.8818	0.4081	0.1145	0.7616	30	0.1935	30	36	2	4	4	6	0.0	-0.661
embed_t0.020	155	87944	338	51755	35851	0.7348	0.599	0.8767	0.4115	0.1158	0.7616	30	0.1935	30	36	2	4	4	6	0.0	-0.661
embed_t0.050	157	84366	337	48959	35070	0.7326	0.6206	0.8576	0.4197	0.1253	0.7595	30	0.1911	30	35	2	4	4	6	0.0	-0.661
embed_t0.080	162	55278	335	21409	33534	0.7283	0.8341	0.8201	0.6127	0.1339	0.7574	32	0.1975	31	35	2	5	5	5	0.0	-0.585
embed_t0.100	169	50534	335	18421	31778	0.7283	0.8573	0.7771	0.6355	0.1499	0.7574	34	0.2012	32	35	2	4	5	5	0.0	-0.661
embed_t0.150	182	39114	328	11983	26803	0.713	0.9072	0.6555	0.6936	0.192	0.7532	32	0.1758	33	35	2	4	5	4	0.0	-0.807
embed_t0.200	186	29682	328	8263	21091	0.713	0.936	0.5158	0.7216	0.2615	0.7532	31	0.1667	33	35	2	3	3	4	0.0	-0.907
