L_S,L_S_over_R,greedy_phantom_rate,certified_phantom_rate,spanning_fraction,certified_complete_rate
10,0.1,0.0,0.0,1.0,1.0
20,0.2,0.0,0.0,1.0,1.0
30,0.3,0.0,0.0,1.0,1.0
40,0.4,0.0,0.0,1.0,1.0
50,0.5,0.0,0.0,1.0,1.0
60,0.6,0.0,0.0,1.0,1.0
70,0.7,0.0,0.0,1.0,1.0
80,0.8,0.0025,0.0025,1.0,1.0
90,0.9,0.0375,0.0025,0.935,0.935
100,1.0,0.46,0.0,0.0,0.0
110,1.1,0.47,0.0,0.0,0.0
120,1.2,0.51,0.0,0.0,0.0
130,1.3,0.5,0.0,0.0,0.0
140,1.4,0.465,0.0,0.0,0.0
150,1.5,0.475,0.0,0.0,0.0
160,1.6,0.5,0.0,0.0,0.0
170,1.7,0.48,0.0,0.0,0.0
180,1.8,0.555,0.0,0.0,0.0
190,1.9,0.5125,0.0,0.0,0.0
200,2.0,0.5425,0.0,0.0,0.0
210,2.1,0.48,0.0,0.0,0.0
220,2.2,0.49,0.0,0.0,0.0
230,2.3,0.5025,0.0,0.0,0.0
240,2.4,0.4875,0.0,0.0,0.0
250,2.5,0.47,0.0,0.0,0.0
260,2.6,0.415,0.0,0.0,0.0
270,2.7,0.49,0.0,0.0,0.0
280,2.8,0.515,0.0,0.0,0.0
290,2.9,0.55,0.0,0.0,0.0
300,3.0,0.495,0.0,0.0,0.0
