family_id	class	category	n_members	n_distinct_genes	same_gene_family	n_full_exon_comp	connected	shares_full_exon	xcomp_best_exon_id	no_full_shared_exon	n_cross_pairs	n_cross_pairs_with_shared_node	n_cross_shared_nodes	max_cross_mult	med_cross_mult	n_cross_cyclic	rep_bridges_m5	rep_bridges_m8	rep_bridges_m12	rep_bridges_m20	n_internal_shared_nodes	max_internal_mult	n_internal_repeat_m8	min_comp_size	separates_same_gene	guard_ok	gate_cut_m8_sev2
7	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.593	1	1	1	280	426	2	3	3	3	3	3	280	426	3	1	0	1	1
17	DISCONNECTED_FP	hub_fam17	20	20	0	18	0	0	0.636	1	187	187	315	503	14	51	274	236	195	97	315	503	236	1	0	1	1
20	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.618	1	1	1	118	3	2	0	0	0	0	0	118	3	0	1	0	1	0
24	DISCONNECTED_FP	ep_impure	4	2	0	3	0	0	0.629	1	5	3	20	28	6	5	13	6	6	5	22	28	7	1	0	1	1
30	DISCONNECTED_FP	ep_impure	3	2	0	2	0	0	0.566	1	2	2	383	36	2	1	3	2	1	1	1037	36	4	1	0	1	1
57	DISCONNECTED_FP	ep_impure	9	8	0	9	0	0	0.627	1	36	36	159	497	19	36	148	133	118	74	159	497	133	1	0	1	1
64	DISCONNECTED_FP	ep_impure	10	7	0	9	0	0	0.691	1	44	42	201	497	14	34	179	152	118	72	209	497	159	1	0	1	1
116	DISCONNECTED_FP	ep_impure	3	2	0	2	0	0	0.552	1	2	2	22	4	2	0	0	0	0	0	110	4	0	1	0	1	0
128	DISCONNECTED_FP	ep_impure	5	3	0	5	0	0	0.618	1	10	6	743	503	2	56	71	69	69	66	743	503	69	1	1	0	0
165	DISCONNECTED_FP	ep_impure	5	2	0	2	0	0	0.588	1	4	4	26	16	10	1	24	18	10	0	60	156	35	1	0	1	1
182	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.576	1	1	1	415	6	2	2	1	0	0	0	415	6	0	1	0	1	0
196	DISCONNECTED_FP	ep_impure	3	3	0	2	0	0	0.597	1	2	1	120	4	2	0	0	0	0	0	421	9	1	1	0	1	0
229	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.565	1	1	1	32	3	2	0	0	0	0	0	32	3	0	1	0	1	0
258	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.581	1	1	1	562	5	2	4	2	0	0	0	562	5	0	1	0	1	0
268	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.521	1	1	1	126	4	2	0	0	0	0	0	126	4	0	1	0	1	0
278	DISCONNECTED_FP	ep_impure	3	2	0	3	0	0	0.578	1	3	3	28	497	86	18	26	24	24	22	28	497	24	1	0	1	1
284	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.536	1	1	1	214	497	2	5	6	6	6	4	214	497	6	1	0	1	1
310	DISCONNECTED_FP	ep_impure	4	4	0	2	0	0	0.59	1	4	2	209	5	3	1	1	0	0	0	489	6	0	2	0	1	0
322	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.619	1	1	1	277	7	2	1	3	0	0	0	277	7	0	1	0	1	0
324	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.616	1	1	1	395	17	2	0	6	2	1	0	395	17	2	1	0	1	1
350	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.583	1	1	1	304	503	2	49	84	72	66	59	304	503	72	1	0	1	1
372	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.516	1	1	1	191	497	2	1	3	1	1	1	191	497	1	1	0	1	0
390	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.633	1	1	1	96	3	2	0	0	0	0	0	96	3	0	1	0	1	0
403	DISCONNECTED_FP	ep_impure	7	5	0	2	0	0	0.56	1	6	6	39	503	104	30	38	37	37	36	1163	503	57	1	0	1	1
419	DISCONNECTED_FP	ep_impure	7	7	0	5	0	0	0.601	1	18	9	386	503	2	14	26	11	11	10	469	503	11	1	0	1	1
424	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.582	1	1	1	347	8	2	0	2	1	0	0	347	8	1	1	0	1	0
433	DISCONNECTED_FP	ep_impure	4	3	0	3	0	0	0.588	1	5	2	552	5	1	0	1	0	0	0	958	5	0	1	1	0	0
451	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.559	1	1	1	7	5	5	0	7	0	0	0	7	5	0	1	0	1	0
454	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.586	1	1	1	131	3	2	0	0	0	0	0	131	3	0	1	0	1	0
485	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.579	1	1	1	139	5	2	0	1	0	0	0	139	5	0	1	0	1	0
492	DISCONNECTED_FP	ep_impure	3	3	0	3	0	0	0.566	1	3	3	40	276	2	4	6	6	5	5	40	276	6	1	0	1	1
554	DISCONNECTED_FP	ep_impure	3	1	1	2	0	0	0.656	1	2	2	330	13	1	0	2	1	1	0	330	13	1	1	1	0	0
586	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.603	1	1	1	387	188	2	3	11	9	7	4	387	188	9	1	0	1	1
587	DISCONNECTED_FP	ep_impure	2	2	0	2	0	0	0.551	1	1	1	374	4	2	0	0	0	0	0	374	4	0	1	0	1	0
331	DISCONNECTED_FP	multifam_FOXO1_hub	15	7	0	2	0	0	0.573	1	14	9	52	5	1	3	1	0	0	0	2869	285	26	1	0	1	0
9	GSTM2_CONTROL	multifam_GSTM2	15	12	0	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	1906	426	297	15	0	0	0
13	GSTM2_CONTROL	multifam_GSTM2	3	3	0	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	1344	236	16	3	0	0	0
546	MAGE_CONTROL	mage	2	2	0	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	323	10	14	2	0	0	0
548	MAGE_CONTROL	mage	11	7	0	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	763	10	15	11	0	0	0
553	MAGE_CONTROL	mage	2	2	0	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	145	8	1	2	0	0	0
55	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	296	3	0	3	0	0	0
100	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	411	4	0	3	0	0	0
105	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	661	497	13	3	0	0	0
106	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	411	4	0	3	0	0	0
118	REAL_PARALOG	pure_multicopy	4	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	616	44	3	4	0	0	0
179	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	1137	31	3	3	0	0	0
186	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	852	503	36	3	0	0	0
214	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	384	4	0	3	0	0	0
234	REAL_PARALOG	pure_multicopy	3	1	1	2	0	0	0.618	1	2	2	10	2	1	0	0	0	0	0	464	503	43	1	1	0	0
235	REAL_PARALOG	pure_multicopy	4	1	1	3	0	0	0.547	1	5	5	398	20	1	2	5	3	3	1	947	20	3	1	1	0	0
251	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	613	188	20	3	0	0	0
259	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	603	23	2	3	0	0	0
273	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	570	4	0	3	0	0	0
279	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	604	22	2	3	0	0	0
288	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	692	503	48	3	0	0	0
318	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	826	6	0	3	0	0	0
336	REAL_PARALOG	pure_multicopy	4	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	162	28	4	4	0	0	0
358	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	408	497	2	3	0	0	0
387	REAL_PARALOG	pure_multicopy	3	1	1	2	0	0	0.51	1	2	2	299	4	1	0	0	0	0	0	626	106	3	1	1	0	0
460	REAL_PARALOG	pure_multicopy	3	1	1	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	413	5	0	3	0	0	0
477	REAL_PARALOG	pure_multicopy	3	1	1	2	0	0	0.0	1	2	2	120	497	1	5	8	8	8	7	674	503	102	1	1	0	0
