species	case	catalog_family	audit_nodes	named_members	primary_nodes	rna_candidates	related_outgroups	conflicting_nodes	untyped_review	edges_r0	edges_forward	reverse_only_removed	components_r0	components_forward	primary_components	primary_density	status
GGO	C4	GWFAM179	2	2	2	0	0	0	0	1	1	0	2	2	2	1.0000	PASS_NAMED_CONNECTED
GGO	TSPYL	GWFAM196	2	2	2	0	0	0	0	1	1	0	2	2	2	1.0000	PASS_NAMED_CONNECTED
GGO	GSTM	GWFAM34	4	4	4	0	0	0	0	5	5	0	4	4	4	0.8333	PASS_NAMED_CONNECTED
GGO	RGPD	GWFAM332	6	1	6	5	0	0	0	9	9	0	6	6	6	0.6000	ANNOTATION_LIMITED
GGO	ANKRD18	GWFAM338	4	1	4	3	0	0	0	4	4	0	4	4	4	0.6667	ANNOTATION_LIMITED
GGO	HERC2	GWFAM387	2	1	2	1	0	0	0	1	1	0	2	2	2	1.0000	ANNOTATION_LIMITED
GGO	MAGEA	GWFAM455	11	5	10	5	0	1	0	47	47	0	11	11	10	1.0000	PASS_NAMED_CONNECTED
GGO	DAZ	GWFAM479	2	2	2	0	0	0	0	1	1	0	2	2	2	1.0000	PASS_NAMED_CONNECTED
GGO	APOBEC3	GWFAM491	2	2	2	0	0	0	0	1	1	0	2	2	2	1.0000	PASS_NAMED_CONNECTED
HSA	GOLGA6_8	GWFAM141	22	11	19	8	1	1	1	86	86	0	22	22	19	0.4444	PASS_NAMED_CONNECTED
HSA	TBC1D3	GWFAM235	6	5	6	1	0	0	0	15	15	0	6	6	6	1.0000	PASS_NAMED_CONNECTED
HSA	RANBP2_RGPD	GWFAM280	9	8	8	0	0	1	0	31	31	0	9	9	8	1.0000	PASS_NAMED_CONNECTED
HSA	RABL2	GWFAM288	2	2	2	0	0	0	0	1	1	0	2	2	2	1.0000	PASS_NAMED_CONNECTED
HSA	AMY1	GWFAM32	6	2	6	4	0	0	0	15	15	0	6	6	6	1.0000	PASS_NAMED_CONNECTED
HSA	PCDHB	GWFAM341	2	2	2	0	0	0	0	1	1	0	2	2	2	1.0000	PASS_NAMED_CONNECTED
HSA	MAGEA	GWFAM375	10	7	7	0	0	3	0	25	25	0	10	10	7	1.0000	PASS_NAMED_CONNECTED
HSA	RBMY1	GWFAM393	3	3	3	0	0	0	0	3	3	0	3	3	3	1.0000	PASS_NAMED_CONNECTED
HSA	NBPF_core	GWFAM5	21	14	20	6	0	1	0	87	87	0	21	21	20	0.4105	PASS_NAMED_CONNECTED
HSA	NBPF_repeat_bridge	GWFAM33	17	1	1	0	0	9	7	36	21	15	17	8+5+2+1+1	1	0.0000	ANNOTATION_LIMITED
