gene-LOC129533586	pseudogene	LOC129533586	beta-defensin 125-like
gene-LOC129532372	lncRNA	LOC129532372	uncharacterized LOC129532372
gene-LOC101144634	protein_coding	LOC101144634	piggyBac transposable element-derived protein 2
gene-LOC115933513	snRNA	LOC115933513	U6 spliceosomal RNA
gene-TRNAE-CUC	tRNA	TRNAE-CUC	transfer RNA glutamic acid (anticodon CUC)
gene-TRNAL-CAA	tRNA	TRNAL-CAA	transfer RNA leucine (anticodon CAA)
gene-ZNF692	protein_coding	ZNF692	zinc finger protein 692
gene-ZNF672	protein_coding	ZNF672	zinc finger protein 672
gene-SH3BP5L	protein_coding	SH3BP5L	SH3 binding domain protein 5 like
gene-LOC115933511	snRNA	LOC115933511	U6 spliceosomal RNA
gene-LOC115930073	protein_coding	LOC115930073	piggyBac transposable element-derived protein 2
gene-LOC109024853	pseudogene	LOC109024853	putative uncharacterized protein FLJ44672
gene-LOC129523805	pseudogene	LOC129523805	protein capicua homolog
gene-LOC101145630	pseudogene	LOC101145630	probable C-mannosyltransferase DPY19L4
gene-LYPD8	protein_coding	LYPD8	LY6/PLAUR domain containing 8
gene-LOC109025062	protein_coding	LOC109025062	protein RoBo-1-like
gene-LOC101141950	protein_coding	LOC101141950	olfactory receptor 14I1
gene-LOC115931063	protein_coding	LOC115931063	uncharacterized LOC115931063
gene-LOC129532335	protein_coding	LOC129532335	olfactory receptor 2T27
gene-LOC101141204	protein_coding	LOC101141204	olfactory receptor 2T2
gene-LOC101140827	protein_coding	LOC101140827	olfactory receptor 2T11
gene-LOC101140436	protein_coding	LOC101140436	olfactory receptor 2T10
gene-LOC101139491	protein_coding	LOC101139491	olfactory receptor 2T29
gene-LOC101140082	protein_coding	LOC101140082	olfactory receptor 2T3
gene-LOC129532332	lncRNA	LOC129532332	uncharacterized LOC129532332
gene-LOC115932969	protein_coding	LOC115932969	olfactory receptor 2T10
gene-LOC129532330	protein_coding	LOC129532330	olfactory receptor 2T11-like
gene-LOC115931420	protein_coding	LOC115931420	olfactory receptor 2T2
gene-LOC101141577	protein_coding	LOC101141577	olfactory receptor 2T27
gene-LOC101139122	protein_coding	LOC101139122	olfactory receptor 2T1
gene-LOC101138755	protein_coding	LOC101138755	olfactory receptor 2T6
gene-LOC101138400	protein_coding	LOC101138400	olfactory receptor 2T4
gene-LOC101136561	protein_coding	LOC101136561	olfactory receptor 2M3-like
gene-LOC101138020	protein_coding	LOC101138020	olfactory receptor 14C36
gene-LOC109029255	protein_coding	LOC109029255	olfactory receptor 2M7
gene-LOC101131889	protein_coding	LOC101131889	olfactory receptor 2T12
gene-LOC101137288	protein_coding	LOC101137288	olfactory receptor 2M4
gene-LOC101136923	protein_coding	LOC101136923	olfactory receptor 2M3
gene-LOC134758300	lncRNA	LOC134758300	uncharacterized LOC134758300
gene-LOC129523697	pseudogene	LOC129523697	protein capicua homolog
gene-LOC129532323	pseudogene	LOC129532323	putative uncharacterized protein FLJ44672
gene-LOC101148918	protein_coding	LOC101148918	limb region 1 protein homolog
gene-LOC134756431	pseudogene	LOC134756431	protein capicua homolog
gene-LOC134758604	pseudogene	LOC134758604	protein capicua homolog
