Node,Colour
1,#d93025
2,#1e8e3e
3,#1e8e3e
4,#1e8e3e
5,#1e8e3e
6,#9aa0a6
7,#1e8e3e
8,#9aa0a6
9,#1e8e3e
10,#1e8e3e
11,#d93025
12,#1e8e3e
13,#9aa0a6
14,#d93025
15,#1e8e3e
16,#9aa0a6
17,#1e8e3e
18,#9aa0a6
19,#9aa0a6
20,#1e8e3e
21,#9aa0a6
22,#1e8e3e
23,#d93025
24,#1e8e3e
25,#9aa0a6
26,#1e8e3e
27,#1e8e3e
28,#9aa0a6
29,#9aa0a6
30,#9aa0a6
31,#d93025
32,#9aa0a6
33,#1e8e3e
34,#9aa0a6
35,#1e8e3e
36,#9aa0a6
37,#9aa0a6
38,#9aa0a6
39,#1e8e3e
40,#9aa0a6
41,#1e8e3e
42,#d93025
43,#1e8e3e
44,#9aa0a6
45,#1e8e3e
46,#9aa0a6
47,#1e8e3e
48,#d93025
49,#1e8e3e
50,#9aa0a6
51,#9aa0a6
52,#1e8e3e
53,#1e8e3e
54,#9aa0a6
55,#1e8e3e
56,#9aa0a6
57,#1e8e3e
58,#1e8e3e
59,#d93025
60,#9aa0a6
61,#1e8e3e
62,#d93025
63,#1e8e3e
64,#1e8e3e
65,#9aa0a6
66,#1e8e3e
67,#9aa0a6
68,#1e8e3e
69,#9aa0a6
70,#1e8e3e
71,#9aa0a6
72,#1e8e3e
73,#1e8e3e
74,#d93025
75,#9aa0a6
76,#9aa0a6
77,#1e8e3e
78,#9aa0a6
79,#d93025
80,#1e8e3e
81,#1e8e3e
82,#9aa0a6
83,#1e8e3e
84,#1e8e3e
85,#d93025
86,#1e8e3e
87,#9aa0a6
88,#d93025
89,#1e8e3e
90,#1e8e3e
91,#1e8e3e
92,#9aa0a6
93,#1e8e3e
94,#9aa0a6
95,#9aa0a6
96,#1e8e3e
97,#9aa0a6
98,#d93025
99,#1e8e3e
100,#1e8e3e
101,#1e8e3e
102,#9aa0a6
103,#d93025
104,#1e8e3e
105,#1e8e3e
106,#9aa0a6
107,#1e8e3e
108,#d93025
109,#1e8e3e
110,#9aa0a6
111,#1e8e3e
112,#1e8e3e
113,#1e8e3e
114,#d93025
115,#9aa0a6
116,#d93025
117,#9aa0a6
118,#d93025
119,#1e8e3e
120,#1e8e3e
121,#1e8e3e
122,#9aa0a6
123,#1e8e3e
124,#d93025
125,#1e8e3e
126,#9aa0a6
127,#1e8e3e
128,#d93025
129,#9aa0a6
130,#d93025
131,#9aa0a6
132,#9aa0a6
133,#1e8e3e
134,#9aa0a6
135,#1e8e3e
136,#1e8e3e
137,#d93025
138,#9aa0a6
139,#1e8e3e
140,#1e8e3e
141,#d93025
142,#1e8e3e
143,#9aa0a6
144,#1e8e3e
145,#9aa0a6
146,#d93025
147,#9aa0a6
148,#1e8e3e
149,#d93025
150,#1e8e3e
151,#9aa0a6
152,#d93025
153,#1e8e3e
154,#9aa0a6
155,#1e8e3e
156,#d93025
157,#1e8e3e
158,#9aa0a6
159,#1e8e3e
160,#1e8e3e
161,#9aa0a6
162,#9aa0a6
163,#1e8e3e
164,#d93025
165,#1e8e3e
166,#9aa0a6
167,#1e8e3e
168,#9aa0a6
169,#1e8e3e
170,#1e8e3e
171,#1e8e3e
172,#d93025
173,#9aa0a6
174,#d93025
175,#1e8e3e
176,#1e8e3e
177,#1e8e3e
178,#9aa0a6
179,#1e8e3e
180,#d93025
181,#1e8e3e
182,#1e8e3e
183,#9aa0a6
184,#1e8e3e
185,#9aa0a6
186,#9aa0a6
187,#d93025
188,#9aa0a6
189,#1e8e3e
190,#1e8e3e
191,#d93025
192,#9aa0a6
193,#d93025
194,#1e8e3e
195,#1e8e3e
196,#9aa0a6
197,#d93025
198,#1e8e3e
199,#9aa0a6
200,#1e8e3e
201,#1e8e3e
202,#9aa0a6
203,#1e8e3e
204,#1e8e3e
205,#d93025
206,#1e8e3e
207,#9aa0a6
208,#1e8e3e
209,#d93025
210,#9aa0a6
211,#1e8e3e
212,#9aa0a6
213,#d93025
214,#9aa0a6
215,#d93025
216,#1e8e3e
217,#1e8e3e
218,#9aa0a6
219,#1e8e3e
220,#9aa0a6
221,#9aa0a6
222,#1e8e3e
223,#d93025
224,#9aa0a6
225,#1e8e3e
226,#9aa0a6
227,#1e8e3e
228,#9aa0a6
229,#1e8e3e
230,#9aa0a6
231,#d93025
232,#1e8e3e
233,#9aa0a6
234,#d93025
235,#1e8e3e
236,#1e8e3e
237,#1e8e3e
238,#9aa0a6
239,#1e8e3e
240,#d93025
241,#1e8e3e
242,#9aa0a6
243,#1e8e3e
244,#9aa0a6
245,#9aa0a6
246,#1e8e3e
247,#1e8e3e
248,#9aa0a6
249,#1e8e3e
250,#1e8e3e
251,#9aa0a6
252,#d93025
253,#1e8e3e
254,#1e8e3e
255,#1e8e3e
256,#9aa0a6
257,#9aa0a6
258,#1e8e3e
259,#1e8e3e
260,#9aa0a6
261,#1e8e3e
262,#9aa0a6
263,#1e8e3e
264,#1e8e3e
265,#1e8e3e
266,#d93025
267,#9aa0a6
268,#1e8e3e
269,#9aa0a6
270,#1e8e3e
271,#9aa0a6
272,#1e8e3e
273,#9aa0a6
274,#9aa0a6
275,#1e8e3e
276,#1e8e3e
277,#d93025
278,#1e8e3e
279,#1e8e3e
280,#9aa0a6
281,#9aa0a6
282,#1e8e3e
283,#1e8e3e
284,#9aa0a6
285,#1e8e3e
286,#9aa0a6
287,#9aa0a6
288,#1e8e3e
289,#1e8e3e
290,#9aa0a6
291,#9aa0a6
292,#9aa0a6
293,#1e8e3e
294,#9aa0a6
295,#1e8e3e
296,#1e8e3e
297,#9aa0a6
298,#1e8e3e
299,#9aa0a6
300,#1e8e3e
301,#9aa0a6
302,#9aa0a6
303,#1e8e3e
304,#1e8e3e
305,#1e8e3e
306,#d93025
307,#1e8e3e
308,#9aa0a6
309,#d93025
310,#1e8e3e
311,#1e8e3e
312,#1e8e3e
313,#9aa0a6
314,#1e8e3e
315,#1e8e3e
316,#9aa0a6
317,#1e8e3e
318,#9aa0a6
319,#1e8e3e
320,#1e8e3e
321,#d93025
322,#1e8e3e
323,#1e8e3e
324,#9aa0a6
325,#1e8e3e
326,#d93025
327,#1e8e3e
328,#1e8e3e
329,#9aa0a6
330,#1e8e3e
331,#1e8e3e
