Node,Colour
1,#1e8e3e
2,#1e8e3e
3,#d93025
4,#1e8e3e
5,#1e8e3e
6,#d93025
7,#9aa0a6
8,#1e8e3e
9,#1e8e3e
10,#1e8e3e
11,#d93025
12,#1e8e3e
13,#9aa0a6
14,#9aa0a6
15,#1e8e3e
16,#9aa0a6
17,#1e8e3e
18,#d93025
19,#9aa0a6
20,#9aa0a6
21,#1e8e3e
22,#d93025
23,#1e8e3e
24,#1e8e3e
25,#9aa0a6
26,#9aa0a6
27,#1e8e3e
28,#9aa0a6
29,#1e8e3e
30,#1e8e3e
31,#d93025
32,#1e8e3e
33,#9aa0a6
34,#1e8e3e
35,#1e8e3e
36,#d93025
37,#1e8e3e
38,#9aa0a6
39,#1e8e3e
40,#d93025
41,#1e8e3e
42,#1e8e3e
43,#9aa0a6
44,#d93025
45,#9aa0a6
46,#1e8e3e
47,#d93025
48,#1e8e3e
49,#1e8e3e
50,#1e8e3e
51,#9aa0a6
52,#9aa0a6
53,#1e8e3e
54,#9aa0a6
55,#1e8e3e
56,#1e8e3e
57,#1e8e3e
58,#d93025
59,#d93025
60,#1e8e3e
61,#9aa0a6
62,#9aa0a6
63,#1e8e3e
64,#1e8e3e
65,#9aa0a6
66,#1e8e3e
67,#1e8e3e
68,#9aa0a6
69,#9aa0a6
70,#1e8e3e
71,#d93025
72,#1e8e3e
73,#9aa0a6
74,#1e8e3e
75,#1e8e3e
76,#1e8e3e
77,#d93025
78,#1e8e3e
79,#9aa0a6
80,#1e8e3e
81,#d93025
82,#1e8e3e
83,#1e8e3e
84,#9aa0a6
85,#1e8e3e
86,#1e8e3e
87,#d93025
88,#1e8e3e
89,#1e8e3e
90,#9aa0a6
91,#1e8e3e
92,#9aa0a6
93,#1e8e3e
94,#1e8e3e
95,#d93025
96,#1e8e3e
97,#9aa0a6
98,#1e8e3e
99,#9aa0a6
100,#1e8e3e
101,#9aa0a6
102,#d93025
103,#9aa0a6
104,#1e8e3e
105,#1e8e3e
106,#9aa0a6
107,#1e8e3e
108,#d93025
109,#1e8e3e
110,#1e8e3e
111,#9aa0a6
112,#1e8e3e
113,#d93025
114,#1e8e3e
115,#1e8e3e
116,#9aa0a6
117,#1e8e3e
118,#1e8e3e
119,#d93025
120,#1e8e3e
121,#9aa0a6
122,#1e8e3e
123,#9aa0a6
124,#1e8e3e
125,#9aa0a6
126,#1e8e3e
127,#1e8e3e
128,#9aa0a6
129,#1e8e3e
130,#1e8e3e
131,#9aa0a6
132,#1e8e3e
133,#1e8e3e
134,#9aa0a6
135,#9aa0a6
136,#d93025
