Node,Colour
1,#d93025
2,#1e8e3e
3,#9aa0a6
4,#d93025
5,#1e8e3e
6,#d93025
7,#9aa0a6
8,#1e8e3e
9,#d93025
10,#9aa0a6
11,#1e8e3e
12,#9aa0a6
13,#d93025
14,#1e8e3e
15,#9aa0a6
16,#1e8e3e
17,#d93025
18,#9aa0a6
19,#d93025
20,#d93025
21,#1e8e3e
22,#9aa0a6
23,#d93025
24,#9aa0a6
25,#d93025
26,#9aa0a6
27,#d93025
28,#9aa0a6
29,#d93025
30,#1e8e3e
31,#9aa0a6
32,#1e8e3e
33,#d93025
34,#9aa0a6
35,#d93025
36,#1e8e3e
37,#9aa0a6
38,#1e8e3e
39,#9aa0a6
40,#1e8e3e
41,#d93025
42,#9aa0a6
43,#1e8e3e
44,#d93025
45,#9aa0a6
46,#d93025
47,#1e8e3e
48,#9aa0a6
49,#d93025
50,#1e8e3e
51,#9aa0a6
52,#d93025
53,#1e8e3e
54,#9aa0a6
55,#1e8e3e
56,#d93025
57,#9aa0a6
58,#d93025
59,#9aa0a6
60,#1e8e3e
61,#d93025
62,#9aa0a6
63,#d93025
64,#9aa0a6
65,#d93025
66,#9aa0a6
67,#d93025
68,#9aa0a6
69,#1e8e3e
70,#d93025
71,#9aa0a6
72,#d93025
73,#1e8e3e
74,#9aa0a6
75,#1e8e3e
76,#9aa0a6
77,#d93025
78,#d93025
79,#1e8e3e
80,#9aa0a6
81,#d93025
82,#1e8e3e
83,#9aa0a6
84,#d93025
85,#1e8e3e
86,#9aa0a6
87,#d93025
88,#1e8e3e
89,#9aa0a6
90,#1e8e3e
91,#9aa0a6
92,#1e8e3e
93,#d93025
94,#9aa0a6
95,#d93025
96,#1e8e3e
97,#9aa0a6
98,#d93025
99,#1e8e3e
100,#9aa0a6
101,#1e8e3e
102,#9aa0a6
103,#1e8e3e
104,#d93025
105,#9aa0a6
106,#d93025
107,#1e8e3e
108,#9aa0a6
109,#1e8e3e
110,#d93025
111,#d93025
112,#9aa0a6
113,#1e8e3e
114,#9aa0a6
115,#1e8e3e
116,#9aa0a6
117,#1e8e3e
118,#d93025
119,#9aa0a6
120,#d93025
121,#9aa0a6
122,#1e8e3e
123,#d93025
124,#9aa0a6
125,#d93025
126,#1e8e3e
127,#9aa0a6
128,#d93025
129,#1e8e3e
130,#9aa0a6
131,#d93025
132,#9aa0a6
133,#d93025
134,#d93025
135,#1e8e3e
136,#9aa0a6
137,#d93025
138,#9aa0a6
139,#d93025
140,#d93025
141,#9aa0a6
142,#d93025
143,#1e8e3e
144,#9aa0a6
145,#d93025
146,#9aa0a6
147,#d93025
148,#9aa0a6
149,#1e8e3e
150,#d93025
151,#9aa0a6
152,#d93025
153,#d93025
154,#9aa0a6
155,#1e8e3e
156,#d93025
157,#9aa0a6
158,#d93025
159,#9aa0a6
160,#d93025
161,#9aa0a6
162,#d93025
163,#1e8e3e
164,#9aa0a6
165,#1e8e3e
166,#d93025
167,#d93025
168,#9aa0a6
169,#d93025
170,#9aa0a6
171,#d93025
172,#1e8e3e
173,#9aa0a6
174,#d93025
175,#9aa0a6
176,#d93025
177,#9aa0a6
178,#d93025
179,#1e8e3e
180,#d93025
181,#9aa0a6
182,#d93025
183,#1e8e3e
184,#9aa0a6
185,#d93025
186,#9aa0a6
187,#d93025
188,#1e8e3e
189,#9aa0a6
190,#d93025
191,#9aa0a6
192,#1e8e3e
193,#d93025
194,#9aa0a6
195,#d93025
196,#1e8e3e
197,#d93025
198,#9aa0a6
199,#d93025
200,#9aa0a6
201,#d93025
202,#1e8e3e
203,#9aa0a6
204,#d93025
205,#9aa0a6
206,#d93025
207,#d93025
208,#1e8e3e
209,#9aa0a6
210,#d93025
211,#9aa0a6
212,#d93025
213,#9aa0a6
214,#d93025
215,#1e8e3e
216,#9aa0a6
217,#d93025
218,#9aa0a6
219,#d93025
220,#1e8e3e
221,#9aa0a6
222,#d93025
223,#1e8e3e
224,#9aa0a6
225,#1e8e3e
226,#9aa0a6
227,#d93025
228,#1e8e3e
229,#9aa0a6
230,#d93025
231,#1e8e3e
232,#9aa0a6
233,#d93025
234,#1e8e3e
235,#9aa0a6
236,#d93025
237,#1e8e3e
238,#9aa0a6
239,#d93025
240,#1e8e3e
241,#9aa0a6
242,#1e8e3e
243,#d93025
244,#9aa0a6
245,#1e8e3e
246,#d93025
247,#9aa0a6
248,#d93025
249,#1e8e3e
250,#9aa0a6
251,#d93025
252,#9aa0a6
253,#d93025
254,#d93025
255,#1e8e3e
256,#9aa0a6
257,#d93025
258,#1e8e3e
259,#9aa0a6
260,#1e8e3e
261,#d93025
262,#9aa0a6
263,#d93025
264,#1e8e3e
265,#9aa0a6
266,#d93025
267,#d93025
268,#1e8e3e
269,#9aa0a6
270,#d93025
271,#9aa0a6
272,#9aa0a6
273,#d93025
274,#1e8e3e
275,#9aa0a6
276,#1e8e3e
277,#9aa0a6
278,#1e8e3e
279,#9aa0a6
280,#d93025
281,#1e8e3e
282,#9aa0a6
283,#1e8e3e
284,#d93025
285,#9aa0a6
286,#d93025
287,#9aa0a6
288,#d93025
289,#9aa0a6
290,#d93025
291,#d93025
292,#9aa0a6
293,#1e8e3e
294,#d93025
295,#9aa0a6
296,#1e8e3e
297,#d93025
298,#9aa0a6
299,#d93025
300,#9aa0a6
301,#d93025
302,#9aa0a6
303,#1e8e3e
304,#d93025
305,#9aa0a6
306,#d93025
307,#9aa0a6
308,#9aa0a6
309,#1e8e3e
310,#d93025
311,#9aa0a6
312,#d93025
313,#9aa0a6
314,#d93025
315,#9aa0a6
316,#d93025
317,#9aa0a6
318,#d93025
319,#9aa0a6
320,#d93025
321,#1e8e3e
322,#9aa0a6
323,#d93025
324,#1e8e3e
325,#9aa0a6
326,#d93025
327,#1e8e3e
328,#9aa0a6
329,#d93025
330,#d93025
331,#1e8e3e
332,#9aa0a6
333,#1e8e3e
334,#9aa0a6
335,#1e8e3e
336,#d93025
337,#9aa0a6
338,#d93025
339,#1e8e3e
340,#9aa0a6
341,#1e8e3e
342,#9aa0a6
343,#d93025
344,#9aa0a6
345,#1e8e3e
346,#9aa0a6
347,#1e8e3e
348,#d93025
349,#9aa0a6
350,#1e8e3e
351,#d93025
352,#9aa0a6
353,#1e8e3e
354,#d93025
355,#9aa0a6
