Node,Colour
1,#d93025
2,#d93025
3,#d93025
4,#d93025
5,#d93025
6,#d93025
7,#d93025
8,#d93025
9,#d93025
10,#d93025
11,#d93025
12,#d93025
13,#d93025
14,#d93025
15,#d93025
16,#d93025
17,#d93025
18,#d93025
19,#d93025
20,#d93025
21,#d93025
22,#d93025
23,#d93025
24,#d93025
25,#d93025
26,#d93025
27,#d93025
28,#d93025
29,#d93025
30,#d93025
31,#d93025
32,#d93025
33,#d93025
34,#d93025
35,#d93025
36,#d93025
37,#d93025
38,#d93025
39,#d93025
40,#d93025
41,#d93025
42,#d93025
43,#d93025
44,#d93025
45,#d93025
46,#d93025
47,#d93025
48,#d93025
49,#d93025
50,#d93025
51,#d93025
52,#d93025
53,#d93025
54,#d93025
55,#d93025
56,#d93025
57,#d93025
58,#d93025
59,#d93025
60,#d93025
61,#d93025
62,#d93025
63,#d93025
64,#d93025
65,#d93025
66,#d93025
67,#d93025
68,#d93025
