Node,Colour
1,#d93025
2,#1e8e3e
3,#d93025
4,#9aa0a6
5,#d93025
6,#9aa0a6
7,#d93025
8,#1e8e3e
9,#d93025
10,#1e8e3e
11,#9aa0a6
12,#1e8e3e
13,#d93025
14,#1e8e3e
15,#d93025
16,#9aa0a6
17,#d93025
18,#9aa0a6
19,#1e8e3e
20,#d93025
21,#9aa0a6
22,#9aa0a6
23,#d93025
24,#9aa0a6
25,#9aa0a6
26,#1e8e3e
27,#9aa0a6
28,#d93025
29,#9aa0a6
30,#1e8e3e
31,#9aa0a6
32,#d93025
33,#9aa0a6
34,#9aa0a6
35,#1e8e3e
36,#9aa0a6
37,#1e8e3e
38,#d93025
39,#9aa0a6
40,#9aa0a6
41,#9aa0a6
42,#9aa0a6
43,#9aa0a6
44,#1e8e3e
45,#9aa0a6
46,#d93025
47,#9aa0a6
48,#d93025
49,#9aa0a6
50,#d93025
51,#9aa0a6
52,#1e8e3e
53,#9aa0a6
54,#1e8e3e
55,#d93025
56,#d93025
57,#1e8e3e
58,#9aa0a6
59,#9aa0a6
60,#d93025
61,#9aa0a6
62,#d93025
63,#9aa0a6
64,#9aa0a6
65,#9aa0a6
66,#d93025
67,#9aa0a6
68,#9aa0a6
69,#9aa0a6
70,#9aa0a6
71,#1e8e3e
72,#d93025
73,#9aa0a6
74,#9aa0a6
75,#1e8e3e
76,#9aa0a6
77,#9aa0a6
78,#9aa0a6
79,#1e8e3e
80,#d93025
81,#9aa0a6
82,#9aa0a6
83,#9aa0a6
84,#9aa0a6
85,#1e8e3e
86,#9aa0a6
87,#d93025
88,#9aa0a6
89,#1e8e3e
90,#9aa0a6
91,#d93025
92,#9aa0a6
93,#1e8e3e
94,#9aa0a6
95,#9aa0a6
96,#d93025
97,#9aa0a6
98,#9aa0a6
99,#1e8e3e
100,#9aa0a6
101,#9aa0a6
102,#d93025
103,#9aa0a6
104,#9aa0a6
105,#1e8e3e
106,#9aa0a6
107,#9aa0a6
108,#1e8e3e
109,#d93025
110,#9aa0a6
111,#9aa0a6
112,#9aa0a6
113,#9aa0a6
114,#d93025
115,#1e8e3e
116,#9aa0a6
117,#1e8e3e
118,#d93025
119,#d93025
120,#1e8e3e
121,#9aa0a6
122,#9aa0a6
123,#1e8e3e
124,#9aa0a6
125,#1e8e3e
126,#9aa0a6
127,#d93025
128,#9aa0a6
129,#1e8e3e
130,#9aa0a6
131,#9aa0a6
132,#1e8e3e
133,#9aa0a6
134,#9aa0a6
135,#d93025
136,#9aa0a6
137,#1e8e3e
138,#9aa0a6
139,#d93025
140,#9aa0a6
141,#9aa0a6
142,#1e8e3e
143,#9aa0a6
144,#d93025
145,#9aa0a6
146,#1e8e3e
147,#9aa0a6
148,#9aa0a6
149,#9aa0a6
150,#9aa0a6
151,#d93025
152,#9aa0a6
153,#1e8e3e
154,#9aa0a6
155,#d93025
156,#9aa0a6
157,#1e8e3e
158,#9aa0a6
159,#d93025
160,#9aa0a6
161,#1e8e3e
162,#d93025
163,#9aa0a6
164,#9aa0a6
165,#d93025
166,#9aa0a6
167,#9aa0a6
168,#d93025
169,#9aa0a6
170,#1e8e3e
171,#9aa0a6
172,#9aa0a6
173,#d93025
174,#1e8e3e
175,#9aa0a6
176,#1e8e3e
177,#9aa0a6
178,#d93025
179,#9aa0a6
180,#9aa0a6
181,#9aa0a6
182,#9aa0a6
183,#1e8e3e
184,#d93025
185,#9aa0a6
186,#9aa0a6
187,#d93025
188,#9aa0a6
189,#1e8e3e
190,#9aa0a6
191,#d93025
192,#9aa0a6
193,#9aa0a6
194,#9aa0a6
195,#d93025
196,#1e8e3e
197,#9aa0a6
198,#9aa0a6
199,#9aa0a6
200,#9aa0a6
201,#9aa0a6
202,#9aa0a6
203,#9aa0a6
204,#1e8e3e
205,#9aa0a6
206,#d93025
207,#9aa0a6
208,#1e8e3e
209,#9aa0a6
210,#d93025
211,#9aa0a6
212,#1e8e3e
213,#9aa0a6
214,#d93025
215,#9aa0a6
216,#1e8e3e
217,#9aa0a6
218,#d93025
219,#9aa0a6
220,#9aa0a6
221,#9aa0a6
222,#9aa0a6
223,#d93025
224,#9aa0a6
225,#9aa0a6
226,#d93025
227,#9aa0a6
228,#9aa0a6
229,#d93025
230,#1e8e3e
231,#9aa0a6
232,#1e8e3e
233,#d93025
234,#9aa0a6
235,#9aa0a6
236,#1e8e3e
237,#9aa0a6
238,#1e8e3e
239,#9aa0a6
240,#d93025
241,#9aa0a6
242,#1e8e3e
243,#d93025
244,#9aa0a6
245,#9aa0a6
246,#1e8e3e
247,#9aa0a6
248,#9aa0a6
249,#9aa0a6
250,#9aa0a6
251,#d93025
252,#9aa0a6
253,#1e8e3e
254,#9aa0a6
255,#9aa0a6
256,#d93025
257,#9aa0a6
258,#d93025
259,#9aa0a6
260,#1e8e3e
261,#9aa0a6
262,#9aa0a6
263,#1e8e3e
264,#9aa0a6
265,#d93025
266,#9aa0a6
267,#1e8e3e
268,#9aa0a6
269,#9aa0a6
270,#d93025
271,#9aa0a6
272,#d93025
273,#1e8e3e
274,#9aa0a6
275,#9aa0a6
276,#1e8e3e
277,#d93025
278,#9aa0a6
279,#9aa0a6
280,#1e8e3e
281,#9aa0a6
282,#9aa0a6
283,#1e8e3e
284,#9aa0a6
285,#9aa0a6
286,#1e8e3e
287,#9aa0a6
288,#9aa0a6
289,#1e8e3e
290,#d93025
291,#9aa0a6
292,#d93025
293,#1e8e3e
294,#9aa0a6
295,#9aa0a6
296,#1e8e3e
297,#9aa0a6
298,#d93025
299,#9aa0a6
300,#1e8e3e
301,#d93025
302,#9aa0a6
303,#9aa0a6
304,#1e8e3e
305,#9aa0a6
306,#d93025
307,#9aa0a6
308,#d93025
309,#1e8e3e
310,#9aa0a6
311,#9aa0a6
312,#9aa0a6
313,#d93025
314,#9aa0a6
315,#9aa0a6
316,#d93025
317,#1e8e3e
318,#9aa0a6
319,#d93025
320,#1e8e3e
321,#1e8e3e
322,#d93025
323,#9aa0a6
324,#9aa0a6
325,#9aa0a6
326,#1e8e3e
327,#9aa0a6
328,#d93025
329,#9aa0a6
330,#d93025
331,#1e8e3e
332,#9aa0a6
333,#9aa0a6
334,#d93025
335,#9aa0a6
336,#1e8e3e
337,#9aa0a6
338,#9aa0a6
339,#9aa0a6
