Node,Colour
1,#d93025
2,#d93025
3,#d93025
4,#d93025
5,#d93025
6,#d93025
7,#d93025
8,#d93025
9,#d93025
10,#d93025
11,#d93025
12,#d93025
13,#d93025
14,#d93025
15,#d93025
16,#d93025
17,#d93025
18,#d93025
19,#d93025
20,#d93025
21,#d93025
22,#d93025
23,#d93025
24,#d93025
25,#d93025
26,#d93025
27,#d93025
28,#d93025
29,#d93025
30,#d93025
31,#d93025
32,#d93025
33,#d93025
34,#d93025
35,#d93025
36,#d93025
37,#d93025
38,#d93025
39,#d93025
40,#d93025
41,#d93025
42,#d93025
43,#d93025
44,#d93025
45,#d93025
46,#d93025
