family_id	genes	n_copies	n_reads	n_distinguishable	pct_distinguishable	n_k0_members	n_k0_rescued_claimed	n_k0_rescued_verified	verified_genes
ID_131	AC105272.1	6	11381	2369	65.7	1	1	0	none
ID_14	AC005562.2	17	41178	30380	96.1	1	1	0	none
ID_146	AC233280.19	2	6712	6068	100	1	1	0	none
ID_167	AC133548.1;CHEK2P2	3	604	268	100	2	2	0	none
ID_213	-	4	1056	69	80.2	1	0	0	none
ID_215	AC244669.2	7	10768	3646	82.8	1	1	0	none
ID_222	AC243829.6	1	0	0	0	1	0	0	none
ID_226	H3P4;H3C13	5	1046	394	50.6	2	2	0	none
ID_240	SYT15;AL157893.1	3	218	123	98.4	2	2	0	none
ID_26	AC006453.4	11	4486	1954	98.7	1	1	0	none
ID_261	CNTNAP3P5	5	2154	1176	98.4	1	1	0	none
ID_302	BOLA2B	1	0	0	0	1	0	0	none
ID_313	CDH12P3;CDH12P1	2	1301	358	83.8	2	2	0	none
ID_332	DDX11L16	6	2043	1932	97.2	1	1	0	none
ID_334	DEFB104B	1	0	0	0	1	0	0	none
ID_348	DUX4L50	1	0	0	0	1	0	0	none
ID_391	WASH6P	5	2483	2358	98.3	1	1	0	none
ID_402	NCF1C	3	568	20	83.3	2	1	0	none
ID_407	TRIM74	4	3912	1974	83.4	1	1	0	none
ID_411	OR11H13P	3	430	117	92.1	1	1	0	none
ID_431	PPIAL4A;PPIAL4C;PPIAL4F	5	942	354	57.5	5	3	0	none
ID_65	CR383656.5	9	14680	12892	96.9	1	1	0	none
ID_78	AC243562.1	5	17651	14769	99.8	1	1	0	none
ID_92	AC243829.7;AC053481.4	2	741	111	100	2	2	0	none
