family_id	genes	n_members	sens_now	precision	missed	seeding_fixable	K0_floor	silent_corrected	other	proj_sens_postfix
ID_431	PPIAL4A	5	0%	NA	5	0	5	0	0	0/5 = 0%
ID_63	ANAPC1P1	8	50%	100%	4	3	0	0	1	7/8 = 88%
ID_213	AC246785.1	4	0%	NA	4	0	1	1	2	1/4 = 25%
ID_226	H2BP1	5	20%	100%	4	2	2	0	0	3/5 = 60%
ID_261	CNTNAP3P5	5	20%	100%	4	1	1	0	2	2/5 = 40%
ID_14	AC005562.2	7	57%	100%	3	2	1	0	0	6/7 = 86%
ID_127	TCAF2	3	0%	NA	3	3	0	0	0	3/3 = 100%
ID_167	CHEK2P2	3	0%	NA	3	0	2	0	1	0/3 = 0%
ID_240	SYT15	3	0%	NA	3	1	2	0	0	1/3 = 33%
ID_260	AL513478.2	3	0%	NA	3	3	0	0	0	3/3 = 100%
ID_402	NCF1B	3	0%	NA	3	1	2	0	0	1/3 = 33%
ID_411	OR11H12	3	0%	NA	3	0	1	0	2	0/3 = 0%
ID_26	AC006453.4	2	0%	NA	2	1	1	0	0	1/2 = 50%
ID_43	TRIM64DP	4	50%	100%	2	0	0	0	2	2/4 = 50%
ID_65	FAR2P1	9	78%	100%	2	0	1	0	1	7/9 = 78%
ID_92	AC243829.7	2	0%	NA	2	0	2	0	0	0/2 = 0%
ID_146	AC233280.19	2	0%	NA	2	1	1	0	0	1/2 = 50%
ID_148	AC126603.1	2	0%	NA	2	2	0	0	0	2/2 = 100%
ID_175	TEKT4P2	2	0%	NA	2	2	0	0	0	2/2 = 100%
ID_215	AC244669.2	7	71%	100%	2	1	1	0	0	6/7 = 86%
ID_251	ANKRD36B	2	0%	NA	2	2	0	0	0	2/2 = 100%
ID_313	CDH12P1	2	0%	NA	2	0	2	0	0	0/2 = 0%
ID_332	DDX11L2	6	67%	100%	2	0	1	0	1	4/6 = 67%
ID_338	DEFB108C	3	33%	100%	2	2	0	0	0	3/3 = 100%
ID_386	LIMS1	2	0%	NA	2	2	0	0	0	2/2 = 100%
ID_407	NSUN5P2	4	50%	100%	2	1	1	0	0	3/4 = 75%
ID_458	SPAG11A	2	0%	NA	2	2	0	0	0	2/2 = 100%
ID_12	POM121	4	75%	100%	1	1	0	0	0	4/4 = 100%
ID_35	AL669831.1	10	90%	100%	1	1	0	0	0	10/10 = 100%
ID_78	GOLGA8A	5	80%	100%	1	0	1	0	0	4/5 = 80%
ID_131	AMY2A	6	83%	100%	1	0	1	0	0	5/6 = 83%
ID_147	AC125634.1	4	75%	100%	1	1	0	0	0	4/4 = 100%
ID_156	WHAMMP3	5	80%	100%	1	1	0	0	0	5/5 = 100%
ID_208	GTF2IP14	5	80%	100%	1	1	0	0	0	5/5 = 100%
ID_222	AC243829.6	1	0%	NA	1	0	1	0	0	0/1 = 0%
ID_302	BOLA2B	1	0%	NA	1	0	1	0	0	0/1 = 0%
ID_327	CTSLP3	4	75%	100%	1	1	0	0	0	4/4 = 100%
ID_334	DEFB104B	1	0%	NA	1	0	1	0	0	0/1 = 0%
ID_348	DUX4L50	1	0%	NA	1	0	1	0	0	0/1 = 0%
ID_391	WASH2P	5	80%	100%	1	0	1	0	0	4/5 = 80%
ID_481	UBE2Q2P6	5	80%	100%	1	0	0	1	0	5/5 = 100%
ID_8	PMS2P4	9	100%	100%	0	0	0	0	0	9/9 = 100%
ID_22	AC239859.4	6	100%	100%	0	0	0	0	0	6/6 = 100%
ID_24	AC239859.5	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_49	AC009533.1	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_68	DNM1P28	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_71	AC023310.1	5	100%	100%	0	0	0	0	0	5/5 = 100%
ID_88	GOLGA6L10	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_104	AL669942.1	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_113	GOLGA8CP	16	100%	100%	0	0	0	0	0	16/16 = 100%
ID_116	GOLGA6L6	6	100%	100%	0	0	0	0	0	6/6 = 100%
ID_141	AC119751.3	1	100%	100%	0	0	0	0	0	1/1 = 100%
ID_142	CR381670.1	1	100%	100%	0	0	0	0	0	1/1 = 100%
ID_154	NPIPB2	14	100%	100%	0	0	0	0	0	14/14 = 100%
ID_163	GUSBP1	6	100%	100%	0	0	0	0	0	6/6 = 100%
ID_179	ULK4P3	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_182	FAM153B	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_188	HERC2P3	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_207	SPDYE1	17	100%	100%	0	0	0	0	0	17/17 = 100%
ID_209	AC233699.1	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_211	AC241377.2	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_212	AC244669.1	5	100%	100%	0	0	0	0	0	5/5 = 100%
ID_245	CNTNAP3	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_267	AL590399.2	1	100%	100%	0	0	0	0	0	1/1 = 100%
ID_280	ANKRD20A3P	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_283	BCRP7	5	100%	100%	0	0	0	0	0	5/5 = 100%
ID_300	BMS1P17	2	100%	100%	0	0	0	0	0	2/2 = 100%
ID_324	CSPG4P10	5	100%	100%	0	0	0	0	0	5/5 = 100%
ID_354	FAM72B	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_357	FCGR1B	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_359	FGF7P5	5	100%	100%	0	0	0	0	0	5/5 = 100%
ID_374	GTF2IRD2P1	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_393	MST1L	2	100%	100%	0	0	0	0	0	2/2 = 100%
ID_395	RGPD1	6	100%	100%	0	0	0	0	0	6/6 = 100%
ID_399	NAIPP1	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_400	NOTCH2	6	100%	100%	0	0	0	0	0	6/6 = 100%
ID_403	NF1P10	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_443	SHLD2P1	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_448	SEC22B	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_462	SRGAP2C	4	100%	100%	0	0	0	0	0	4/4 = 100%
ID_468	TBC1D3B	9	100%	100%	0	0	0	0	0	9/9 = 100%
ID_474	TP53TG3D	3	100%	100%	0	0	0	0	0	3/3 = 100%
ID_490	ZNF705G	3	100%	100%	0	0	0	0	0	3/3 = 100%
