fam_id	n_members	n_flagged_members	flag
0	137	0	clean
1	99	0	clean
2	98	0	clean
3	86	5	annotated_pseudogene
4	78	0	clean
5	75	1	annotated_pseudogene
6	74	0	clean
7	70	3	annotated_pseudogene
8	68	0	clean
9	64	0	clean
10	61	0	clean
11	61	0	clean
12	61	1	annotated_pseudogene
13	60	0	clean
14	58	0	clean
15	55	0	clean
16	55	0	clean
17	55	0	clean
18	55	0	clean
19	54	0	clean
20	53	0	clean
21	52	0	clean
22	52	3	annotated_pseudogene
23	52	0	clean
24	51	0	clean
25	51	0	clean
26	51	0	clean
27	50	0	clean
28	50	2	annotated_pseudogene
29	50	0	clean
30	49	0	clean
31	49	0	clean
32	49	0	clean
33	48	0	clean
34	48	0	clean
35	48	0	clean
36	48	0	clean
37	48	0	clean
38	48	0	clean
39	47	0	clean
40	46	1	annotated_pseudogene
41	46	0	clean
42	45	0	clean
43	45	0	clean
44	44	0	clean
45	43	0	clean
46	43	0	clean
47	42	0	clean
48	42	0	clean
49	42	0	clean
50	42	0	clean
51	42	1	annotated_pseudogene
52	41	0	clean
53	41	0	clean
54	41	0	clean
55	41	0	clean
56	40	0	clean
57	40	0	clean
58	40	0	clean
59	40	0	clean
60	40	0	clean
61	40	0	clean
62	40	1	annotated_pseudogene;intronless_pseudogene
63	40	0	clean
64	39	0	clean
65	39	0	clean
66	39	0	clean
67	39	0	clean
68	39	0	clean
69	39	0	clean
70	39	0	clean
71	38	0	clean
72	38	0	clean
73	38	0	clean
74	38	0	clean
75	38	0	clean
76	38	0	clean
77	38	0	clean
78	38	0	clean
79	38	0	clean
80	38	0	clean
81	38	0	clean
82	37	0	clean
83	37	0	clean
84	37	0	clean
85	37	0	clean
86	37	0	clean
87	37	0	clean
88	37	0	clean
89	37	0	clean
90	37	0	clean
91	37	0	clean
92	36	0	clean
93	36	2	annotated_pseudogene
94	36	0	clean
95	36	0	clean
96	36	0	clean
97	36	1	annotated_pseudogene
98	36	0	clean
99	36	0	clean
100	36	0	clean
101	36	0	clean
102	36	0	clean
103	35	1	annotated_pseudogene
104	35	0	clean
105	35	0	clean
106	35	0	clean
107	35	0	clean
108	35	0	clean
109	35	0	clean
110	35	0	clean
111	35	0	clean
112	35	0	clean
113	35	0	clean
114	35	0	clean
115	34	0	clean
116	34	0	clean
117	34	0	clean
118	34	0	clean
119	34	0	clean
120	34	0	clean
121	34	0	clean
122	34	0	clean
123	34	0	clean
124	34	0	clean
125	34	0	clean
126	34	0	clean
127	33	0	clean
128	33	0	clean
129	33	1	annotated_pseudogene
130	33	0	clean
131	33	0	clean
132	33	0	clean
133	33	0	clean
134	33	0	clean
135	33	1	annotated_pseudogene
136	33	0	clean
137	33	0	clean
138	33	0	clean
139	33	0	clean
140	32	0	clean
141	32	0	clean
142	32	0	clean
