# SECTION nodes (mult>=2)
node_id	multiplicity	n_genes	cyclic	is_repeat_m5	n_transcripts	softmask_frac
12184124	503	503	1	1	588	1.0
0	497	497	1	1	575	1.0
55874046	497	497	1	1	580	1.0
48736497	452	452	1	1	522	1.0
117453056	426	426	1	1	502	1.0
2	345	345	1	1	392	1.0
175678626	285	285	1	1	335	1.0
802831	276	276	1	1	317	1.0
268218913	249	249	1	1	293	1.0
20635669	236	236	1	1	277	1.0
126997655	231	231	1	1	261	1.0
8	223	223	1	1	252	1.0
133859928	220	220	1	1	255	1.0
86370625	212	212	1	1	253	1.0
166337610	205	205	1	1	228	1.0
5617521	199	199	1	1	231	1.0
3	195	195	1	1	233	1.0
106873684	194	194	1	1	232	1.0
133859920	194	194	1	1	219	1.0
184102437	192	192	1	1	224	1.0
133859960	188	188	1	1	210	1.0
78045777	185	185	1	1	205	1.0
122838692	182	182	1	1	200	1.0
22470087	177	177	1	1	208	1.0
77914705	176	176	1	1	208	1.0
124398050	175	175	1	1	212	1.0
132786658	169	169	1	1	190	1.0
241091412	169	169	1	1	198	1.0
88767022	168	168	1	1	195	1.0
30901714	167	167	1	1	194	1.0
87812426	166	166	1	1	202	1.0
89880348	162	162	1	1	192	1.0
187148401	162	162	1	1	182	1.0
5584753	161	161	1	1	182	1.0
73319252	161	161	1	1	181	1.0
122300898	159	159	1	1	179	1.0
194945988	158	158	1	1	188	1.0
122838702	157	157	1	1	182	1.0
166345802	156	156	1	1	182	1.0
32	155	155	1	1	172	1.0
85870418	151	151	1	1	177	1.0
139615892	149	149	1	1	180	1.0
232550403	146	146	1	1	167	1.0
22339015	145	145	1	1	163	1.0
89356060	144	144	1	1	161	1.0
78570065	140	140	1	1	159	1.0
145724130	133	133	1	1	153	1.0
993193	132	132	1	1	151	1.0
128065557	130	130	1	1	145	1.0
170869268	130	130	1	1	150	1.0
64167560	129	129	1	1	145	0.9914
5748593	127	127	1	1	148	1.0
992553	124	124	1	1	140	1.0
48487801	124	124	1	1	146	1.0
126901733	124	124	1	1	145	1.0
128	123	123	1	1	140	1.0
122909696	123	123	1	1	143	1.0
170877460	121	121	1	1	147	1.0
170910228	121	121	1	1	139	1.0
75112961	119	119	1	1	133	0.9962
122838694	119	119	1	1	137	1.0
46102354	117	117	1	1	134	1.0
91977500	117	117	1	1	132	1.0
5716027	116	116	1	1	127	0.9927
11007300	116	116	1	1	129	0.9086
22994375	116	116	1	1	131	1.0
170517138	113	113	1	1	122	1.0
55876724	109	109	1	1	126	1.0
1	108	108	1	1	127	1.0
15	108	108	1	1	128	1.0
126901573	107	107	1	1	127	1.0
71582788	106	106	1	1	130	1.0
87419329	105	105	1	1	119	1.0
40099193	104	104	1	1	118	1.0
97695956	104	104	1	1	123	1.0
159037512	104	104	0	1	117	1.0
22864108	103	103	1	1	111	1.0
46787132	102	102	1	1	113	1.0
992681	100	100	0	1	113	1.0
30901712	100	100	1	1	119	1.0
125531136	100	100	1	1	115	1.0
7725428	99	99	1	1	112	1.0
802819	98	98	1	1	108	1.0
44029203	97	97	1	1	104	0.9876
11	96	96	1	1	112	1.0
512	96	96	1	1	109	1.0
64036488	96	96	1	1	110	0.9931
123433984	95	95	0	1	108	1.0
126901605	91	91	1	1	104	1.0
164063785	91	91	1	1	103	1.0
55876734	90	90	1	1	100	1.0
159029320	89	89	1	1	101	1.0
55876726	88	88	1	1	106	1.0
139681436	88	88	1	1	103	1.0
164750359	88	88	1	1	98	1.0
172630225	88	88	1	1	105	1.0
11008324	87	87	1	1	102	0.9262
158687945	87	87	1	1	99	1.0
3972772	86	86	1	1	95	1.0
103500323	86	86	1	1	92	1.0
172630249	86	86	1	1	96	1.0
158679753	85	85	1	1	97	1.0
175779395	84	84	1	1	103	1.0
15891091	83	83	1	1	92	1.0
160396773	83	83	1	1	98	1.0
5705787	82	82	1	1	95	0.9952
86368577	81	81	1	1	88	1.0
86370881	81	81	1	1	91	1.0
30910928	80	80	1	1	91	1.0
34903973	80	80	1	1	93	1.0
46787100	80	80	1	1	89	1.0
158720713	80	80	1	1	89	1.0
164055593	80	80	1	1	87	1.0
248170	79	79	1	1	90	1.0
15599675	79	79	1	1	93	0.998
97672528	79	79	1	1	89	1.0
98274661	79	79	1	1	90	1.0
99366217	78	78	1	1	91	1.0
38002041	77	77	1	1	90	1.0
248138	76	76	1	1	81	1.0
63564366	76	76	1	1	84	1.0
98196816	76	76	1	1	87	1.0
64846196	75	75	1	1	87	1.0
5713979	73	73	1	1	81	0.8302
159027272	72	72	1	1	84	1.0
15880851	70	70	0	1	77	1.0
802816	69	69	1	1	79	1.0
6230075	69	69	1	1	82	0.9892
148407605	69	69	1	1	76	1.0
170091028	69	69	1	1	77	1.0
60	68	68	1	1	76	1.0
3970212	68	68	0	1	74	1.0
18538517	68	68	1	1	75	1.0
167325221	68	68	1	1	77	1.0
10	67	67	1	1	75	1.0
6240315	67	67	1	1	73	0.7767
63523406	67	67	0	1	76	1.0
22186568	66	66	1	1	71	1.0
2048	65	65	1	1	74	1.0
3970214	65	65	1	1	78	1.0
15880859	65	65	1	1	78	1.0
24614750	65	65	1	1	69	1.0
52225172	65	65	1	1	67	1.0
99398985	65	65	0	1	73	1.0
4	64	64	1	1	75	1.0
11009348	63	63	1	1	64	0.5811
3970726	62	62	0	1	70	1.0
44029201	62	62	1	1	67	0.8675
159010894	62	62	0	1	74	1.0
22710856	61	61	0	1	69	1.0
993195	59	59	1	1	61	1.0
8906772	59	59	1	1	61	1.0
121185584	59	59	1	1	61	1.0
172630233	59	59	1	1	70	1.0
9	58	58	1	1	65	1.0
13	58	58	0	1	73	1.0
1429006	58	58	1	1	59	0.9067
63523438	58	58	0	1	69	1.0
72589511	58	58	1	1	63	1.0
100293968	58	58	0	1	71	1.0
106159481	58	58	0	1	64	1.0
123643714	58	58	1	1	65	1.0
128065556	58	58	1	1	63	1.0
193544756	58	58	0	1	63	1.0
3972782	57	57	1	1	61	1.0
15468603	57	57	1	1	65	0.9928
22710888	57	57	0	1	63	1.0
58105118	57	57	1	1	62	1.0
58964608	57	57	1	1	61	0.7442
76122229	57	57	0	1	60	1.0
248298	56	56	1	1	61	1.0
15882907	56	56	0	1	63	1.0
24808040	56	56	1	1	64	1.0
61907182	56	56	1	1	61	0.9929
357251	55	55	1	1	56	0.8986
3211506	55	55	1	1	67	1.0
22186728	55	55	0	1	66	1.0
24961260	55	55	1	1	58	0.7821
34557050	55	55	1	1	60	0.8313
42187392	55	55	1	1	63	0.9341
139615764	55	55	1	1	61	1.0
802876	54	54	1	1	64	1.0
1052688	54	54	1	1	59	1.0
63531630	54	54	0	1	61	1.0
126917989	54	54	1	1	61	1.0
3970222	53	53	1	1	57	1.0
4010472	53	53	1	1	63	0.9858
15891131	53	53	1	1	57	1.0
55042132	53	53	1	1	67	1.0
193552948	53	53	0	1	65	1.0
193585716	53	53	1	1	55	1.0
992555	52	52	1	1	54	1.0
3972774	52	52	1	1	65	1.0
10565661	52	52	1	1	54	1.0
22186600	52	52	1	1	64	1.0
24450900	52	52	1	1	59	1.0
30482056	52	52	1	1	54	0.9149
35714247	52	52	1	1	60	0.9924
39270459	52	52	1	1	54	0.5167
48736499	52	52	1	1	61	1.0
67031036	52	52	1	1	65	1.0
75112969	52	52	1	1	58	0.9881
80495930	52	52	1	1	57	1.0
96192842	52	52	1	1	59	1.0
16041890	51	51	1	1	60	0.9846
20586517	51	51	0	1	58	1.0
24808008	51	51	0	1	61	1.0
30909904	51	51	0	1	62	1.0
43504915	51	51	1	1	56	0.8769
48228158	51	51	1	1	53	1.0
2619716	50	50	1	1	61	0.9878
5716025	50	50	1	1	51	0.8548
15891099	50	50	1	1	64	1.0
34531586	50	50	1	1	61	1.0
57139284	50	50	1	1	54	1.0
70402183	50	50	1	1	52	1.0
3908684	49	49	1	1	51	1.0
10876228	49	49	1	1	52	0.6506
55042142	49	49	1	1	58	1.0
76089461	49	49	0	1	57	1.0
3970724	48	48	0	1	56	1.0
15880891	48	48	1	1	53	1.0
24614740	48	48	0	1	57	1.0
58629406	48	48	1	1	56	1.0
72475765	48	48	0	1	56	1.0
80661582	48	48	0	1	50	1.0
174745809	48	48	1	1	57	1.0
262400	47	47	1	1	56	1.0
10478867	47	47	1	1	58	0.9952
24483668	47	47	1	1	52	1.0
24808168	47	47	0	1	56	1.0
30613128	47	47	1	1	49	0.8429
44033299	47	47	1	1	54	1.0
87967570	47	47	1	1	52	1.0
106030197	47	47	1	1	56	1.0
148477049	47	47	1	1	53	1.0
159027266	47	47	1	1	53	1.0
5	46	46	1	1	55	1.0
15480891	46	46	1	1	50	0.9778
63564526	46	46	1	1	50	1.0
71967233	46	46	1	1	52	0.9444
125519178	46	46	1	1	50	1.0
148083833	46	46	0	1	50	1.0
8639262	45	45	1	1	49	0.8657
10474771	45	45	1	1	48	0.7288
12315196	45	45	0	1	49	1.0
15634739	45	45	1	1	47	1.0
22864100	45	45	1	1	45	0.7963
44037395	45	45	1	1	46	0.8491
98274629	45	45	1	1	48	1.0
199049524	45	45	0	1	48	0.0
8192	44	44	1	1	53	1.0
15882899	44	44	0	1	52	1.0
18868777	44	44	1	1	49	1.0
24450910	44	44	0	1	55	1.0
30727424	44	44	1	1	51	1.0
49260785	44	44	0	1	49	1.0
61923566	44	44	1	1	44	0.9848
62554263	44	44	1	1	50	0.8889
63564398	44	44	1	1	54	1.0
77733909	44	44	1	1	49	1.0
84207744	44	44	0	1	51	1.0
138268308	44	44	0	1	45	0.0
193552950	44	44	0	1	53	1.0
16	43	43	0	1	54	1.0
64	43	43	0	1	52	1.0
1049601	43	43	1	1	49	1.0
34903977	43	43	0	1	48	1.0
57139294	43	43	0	1	56	1.0
62538956	43	43	1	1	45	1.0
64164488	43	43	1	1	44	0.7778
75112449	43	43	1	1	46	0.7222
76253301	43	43	1	1	51	1.0
80879860	43	43	1	1	44	1.0
128065685	43	43	1	1	48	1.0
139615908	43	43	0	1	47	1.0
12	42	42	1	1	47	1.0
40	42	42	0	1	48	1.0
32896	42	42	0	1	47	1.0
7681856	42	42	1	1	50	1.0
55647880	42	42	1	1	48	0.6531
63523566	42	42	1	1	47	1.0
87642736	42	42	0	1	48	1.0
155556186	42	42	1	1	46	1.0
176482528	42	42	1	1	44	1.0
34	41	41	0	1	47	1.0
32800	41	41	0	1	47	1.0
1049600	41	41	1	1	50	1.0
21057595	41	41	1	1	43	1.0
33615505	41	41	1	1	43	1.0
42187394	41	41	1	1	44	0.9651
57974046	41	41	0	1	43	1.0
64809284	41	41	0	1	42	0.0
77915217	41	41	0	1	47	1.0
77917777	41	41	0	1	45	1.0
87652976	41	41	0	1	46	1.0
172681425	41	41	0	1	45	1.0
256	40	40	1	1	49	1.0
3158064	40	40	0	1	47	1.0
5443643	40	40	1	1	44	0.6154
6238267	40	40	1	1	44	0.6078
22711016	40	40	0	1	45	1.0
123639618	40	40	0	1	48	1.0
128851989	40	40	1	1	43	1.0
156404688	40	40	0	1	46	1.0
33	39	39	0	1	41	1.0
514	39	39	0	1	42	1.0
1024	39	39	1	1	46	1.0
263172	39	39	1	1	42	1.0
34555002	39	39	1	1	44	0.6667
44005202	39	39	1	1	44	0.6833
63531598	39	39	0	1	45	1.0
65527902	39	39	1	1	40	1.0
75162113	39	39	1	1	41	0.9818
125560138	39	39	0	1	45	1.0
147952761	39	39	0	1	45	1.0
374957462	39	39	1	1	40	1.0
200707	38	38	0	1	41	1.0
5453883	38	38	1	1	40	0.5962
19957821	38	38	1	1	46	1.0
55042134	38	38	1	1	43	1.0
55762131	38	38	0	1	40	1.0
57971198	38	38	0	1	41	1.0
61874414	38	38	1	1	40	1.0
65527892	38	38	1	1	44	1.0
67769217	38	38	1	1	40	1.0
71961248	38	38	0	1	39	1.0
75145737	38	38	1	1	42	0.0
83852341	38	38	1	1	40	1.0
97695966	38	38	0	1	46	1.0
148608121	38	38	1	1	44	1.0
5716155	37	37	1	1	38	0.7619
12182076	37	37	0	1	39	1.0
24614742	37	37	0	1	43	1.0
35515856	37	37	1	1	39	1.0
59957486	37	37	1	1	40	0.3958
65029000	37	37	1	1	39	1.0
78009937	37	37	1	1	43	1.0
84208512	37	37	1	1	42	1.0
85031536	37	37	1	1	39	1.0
97564884	37	37	1	1	43	1.0
97695958	37	37	1	1	37	1.0
14	36	36	0	1	42	1.0
131200	36	36	0	1	42	1.0
36762823	36	36	1	1	44	1.0
46102366	36	36	1	1	40	1.0
58964480	36	36	1	1	38	0.6939
85021296	36	36	1	1	39	1.0
85555824	36	36	0	1	43	1.0
150705273	36	36	0	1	38	1.0
174778577	36	36	0	1	41	1.0
175681186	36	36	0	1	42	1.0
47	35	35	0	1	40	1.0
2618692	35	35	1	1	38	0.4634
15548686	35	35	0	1	36	1.0
20219965	35	35	1	1	40	0.9623
35474896	35	35	1	1	40	1.0
43504913	35	35	1	1	38	0.0
50277060	35	35	1	1	36	1.0
62054638	35	35	1	1	37	0.4091
65527894	35	35	0	1	43	1.0
97398304	35	35	0	1	36	1.0
173581990	35	35	0	1	43	1.0
199051572	35	35	0	1	35	0.0
8224	34	34	0	1	36	1.0
4210752	34	34	0	1	35	1.0
7727732	34	34	0	1	39	1.0
8632896	34	34	1	1	42	0.9468
18014229	34	34	0	1	39	1.0
24483670	34	34	1	1	38	1.0
57139286	34	34	0	1	42	1.0
76089463	34	34	1	1	36	1.0
85545584	34	34	0	1	41	1.0
85547632	34	34	0	1	42	1.0
87419201	34	34	1	1	38	1.0
87804234	34	34	0	1	38	1.0
90559069	34	34	0	1	38	1.0
98947677	34	34	1	1	38	1.0
128057365	34	34	1	1	36	0.9767
173584038	34	34	0	1	39	1.0
2056	33	33	0	1	35	1.0
4096	33	33	0	1	41	1.0
62034	33	33	1	1	35	1.0
62042	33	33	0	1	35	1.0
8638750	33	33	1	1	35	0.7027
42187264	33	33	1	1	35	0.825
