cluster	n	frac_in	frac_sd_in	C1_out_med	C2_half	C3_union	C3_contigs	R1_rep_med	R1b_ge80	Z1_sizeflags	class
MCL0	101	0.557	0.035	508	57	4726	25	1.000	0.967	46	DISPERSED+SHARED+REPEAT
MCL15	10	0.293	0.000	189.000	198	1061	25	1.002	1.000	5	DISPERSED+SHARED+REPEAT
MCL4	29	0.996	0.225	128	119	360	24	0.222	0.014	12	DISPERSED+SHARED
MCL28	7	0.066	0.000	123	5	1736	25	1.000	1.000	3	DISPERSED+REPEAT
MCL20	9	0.923	1.000	47	47	50	10	0.190	0.000	0	DISPERSED+SHARED
MCL21	9	0.923	1.000	42	42	43	8	0.000	0.000	0	DISPERSED+SHARED
MCL11	11	1.000	1.000	38	48	48	9	0.474	0.000	3	DISPERSED+SHARED
MCL24	8	0.355	0.864	37.500	40	1549	25	1.000	1.000	4	DISPERSED+SHARED+REPEAT
MCL23	8	0.651	1.000	33.500	34	46	15	0.574	0.000	0	DISPERSED+SHARED
MCL13	10	1.000	1.000	32.500	33	33	7	0.464	0.000	1	DISPERSED+SHARED
MCL9	12	0.387	1.000	30.500	1	1947	25	0.495	0.000	3	DISPERSED
armA_clique	33	nan	0.067	27	0	567	25	1.000	0.867	10	DISPERSED+REPEAT
MCL40	5	1.000	1.000	23	23	25	14	0.526	0.000	1	GREY+SHARED
MCL3	36	0.960	1.000	22.000	22	33	2	0.000	0.000	1	GREY+SHARED
MCL41	5	0.207	1.000	18	2	297	25	0.379	0.000	1	GREY
MCL31	7	1.000	1.000	13	13	16	7	0.334	0.421	1	GREY+SHARED
MCL29	7	0.538	0.786	7	7	497	24	0.450	0.000	2	GREY
MCL30	7	0.314	1.000	7	5	19	1	0.303	0.000	4	GREY
MCL14	10	0.673	1.000	6.000	6	13	8	0.198	0.000	3	GREY
MCL16	10	0.232	0.760	4.500	0	242	25	0.206	0.000	1	LOCAL
MCL12	11	0.217	0.640	4	0	743	25	0.000	0.000	7	LOCAL
MCL7	14	0.675	1.000	3.000	1	152	24	0.419	0.056	5	LOCAL
MCL42	5	0.409	0.889	3	1	10	1	0.547	0.000	2	LOCAL
MCL44	5	0.643	1.000	3	0	89	21	0.224	0.000	2	LOCAL
MCL6	23	0.992	1.000	2	2	2	2	0.000	0.000	1	LOCAL
MCL36	6	0.556	1.000	1.000	1	1	1	0.304	0.000	0	LOCAL
MCL2	44	0.970	0.985	1.000	0	280	25	0.438	0.000	15	LOCAL
MCL5	24	0.947	0.965	1.000	0	438	25	0.287	0.000	11	LOCAL
MCL33	6	0.579	0.909	0.500	0	167	25	0.140	0.000	1	LOCAL
MCL1	48	0.977	1.000	0.000	0	34	2	0.000	0.000	4	LOCAL
MCL8	13	0.767	0.978	0	0	1041	25	0.000	0.000	3	LOCAL
MCL10	12	0.984	1.000	0.000	0	62	17	0.314	0.000	2	LOCAL
MCL17	10	0.842	1.000	0.000	0	6	2	0.331	0.000	5	LOCAL
MCL18	10	0.717	0.788	0.000	0	0	0	0.000	0.000	3	LOCAL
MCL19	10	0.938	1.000	0.000	0	5	3	0.461	0.000	0	LOCAL
MCL22	9	1.000	1.000	0	0	0	0	0.109	0.000	0	LOCAL
MCL25	8	1.000	0.565	0.000	0	0	0	0.000	0.000	1	LOCAL
MCL26	8	1.000	1.000	0.000	0	134	25	0.384	0.000	1	LOCAL
MCL27	8	0.966	1.000	0.000	0	0	0	0.208	0.000	1	LOCAL
MCL32	6	0.682	0.933	0.000	0	46	18	1.000	1.000	1	LOCAL+REPEAT
MCL34	6	0.917	1.000	0.000	0	52	17	0.380	0.000	5	LOCAL
MCL35	6	0.929	1.000	0.000	0	3	2	0.035	0.000	2	LOCAL
MCL37	6	1.000	0.667	0.000	0	0	0	0.000	0.000	0	LOCAL
MCL38	6	1.000	1.000	0.000	0	0	0	0.103	0.000	2	LOCAL
MCL39	5	0.171	0.833	0	0	120	20	0.000	0.000	3	LOCAL
MCL43	5	0.909	1.000	0	0	1	1	0.162	0.000	0	LOCAL
MCL45	5	0.875	1.000	0	0	2	2	0.378	0.000	2	LOCAL
