# generated 2026-09-22 by tools/audit_cleanup_candidates.py at dna-from-genome@f0dc0d33; read-only audit, nothing was moved
path	git_status	bytes	last_touched	class	confidence	superseded_by	n_anchor_citers	anchor_citers	ledger_sections	weak_citers	evidence
.cargo/config.toml	tracked	713	2026-04-22	PROTECTED	-		0				
.gitignore	tracked	4152	2026-09-20	PROTECTED	-		0				
Cargo.lock	tracked	29858	2026-09-20	PROTECTED	-		1	via tools/audit_cleanup_candidates.py		tools/audit_cleanup_candidates.py	
Cargo.toml	tracked	3442	2026-09-20	PROTECTED	-		7	docs/MODULE_STATUS.md;docs/NEGATIVE_RESULTS_REGISTER.md;docs/o1_ledger.md;memory:project_pipeline_performance.md	§6j1	bench/core_gate_gw.sh;bench/gw_threeway.sh;tools/audit_cleanup_candidates.py	named-beside-stale-language-by:memory:project_pipeline_performance.md
LICENSE	tracked	1637	2026-04-14	PROTECTED	-		0				
README.md	tracked	31584	2026-09-19	PROTECTED	-		0		§6q9	AGENTS.md;REPRODUCE.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:basename-ambiguous
docs/MEMORY_DIGEST.md	tracked	123173	2026-09-22	PROTECTED	-		5	docs/O3_STATUS.md;docs/OPEN_ITEMS_2026-09-09.md;docs/o1_ledger.md;memory:MEMORY.md	§6dr,§6i6,§6q8,§6q9b,⚠ 3. CORRECTIONS TO THE R	tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	named-beside-stale-language-by:docs/O3_STATUS.md;match:exact+glob-wide+suffix
docs/NEGATIVE_RESULTS_REGISTER.md	tracked	593575	2026-09-22	PROTECTED	-		18	README.md;docs/ACTIVE_WORKING_SET.md;docs/ADVISOR_QUESTIONS.md;docs/MEMORY_DIGEST.md	§6i6,§6iz,§6ky,§6q8,§6q9b,⚠ THE RECOVERED DENSITY R	REPRODUCE.md;bench/TBC1D3_GUITART_TRUTH_CORRECTION.md;bench/mcl_annotation.py;bench/o1_competitor_resolved.py	named-beside-stale-language-by:docs/MEMORY_DIGEST.md;match:exact+glob-wide+suffix
docs/PREREG_aligner_disagreement_2026-09-09.md	tracked	5054	2026-09-09	PROTECTED	-		0		§6i6,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:glob-wide
docs/PREREG_annotation_ablation_2026-09-07.md	tracked	4111	2026-09-07	PROTECTED	-		2	docs/PREREG_core_projection_2026-09-07.md;docs/o1_ledger.md	§6fu,§6i6,§6iz,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide+suffix
docs/PREREG_as_tied_only_2026-09-09.md	tracked	3824	2026-09-09	PROTECTED	-		2	docs/o1_ledger.md;src/bin/copy_assign.rs	§6gv,§6i6,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide+suffix
docs/PREREG_assembler_widening_2026-09-18.md	tracked	3443	2026-09-18	PROTECTED	-		4	docs/NEGATIVE_RESULTS_REGISTER.md;docs/o1_ledger.md;memory:project_assembler_widening.md;src/bin/copy_assign.rs	§6i6,§6m6,§6q8,§6q9b	bench/ASSEMBLER_WIDENING.md;docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
docs/PREREG_assembly_polish_2026-09-19.md	tracked	14325	2026-09-19	PROTECTED	-		3	docs/o1_ledger.md;memory:project_assembly_polish.md;src/bin/copy_assign.rs	§6i6,§6p8,§6p9,§6q0,§6q8,§6q9b	bench/ASSEMBLY_POLISH.md;bench/assembly_polish.py;docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py	match:exact+glob-wide
docs/PREREG_asymmetry_metric_2026-09-20.md	tracked	3341	2026-09-20	PROTECTED	-		2	docs/ASYMMETRY_METRIC_RESULT_2026-09-20.md;docs/NEGATIVE_RESULTS_REGISTER.md	§6i6,§6q8,§6q9b	bench/pair_metric_sweep.py;docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
docs/PREREG_best_by_duel_2026-09-09.md	tracked	4351	2026-09-09	PROTECTED	-		0		§6i6,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:glob-wide
docs/PREREG_best_by_psv_score_2026-09-09.md	tracked	5689	2026-09-09	PROTECTED	-		2	src/bin/copy_assign.rs;src/rustle/vg_family/copy_assign.rs	§6i6,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:glob-wide+suffix
docs/PREREG_boundary_outlier_2026-09-10.md	tracked	7061	2026-09-10	PROTECTED	-		0		§6i6,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:glob-wide
docs/PREREG_chained_jaccard_2026-09-20.md	tracked	3491	2026-09-20	PROTECTED	-		2	docs/CHAINED_JACCARD_RESULT_2026-09-20.md;docs/NEGATIVE_RESULTS_REGISTER.md	§6i6,§6q8,§6q9b	bench/chained_pair_score.py;docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
docs/PREREG_chimera_policy_2026-09-18.md	tracked	7050	2026-09-18	PROTECTED	-		2	docs/NEGATIVE_RESULTS_REGISTER.md;docs/o1_ledger.md	§6i6,§6m2,§6q8,§6q9b	bench/CHIMERA_POLICY.md;docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
docs/PREREG_closure_definition_2026-09-07.md	tracked	6522	2026-09-07	PROTECTED	-		1	docs/o1_ledger.md	§6fy,§6i6,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
docs/PREREG_colinearity_conjunct_2026-09-21.md	tracked	7352	2026-09-22	PROTECTED	-		2	docs/MEMORY_DIGEST.md;docs/NEGATIVE_RESULTS_REGISTER.md	§6i6,§6q8,§6q9b	bench/colinearity_conjunct.py;docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
docs/PREREG_containment_poset_2026-09-22.md	tracked	9007	2026-09-22	PROTECTED	-		1	docs/NEGATIVE_RESULTS_REGISTER.md	§6i6,§6q8,§6q9b	bench/edge_probes.py;docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
docs/PREREG_core_definition_2026-09-12.md	tracked	131462	2026-09-16	PROTECTED	-		5	docs/MEMORY_DIGEST.md;docs/PREREG_junction_fuzz_2026-09-15.md;docs/o1_ledger.md;src/rustle/vg_family/denovo_pipeline.rs	§6jv,§6jw,§6jx,§6ks,§6q8,§6q9b	bench/TBC1D3_GUITART_TRUTH_CORRECTION.md;docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;docs/superpowers/plans/2026-09-16-gtf-refine-and-dedup-fix.md;docs/superpowers/specs/2026-09-14-evidence-agnostic-family-definition-design.md	match:exact+glob-wide
docs/PREREG_core_projection_2026-09-07.md	tracked	5758	2026-09-07	PROTECTED	-		1	docs/o1_ledger.md	§6fu,§6i6,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
docs/PREREG_corroborated_union_rep_2026-09-22.md	tracked	3322	2026-09-22	PROTECTED	-		1	docs/NEGATIVE_RESULTS_REGISTER.md	§6i6,§6q8,§6q9b	docs/superpowers/plans/2026-09-15-fuzzy-junction-merge.md;tools/audit_cleanup_candidates.py;tools/cleanup_wave2_bench.py	match:exact+glob-wide
