tag	NPIP	MCL1	MCL3	MCL4	NPIP||LCR16u	L1blob	Soto_det	Soto_bandP	Soto_Rboth	Soto_fam
bp100	1.00	1.00	1.00	1.00	yes	0.62	0.7983	0.9432	0.9485	52/69
bp1000	0.98	0.94	0.67	1.00	yes	0.67	0.7735	0.9435	0.9504	49/66
bp200	1.00	1.00	1.00	1.00	yes	0.62	0.7983	0.9432	0.9485	52/69
bp2000	0.95	1.00	1.00	0.93	yes	0.70	0.7735	0.9450	0.9474	51/66
bp500	1.00	1.00	1.00	1.00	yes	0.63	0.7956	0.9431	0.9484	51/68
cov0.10	1.00	1.00	1.00	1.00	yes	0.62	0.7956	0.9431	0.9527	52/69
cov0.20	1.00	1.00	1.00	1.00	yes	0.62	0.7983	0.9432	0.9514	52/69
cov0.40	1.00	0.98	1.00	1.00	yes	0.64	0.7983	0.9432	0.9485	54/69
cov0.50	1.00	0.98	1.00	1.00	yes	0.64	0.7956	0.9427	0.9482	54/69
cov0.60	1.00	0.98	1.00	1.00	yes	0.63	0.7818	0.9491	0.9577	54/68
default	1.00	1.00	1.00	1.00	yes	0.62	0.7983	0.9432	0.9485	52/69
id0.60	1.00	1.00	1.00	1.00	yes	0.62	0.7983	0.9447	0.9485	52/69
id0.65	1.00	1.00	1.00	1.00	yes	0.62	0.7983	0.9447	0.9485	52/69
id0.75	1.00	1.00	1.00	1.00	yes	0.62	0.7983	0.9432	0.9485	52/69
id0.80	1.00	1.00	1.00	1.00	yes	0.62	0.7983	0.9432	0.9485	51/69
id0.85	1.00	1.00	1.00	0.97	yes	0.66	0.8011	0.9482	0.9248	53/69
id0.90	1.00	0.98	1.00	0.76	yes	0.70	0.7873	0.9524	0.8553	55/69
