fam	n_copies	origin_rejected	rejected_primary_outside	admitted
fam_MCL106_073242	3	119	0	0
fam_MCL110_073244	2	100	3	1
fam_MCL111_073244	2	126	107	2
fam_MCL117_073244	3	14	1	0
fam_MCL120_073244	2	728	533	4
fam_MCL121_073244	2	63	0	0
fam_MCL122_073244	2	4	0	0
fam_MCL124_073244	3	156	0	0
fam_MCL141_073241	2	214	0	0
fam_MCL145_073241	2	261	0	0
fam_MCL14_073242	3	24	7	1
fam_MCL15_073242	3	0	0	0
fam_MCL171_073242	2	90	1	0
fam_MCL179_073242	2	2	0	0
fam_MCL182_073242	2	78	0	0
fam_MCL186_073242	2	367	0	0
fam_MCL189_073242	2	108	0	0
fam_MCL1_073242	22	1008	398	4
fam_MCL20_073242	4	184	0	0
fam_MCL212_073242	2	95	0	0
fam_MCL213_073242	2	340	0	0
fam_MCL217_073244	2	1	0	0
fam_MCL21_073242	6	661	152	2
fam_MCL226_073244	2	289	2	0
fam_MCL22_073242	4	4	0	0
fam_MCL230_073244	2	258	0	0
fam_MCL235_073244	2	59	0	0
fam_MCL236_073244	2	55	9	1
fam_MCL241_073244	2	314	0	0
fam_MCL247_073244	2	24	0	0
fam_MCL24_073244	3	13	0	0
fam_MCL252_073244	2	50	0	0
fam_MCL253_073244	2	7	0	0
fam_MCL256_073244	2	0	0	0
fam_MCL273_073244	2	38	0	0
fam_MCL27_073242	6	403	138	4
fam_MCL29_073242	5	311	13	1
fam_MCL2_073244	2	0	0	0
fam_MCL30_073244	3	1525	104	3
fam_MCL32_073242	3	23	0	0
fam_MCL34_073242	3	0	0	0
fam_MCL36_073244	3	10	0	0
fam_MCL37_073244	5	231	79	2
fam_MCL3_073241	2	149	0	0
fam_MCL3_073242	10	1114	0	0
fam_MCL3_073244	3	124	0	0
fam_MCL40_073242	3	377	17	1
fam_MCL42_073242	3	69	0	0
fam_MCL43_073244	5	164	33	2
fam_MCL44_073244	4	513	102	1
fam_MCL4_073244	15	1243	519	2
fam_MCL51_073242	4	152	0	0
fam_MCL54_073242	4	316	229	4
fam_MCL58_073242	3	58	1	0
fam_MCL61_073242	2	13	0	0
fam_MCL65_073244	2	1798	571	8
fam_MCL67_073242	2	13	0	0
fam_MCL68_073242	3	3	0	0
fam_MCL69_073244	2	9	0	0
fam_MCL6_073244	7	2054	88	2
fam_MCL71_073244	2	9	0	0
fam_MCL75_073241	2	1	0	0
fam_MCL7_073242	11	1436	430	6
fam_MCL83_073242	2	17	0	0
fam_MCL86_073242	3	349	0	0
fam_MCL87_073242	2	176	0	0
fam_MCL88_073242	3	388	9	1
fam_MCL89_073242	2	0	0	0
fam_MCL8_073244	3	10	0	0
fam_MCL90_073242	2	4	0	0
fam_MCL94_073242	2	218	0	0
fam_MCL95_073242	3	451	0	0
fam_MCL96_073242	3	307	2	0
fam_MCL9_073244	9	2292	577	9
