fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL106_073242	3	exit=0	249	243	4	2	132	131	131	117	112	0.47	257	0
fam_MCL108_073242	3	exit=0	14960	14224	726	10	14959	14224	14224	1	0	11.51	879	3
fam_MCL110_073244	2	exit=0	329	320	9	0	329	320	320	0	0	0.77	159	0
fam_MCL111_073244	2	exit=0	91	78	12	1	91	78	78	0	0	2.17	221	0
fam_MCL115_073244	2	exit=0	14	12	2	0	14	12	6	0	0	7.51	273	2
fam_MCL117_073244	3	exit=0	26	2	2	22	20	1	1	6	1	0.44	159	0
fam_MCL120_073244	2	exit=0	570	562	2	6	570	562	562	0	0	1.26	159	0
fam_MCL121_073244	2	exit=0	931	893	38	0	930	893	893	1	0	0.74	159	0
fam_MCL122_073244	3	exit=0	7	3	4	0	7	3	3	0	0	0.23	159	2
fam_MCL124_073244	3	exit=0	468	432	7	29	468	432	432	0	0	1.01	161	0
fam_MCL141_073241	2	exit=0	1800	1671	129	0	1795	1670	1670	5	1	26.28	2703	0
fam_MCL145_073241	2	exit=0	213	201	12	0	213	201	201	0	0	0.45	227	2
fam_MCL147_073241	2	exit=0	22	15	7	0	22	15	13	0	0	0.27	227	2
fam_MCL14_073242	3	exit=0	31	6	4	21	20	3	3	11	3	0.48	257	2
fam_MCL150_073241	2	exit=0	844	767	77	0	844	767	767	0	0	0.85	227	2
fam_MCL155_073241	2	exit=0	1560	1472	73	15	1560	1472	1462	0	0	2.13	227	0
fam_MCL158_073241	2	exit=0	950	787	163	0	950	787	787	0	0	0.61	227	2
fam_MCL15_073242	3	exit=0	3	3	0	0	1	1	1	2	2	0.99	340	3
fam_MCL163_073241	2	exit=0	114	24	90	0	114	24	24	0	0	0.32	227	2
fam_MCL170_073242	2	exit=0	1379	1319	60	0	1379	1319	1319	0	0	0.46	257	2
fam_MCL171_073242	2	exit=0	466	294	34	138	434	266	256	32	28	0.64	257	2
fam_MCL174_073242	2	exit=0	254	223	31	0	254	223	223	0	0	0.3	257	2
fam_MCL179_073242	2	exit=0	2	1	0	1	2	1	1	0	0	0.36	257	0
fam_MCL182_073242	2	exit=0	587	13	28	546	119	5	5	468	8	0.49	257	2
fam_MCL186_073242	2	exit=0	1346	1248	98	0	2	1	1	1344	1247	0.7	257	2
