fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL117_073244	3	exit=0	23	13	8	2	17	13	13	6	0	0.51	159	0
fam_MCL122_073244	3	exit=0	6	1	1	4	6	1	1	0	0	0.26	159	2
fam_MCL124_073244	3	exit=0	440	0	440	0	440	0	0	0	0	1.32	160	0
fam_MCL15_073242	3	exit=0	3	3	0	0	1	1	1	2	2	1.02	340	3
fam_MCL1_073242	22	exit=0	943	175	247	521	510	144	143	433	31	28.22	1652	1
fam_MCL226_073244	2	exit=0	638	270	196	172	637	270	270	1	0	1.78	159	0
fam_MCL22_073242	4	exit=0	80	6	72	2	78	4	4	2	2	0.67	257	2
fam_MCL235_073244	2	exit=0	106	0	105	1	106	0	0	0	0	1.18	316	0
fam_MCL236_073244	2	exit=0	48	0	48	0	48	0	0	0	0	0.82	176	0
fam_MCL24_073244	4	exit=0	34	0	33	1	33	0	0	1	0	0.28	159	0
fam_MCL2_073244	2	exit=0	3	2	1	0	3	2	2	0	0	0.3	159	0
fam_MCL32_073242	3	exit=0	109	0	109	0	109	0	0	0	0	0.33	257	0
fam_MCL34_073242	3	exit=0	19	18	1	0	15	14	14	4	4	0.25	257	0
fam_MCL36_073244	3	exit=0	32	12	15	5	32	12	12	0	0	0.31	159	2
fam_MCL37_073244	5	exit=0	533	13	500	20	533	13	13	0	0	7.39	224	0
fam_MCL42_073242	3	exit=0	374	120	197	57	374	120	120	0	0	0.67	257	0
fam_MCL43_073244	5	exit=0	686	109	528	49	686	109	109	0	0	4.46	278	0
fam_MCL44_073244	4	exit=0	683	6	618	59	610	2	2	73	4	1.05	159	2
fam_MCL4_073244	15	exit=0	1563	20	1531	12	1563	20	20	0	0	21.06	1991	0
fam_MCL51_073242	4	exit=0	375	135	188	52	359	126	113	16	9	3.85	522	0
fam_MCL54_073242	4	exit=0	737	280	407	50	559	172	172	178	108	2.36	337	3
fam_MCL58_073242	3	exit=0	378	16	335	27	320	2	2	58	14	0.75	257	2
fam_MCL65_073244	3	exit=0	84	0	84	0	84	0	0	0	0	15.01	537	0
fam_MCL67_073242	2	exit=0	183	170	0	13	183	170	170	0	0	0.39	257	0
fam_MCL68_073242	4	exit=0	7	0	4	3	7	0	0	0	0	0.27	257	0
fam_MCL6_073244	9	exit=0	1333	7	1084	242	1333	7	6	0	0	25.19	1275	0
fam_MCL71_073244	2	exit=0	10	0	10	0	10	0	0	0	0	0.19	159	1
fam_MCL7_073242	11	exit=0	654	146	243	265	580	142	141	74	4	4.64	798	5
fam_MCL86_073242	3	exit=0	920	539	34	347	899	536	535	21	3	1.83	427	0
fam_MCL87_073242	2	exit=0	1018	831	11	176	1010	824	824	8	7	1.5	257	0
fam_MCL88_073242	3	exit=0	2351	1981	11	359	2337	1976	1972	14	5	4.46	343	3
fam_MCL89_073242	2	exit=0	7	0	7	0	7	0	0	0	0	0.45	256	2
fam_MCL8_073244	3	exit=0	10	0	2	8	10	0	0	0	0	0.53	220	0
fam_MCL94_073242	2	exit=0	1054	569	391	94	1051	566	566	3	3	1.8	257	0
fam_MCL96_073242	3	exit=0	954	1	651	302	888	1	1	66	0	1.2	257	3
