fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL106_073242	3	exit=0	246	125	1	120	131	50	50	115	75	0.72	257	0
fam_MCL110_073244	2	exit=0	316	0	316	0	316	0	0	0	0	0.62	159	0
fam_MCL111_073244	2	exit=0	66	0	66	0	66	0	0	0	0	4.07	177	0
fam_MCL117_073244	3	exit=0	23	13	7	3	17	13	13	6	0	0.51	159	0
fam_MCL120_073244	2	exit=0	547	0	547	0	547	0	0	0	0	1.73	159	0
fam_MCL121_073244	2	exit=0	878	0	878	0	878	0	0	0	0	0.6	159	0
fam_MCL122_073244	2	exit=0	6	1	1	4	6	1	1	0	0	0.24	159	1
fam_MCL124_073244	3	exit=0	440	0	440	0	440	0	0	0	0	1.27	161	0
fam_MCL141_073241	2	exit=0	766	0	766	0	765	0	0	1	0	5.41	1457	0
fam_MCL145_073241	2	exit=0	202	0	202	0	202	0	0	0	0	0.6	227	2
fam_MCL14_073242	3	exit=0	28	4	12	12	18	3	3	10	1	0.55	257	2
fam_MCL15_073242	3	exit=0	3	2	0	1	1	0	0	2	2	1.06	340	3
fam_MCL171_073242	2	exit=0	435	0	435	0	422	0	0	13	0	0.69	257	2
fam_MCL179_073242	2	exit=0	2	0	0	2	2	0	0	0	0	0.35	257	0
fam_MCL182_073242	2	exit=0	551	388	5	158	105	86	86	446	302	0.63	257	2
fam_MCL186_073242	2	exit=0	1328	872	74	382	1	0	0	1327	872	1.61	257	2
fam_MCL189_073242	2	exit=0	555	0	555	0	555	0	0	0	0	0.9	257	0
fam_MCL1_073242	22	exit=0	943	316	165	462	510	201	201	433	115	30.54	1669	1
fam_MCL20_073242	4	exit=0	1058	0	1058	0	1058	0	0	0	0	0.99	257	0
fam_MCL212_073242	2	exit=0	836	39	742	55	836	39	39	0	0	1.18	257	2
fam_MCL213_073242	2	exit=0	2037	1682	17	338	2037	1682	1682	0	0	2.05	257	0
fam_MCL217_073244	2	exit=0	1	0	0	1	1	0	0	0	0	0.21	159	2
fam_MCL21_073242	6	exit=0	430	98	306	26	340	41	40	90	57	1.97	374	6
fam_MCL226_073244	2	exit=0	638	270	196	172	637	270	270	1	0	1.91	159	0
fam_MCL22_073242	4	exit=0	80	6	73	1	78	4	4	2	2	0.7	257	2
fam_MCL230_073244	2	exit=0	495	4	485	6	495	4	4	0	0	0.66	159	0
fam_MCL235_073244	2	exit=0	106	0	105	1	106	0	0	0	0	1.26	316	0
fam_MCL236_073244	2	exit=0	48	0	48	0	48	0	0	0	0	0.85	176	0
fam_MCL241_073244	2	exit=0	955	531	45	379	955	531	531	0	0	3.63	159	0
fam_MCL247_073244	2	exit=0	130	27	96	7	130	27	27	0	0	0.47	159	0
fam_MCL24_073244	3	exit=0	34	0	33	1	33	0	0	1	0	0.32	159	0
fam_MCL252_073244	2	exit=0	196	0	196	0	196	0	0	0	0	0.32	159	2
fam_MCL253_073244	2	exit=0	19	10	5	4	19	10	10	0	0	0.33	159	0
fam_MCL256_073244	2	exit=0	3	0	3	0	3	0	0	0	0	0.35	159	0
fam_MCL273_073244	2	exit=0	222	106	93	23	222	106	106	0	0	0.56	159	0
fam_MCL27_073242	6	exit=0	393	129	12	252	294	109	109	99	20	2.37	367	5
fam_MCL29_073242	5	exit=0	1824	181	1616	27	1752	117	117	72	64	2.42	332	0
fam_MCL2_073244	2	exit=0	3	2	1	0	3	2	2	0	0	0.31	159	0
fam_MCL30_073244	3	exit=0	463	0	463	0	463	0	0	0	0	13.38	677	0
fam_MCL32_073242	3	exit=0	109	0	109	0	109	0	0	0	0	0.31	257	0
fam_MCL34_073242	3	exit=0	19	18	1	0	15	14	14	4	4	0.23	257	0
fam_MCL36_073244	3	exit=0	32	11	15	6	32	11	11	0	0	0.3	159	2
fam_MCL37_073244	5	exit=0	533	13	502	18	533	13	13	0	0	5.45	225	0
fam_MCL3_073241	2	exit=0	2	0	1	1	2	0	0	0	0	0.65	227	2
fam_MCL3_073242	10	exit=0	121	4	37	80	83	1	1	38	3	6.39	398	5
fam_MCL3_073244	3	exit=0	151	1	135	15	150	1	1	1	0	1.04	159	0
fam_MCL40_073242	3	exit=0	3761	0	3727	34	3697	0	0	64	0	2.24	257	3
fam_MCL42_073242	3	exit=0	374	118	197	59	374	118	118	0	0	0.72	257	0
fam_MCL43_073244	5	exit=0	686	106	530	50	686	106	106	0	0	4.44	278	0
fam_MCL44_073244	4	exit=0	683	1	620	62	610	1	1	73	0	1.05	159	2
