fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL117_073244	3	exit=0	23	13	7	3	17	13	13	6	0	0.45	159	0
fam_MCL122_073244	2	exit=0	6	1	1	4	6	1	1	0	0	0.23	159	1
fam_MCL124_073244	3	exit=0	440	0	440	0	440	0	0	0	0	1.26	161	0
fam_MCL15_073242	3	exit=0	3	2	0	1	1	0	0	2	2	0.96	340	3
fam_MCL1_073242	22	exit=0	943	316	165	462	510	201	201	433	115	28.63	1655	1
fam_MCL226_073244	2	exit=0	638	270	196	172	637	270	270	1	0	1.79	159	0
fam_MCL22_073242	4	exit=0	80	6	73	1	78	4	4	2	2	0.67	257	2
fam_MCL235_073244	2	exit=0	106	0	105	1	106	0	0	0	0	1.13	316	0
fam_MCL236_073244	2	exit=0	48	0	48	0	48	0	0	0	0	0.82	176	0
fam_MCL24_073244	3	exit=0	34	0	33	1	33	0	0	1	0	0.3	159	0
fam_MCL2_073244	2	exit=0	3	2	1	0	3	2	2	0	0	0.3	159	0
fam_MCL32_073242	3	exit=0	109	0	109	0	109	0	0	0	0	0.33	257	0
fam_MCL34_073242	3	exit=0	19	18	1	0	15	14	14	4	4	0.24	257	0
fam_MCL36_073244	3	exit=0	32	11	15	6	32	11	11	0	0	0.31	159	2
fam_MCL37_073244	5	exit=0	533	13	502	18	533	13	13	0	0	5.53	222	0
fam_MCL42_073242	3	exit=0	374	118	197	59	374	118	118	0	0	0.68	257	0
fam_MCL43_073244	5	exit=0	686	106	530	50	686	106	106	0	0	4.44	278	0
fam_MCL44_073244	4	exit=0	683	1	620	62	610	1	1	73	0	1.08	159	2
fam_MCL4_073244	15	exit=0	1563	19	1531	13	1563	19	19	0	0	22.42	2001	0
fam_MCL51_073242	4	exit=0	375	44	185	146	359	43	43	16	1	2.02	519	0
fam_MCL54_073242	4	exit=0	737	232	383	122	559	155	155	178	77	2.42	337	3
fam_MCL58_073242	3	exit=0	378	12	335	31	320	0	0	58	12	0.75	257	2
fam_MCL65_073244	2	exit=0	84	0	84	0	84	0	0	0	0	14.17	533	0
fam_MCL67_073242	2	exit=0	183	170	0	13	183	170	170	0	0	0.4	257	0
fam_MCL68_073242	3	exit=0	7	2	2	3	7	2	2	0	0	0.28	257	0
fam_MCL6_073244	7	exit=0	1333	8	1296	29	1333	8	8	0	0	20.04	1273	0
fam_MCL71_073244	2	exit=0	10	0	10	0	10	0	0	0	0	0.19	159	1
fam_MCL7_073242	11	exit=0	654	42	163	449	580	40	39	74	2	4.67	800	5
fam_MCL86_073242	3	exit=0	920	512	25	383	899	510	510	21	2	1.82	427	0
fam_MCL87_073242	2	exit=0	1018	831	12	175	1010	824	824	8	7	3.54	257	0
fam_MCL88_073242	3	exit=0	2351	1944	5	402	2337	1939	1935	14	5	4.72	343	3
fam_MCL89_073242	2	exit=0	7	0	7	0	7	0	0	0	0	0.44	257	2
fam_MCL8_073244	3	exit=0	10	0	2	8	10	0	0	0	0	0.5	220	0
fam_MCL94_073242	2	exit=0	1054	567	391	96	1051	564	564	3	3	1.61	257	0
fam_MCL96_073242	3	exit=0	954	1	110	843	888	1	1	66	0	1.24	257	3
