Node,Colour
L~chr16_11963287_12012756,#34a853
L~chr16_14740933_14763869,#34a853
L~chr16_14934456_14953124,#34a853
L~chr16_15368405_15407001,#34a853
L~chr16_16340280_16359022,#34a853
L~chr16_16387394_16406190,#34a853
L~chr16_18325161_18343979,#34a853
L~chr16_18372353_18391116,#34a853
L~chr16_21337399_21374021,#34a853
L~chr16_21680685_21717295,#4285f4
L~chr16_22345950_22382381,#34a853
L~chr16_22777929_22814315,#34a853
L~chr16_28623008_28660222,#34a853
L~chr16_28736989_28778611,#34a853
L~chr16_28923836_28939457,#34a853
L~chr16_29016080_29053457,#34a853
L~chr16_29316313_29333933,#4285f4
L~chr16_29663331_29699434,#34a853
L~chr16_29765317_29801471,#34a853
L~chr16_30507414_30543635,#4285f4
L~chr16_30609373_30645605,#34a853
L~chr16_75785926_75819336,#4285f4
L~chr16_80192449_80209904,#34a853
L~chr16_80306831_80324279,#4285f4
L~chr16_80421197_80438610,#4285f4
L~chr18_11781586_11806247,#4285f4
