family	ref	mem	coh_fwd	inv_frac	rep_hits	shuffle	n_blocks
RCF_32	FUT3	FUT5	0.39	0.0	0.0	0.0	1
RCF_33	KRT8	LOC101132703	0.937	0.0	0.0	0.0	1
RCF_33	KRT8	LOC101132977	0.885	0.0	0.0	0.0	1
RCF_34	LOC101134978	LOC109026312	1.0	0.0	0.0	0.0	1
RCF_35	LOC109027640	FDPS	0.676	0.0	0.0	0.0	1
RCF_36	LOC101127437	GBA1	0.709	0.0	0.0	0.0	1
RCF_37	LOC109027152	RPS27	0.779	0.0	0.0	0.0	1
RCF_38	LOC101137046	LOC101137406	0.9	0.0	0.0	0.0	1
RCF_39	LOC101127305	LOC101128279	0.923	0.0	0.0	0.0	1
RCF_39	LOC101127305	LOC101129227	0.946	0.0	0.0	0.0	1
RCF_39	LOC101127305	LOC101130182	0.844	0.0	0.0	0.0	1
RCF_16	LOC101130441	LEFTY2	0.848	0.0	0.0	0.0	1
RCF_17	LOC101132116	LOC101140048	0.619	0.0	0.0	0.0	1
RCF_18	STK39	LOC115936007	1.0	0.0	0.0	0.0	1
RCF_19	UGT2B17	UGT2B15	0.717	0.0	0.0	0.0	1
RCF_20	ZC3H11A	LOC115936187	0.948	0.0	0.0	0.0	1
RCF_20	ZC3H11A	LOC129534073	0.949	0.0	0.0	0.0	1
RCF_20	ZC3H11A	LOC129534074	0.959	0.0	0.0	0.0	1
RCF_20	ZC3H11A	LOC129534219	0.896	0.0	0.0	0.0	1
RCF_20	ZC3H11A	ZC3H11C	0.891	0.0	0.0	0.0	1
RCF_21	CFHR5	LOC101131400	0.415	0.0	0.0	0.0	1
RCF_21	CFHR5	LOC115935403	0.0	0.0	0.0	0.0	0
RCF_22	KRT18	LOC101126813	0.981	0.0	0.0	0.0	1
RCF_23	PTP4A1	LOC101126219	0.741	0.0	0.0	0.0	1
RCF_24	LOC115931927	LOC101143893	1.0	0.0	0.0	0.0	1
RCF_25	LOC101128488	LOC101146186	0.924	0.0	0.0	0.0	1
RCF_26	LOC101142804	RPS2	0.638	0.0	0.0	0.0	1
RCF_27	LOC101129839	LOC101140424	0.986	0.0	0.0	0.0	1
RCF_28	ITLN2	LOC101146454	0.575	0.0	0.0	0.0	1
RCF_28	ITLN2	LOC115930226	0.552	0.0	0.0	0.0	1
RCF_29	LOC115934041	LOC129529606	0.0	0.0	0.0	0.0	0
RCF_30	LOC129525550	LOC115936058	0.863	0.0	0.053	1.0	1
RCF_30	LOC129525550	LOC129524559	0.442	0.0	0.0	0.0	1
RCF_30	LOC129525550	LOC129524726	0.97	0.0	0.149	1.0	1
RCF_30	LOC129525550	LOC129527151	1.0	0.0	0.0	0.0	1
RCF_30	LOC129525550	LOC129528280	0.856	0.0	0.0	0.0	1
RCF_30	LOC129525550	LOC129534573	0.856	0.0	0.0	0.0	1
RCF_30	LOC129525550	LOC134757253	0.922	0.0	0.0	0.0	1
RCF_30	LOC129525550	LOC134757796	0.869	0.0	0.0	1.0	2
RCF_31	ZNF585A	ZNF585B	0.446	0.0	0.0	0.0	1
RCF_40	LOC115934023	LCE1B	0.467	0.0	0.0	0.0	1
RCF_40	LOC115934023	LOC101154124	0.571	0.0	0.0	0.0	1
RCF_40	LOC115934023	LOC109029323	0.595	0.0	0.0	0.0	1
RCF_41	LOC101151968	LOC101151609	1.0	0.0	0.0	0.0	1
RCF_42	LCE3D	LOC101149788	1.0	0.0	0.0	0.0	1
RCF_43	PIP5K1A	LOC101149662	0.571	0.0	0.0	0.0	1
RCF_43	PIP5K1A	LOC115935026	0.998	0.0	0.0	0.0	1
RCF_44	LOC129529220	LOC101144369	0.214	0.0	0.0	0.0	1
RCF_45	LOC129530552	FRG1	0.709	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC101142904	0.997	0.0	0.0	0.0	2
RCF_45	LOC129530552	LOC129524675	0.69	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129526395	0.549	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129526409	0.113	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129526550	0.27	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129527278	0.211	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129528236	0.614	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129529294	0.84	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129529430	0.15	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129529434	1.0	0.0	0.0	0.0	1
RCF_45	LOC129530552	LOC129532222	0.124	0.0	0.0	0.0	1
RCF_46	LOC101152321	LOC101153414	1.0	0.0	0.0	0.0	1
RCF_47	ZNF776	LOC129525787	0.0	0.0	0.0	0.0	0
RCF_47	ZNF776	ZNF586	0.823	0.0	0.0	0.0	1
RCF_56	LOC101140560	CD160	0.675	0.0	0.0	0.0	1
RCF_57	SLC9A3	LOC115933183	0.864	0.0	0.0	0.0	1
RCF_58	LOC101153289	LOC101124387	0.485	0.0	0.0	0.0	1
RCF_58	LOC101153289	LOC101139366	0.43	0.0	0.0	0.0	1
RCF_58	LOC101153289	LOC101152412	0.928	0.0	0.0	0.0	1
RCF_58	LOC101153289	LOC115932777	0.665	0.0	0.0	0.0	1
RCF_58	LOC101153289	PPIA	0.557	0.0	0.0	0.0	1
RCF_58	LOC101153289	PPIAL4H	0.684	0.0	0.0	0.0	1
