case	locus_id	path	path_status
NBPF_core	L~chr1_108256107_108352036	RB~NBPF_core~17:RNA@24,RB~NBPF_core~19:RNA@27,DB~NBPF_core~48:DNA@43,RB~NBPF_core~18:RNA@43,RB~NBPF_core~20:RNA@1207,DB~NBPF_core~47:DNA@74477,DB~NBPF_core~49:DNA@82792	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_108483676_108505296	DB~NBPF_core~47:DNA@0,RB~NBPF_core~17:RNA@0,RB~NBPF_core~22:RNA@3,DB~NBPF_core~50:DNA@19,RB~NBPF_core~21:RNA@19,RB~NBPF_core~23:RNA@1183,DB~NBPF_core~51:DNA@8327	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_119846928_119858001	DB~NBPF_core~41:DNA@0,DB~NBPF_core~48:DNA@0,DB~NBPF_core~50:DNA@0,DB~NBPF_core~54:DNA@0,DB~NBPF_core~57:DNA@0,RB~NBPF_core~18:RNA@0,RB~NBPF_core~21:RNA@0,DB~NBPF_core~25:DNA@174,DB~NBPF_core~52:DNA@174,DB~NBPF_core~53:DNA@174,DB~NBPF_core~55:DNA@174,DB~NBPF_core~56:DNA@174,RB~NBPF_core~24:RNA@1222	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_120818528_120841268	DB~NBPF_core~26:DNA@0,DB~NBPF_core~58:DNA@0,DB~NBPF_core~61:DNA@0,DB~NBPF_core~62:DNA@0,RB~NBPF_core~25:RNA@0,RB~NBPF_core~27:RNA@0,RB~NBPF_core~28:RNA@0,RB~NBPF_core~6:RNA@0,RB~NBPF_core~11:RNA@983,RB~NBPF_core~26:RNA@984,RB~NBPF_core~29:RNA@986,DB~NBPF_core~52:DNA@6520,DB~NBPF_core~60:DNA@6520,DB~NBPF_core~64:DNA@6520,DB~NBPF_core~66:DNA@11650,DB~NBPF_core~59:DNA@17873,DB~NBPF_core~16:DNA@18067,DB~NBPF_core~63:DNA@18229,DB~NBPF_core~65:DNA@19242,DB~NBPF_core~4:DNA@20547	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_144475892_144478091	DB~NBPF_core~0:DNA@0,DB~NBPF_core~1:DNA@0,DB~NBPF_core~10:DNA@0,DB~NBPF_core~11:DNA@0,DB~NBPF_core~12:DNA@0,DB~NBPF_core~2:DNA@0,DB~NBPF_core~4:DNA@0,DB~NBPF_core~5:DNA@0,DB~NBPF_core~6:DNA@0,DB~NBPF_core~7:DNA@0,DB~NBPF_core~8:DNA@0,DB~NBPF_core~9:DNA@0,DB~NBPF_core~3:DNA@18	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_144498118_144521381	DB~NBPF_core~70:DNA@176,RB~NBPF_core~32:RNA@176,DB~NBPF_core~27:DNA@194,DB~NBPF_core~69:DNA@194,RB~NBPF_core~31:RNA@194,RB~NBPF_core~7:RNA@194,DB~NBPF_core~58:DNA@489,RB~NBPF_core~25:RNA@489,RB~NBPF_core~12:RNA@1472,RB~NBPF_core~30:RNA@1473,RB~NBPF_core~33:RNA@1475,DB~NBPF_core~53:DNA@7020,DB~NBPF_core~68:DNA@7020,DB~NBPF_core~72:DNA@7020,DB~NBPF_core~74:DNA@12120,DB~NBPF_core~67:DNA@18317,DB~NBPF_core~17:DNA@18493,DB~NBPF_core~71:DNA@18670,DB~NBPF_core~73:DNA@19708,DB~NBPF_core~5:DNA@21021	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_144699240_144702777	DB~NBPF_core~35:DNA@0,DB~NBPF_core~74:DNA@0,DB~NBPF_core~86:DNA@0,DB~NBPF_core~91:DNA@0,DB~NBPF_core~95:DNA@0,DB~NBPF_core~99:DNA@0,DB~NBPF_core~66:DNA@12,DB~NBPF_core~46:DNA@690	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_145181583_145189075	RB~NBPF_core~1:RNA@0,RB~NBPF_core~35:RNA@0,RB~NBPF_core~36:RNA@11,RB~NBPF_core~37:RNA@11,DB~NBPF_core~28:DNA@26,DB~NBPF_core~59:DNA@26,DB~NBPF_core~67:DNA@26,DB~NBPF_core~75:DNA@26,DB~NBPF_core~76:DNA@26,DB~NBPF_core~77:DNA@26,DB~NBPF_core~79:DNA@26,RB~NBPF_core~13:RNA@864,RB~NBPF_core~34:RNA@864,DB~NBPF_core~42:DNA@1327,DB~NBPF_core~18:DNA@1827,DB~NBPF_core~78:DNA@2009,DB~NBPF_core~6:DNA@2802,DB~NBPF_core~37:DNA@2906,DB~NBPF_core~80:DNA@3033	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_145721210_145740087	DB~NBPF_core~84:DNA@0,RB~NBPF_core~19:RNA@0,RB~NBPF_core~22:RNA@0,RB~NBPF_core~40:RNA@0,DB~NBPF_core~54:DNA@16,RB~NBPF_core~14:RNA@170,RB~NBPF_core~26:RNA@170,RB~NBPF_core~30:RNA@170,RB~NBPF_core~38:RNA@170,DB~NBPF_core~29:DNA@189,DB~NBPF_core~60:DNA@189,DB~NBPF_core~68:DNA@189,DB~NBPF_core~81:DNA@189,DB~NBPF_core~82:DNA@189,RB~NBPF_core~39:RNA@1243,RB~NBPF_core~2:RNA@1693,RB~NBPF_core~34:RNA@1693,RB~NBPF_core~41:RNA@1868,RB~NBPF_core~42:RNA@1868,DB~NBPF_core~86:DNA@5361,DB~NBPF_core~75:DNA@11555,DB~NBPF_core~19:DNA@13278,DB~NBPF_core~83:DNA@13477,DB~NBPF_core~7:DNA@14245,DB~NBPF_core~38:DNA@14359,DB~NBPF_core~85:DNA@14479	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
NBPF_core	L~chr1_146189554_146215274	RB~NBPF_core~44:RNA@1027,DB~NBPF_core~30:DNA@1832,RB~NBPF_core~8:RNA@1832,DB~NBPF_core~69:DNA@2662,DB~NBPF_core~87:DNA@2662,RB~NBPF_core~31:RNA@2662,RB~NBPF_core~43:RNA@2662,DB~NBPF_core~61:DNA@2957,RB~NBPF_core~27:RNA@2957,DB~NBPF_core~55:DNA@9506,DB~NBPF_core~81:DNA@9506,DB~NBPF_core~89:DNA@9506,DB~NBPF_core~91:DNA@14617,DB~NBPF_core~76:DNA@20812,DB~NBPF_core~20:DNA@20985,DB~NBPF_core~88:DNA@21162,DB~NBPF_core~90:DNA@22190,DB~NBPF_core~8:DNA@23495	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
