chrom	v2_pos	offset	gene_id
chr1	111902	169	CHM13_G0000002
chr1	152394	169	CHM13_G0000005
chr1	229784	169	CHM13_G0000010
chr1	12401097	169	CHM13_G0000412
chr1	12423167	169	CHM13_G0000413
chr1	12436862	169	CHM13_G0000414
chr1	12461543	169	CHM13_G0000416
chr1	12470088	169	CHM13_G0000419
chr1	12482393	169	LOFF_G0000013
chr1	12497045	169	CHM13_G0000420
chr1	12519593	169	CHM13_G0000421
chr1	12589644	169	CHM13_G0000427
chr1	12614040	169	CHM13_G0000429
chr1	12647701	169	CHM13_G0000432
chr1	12667848	169	CHM13_G0000433
chr1	12687095	169	LOFF_G0000016
chr1	12695444	169	CHM13_G0000434
chr1	12714772	169	LOFF_G0000017
chr1	12722268	169	LOFF_G0000019
chr1	12744775	169	CHM13_G0000436
chr1	12756817	169	CHM13_G0000437
chr1	12783098	169	CHM13_G0000439
chr1	15990343	169	LOFF_G0000021
chr1	16005697	169	CHM13_G0000527
chr1	16105848	169	LOFF_G0000025
chr1	16143162	169	CHM13_G0000529
chr1	16270242	169	LOFF_G0000029
chr1	16273097	169	LOFF_G0000030
chr1	16283975	169	LOFF_G0000031
chr1	16352797	169	CHM13_G0000530
chr1	16372066	169	CHM13_G0000531
chr1	16396695	169	CHM13_G0000533
chr1	16463210	169	CHM13_G0000537
chr1	16476131	169	LOFF_G0000039
chr1	16559580	169	CHM13_G0000539
chr1	16566524	169	CHM13_G0000540
chr1	16665834	169	CHM13_G0000544
chr1	21251424	169	CHM13_G0000657
chr1	21264330	169	CHM13_G0000660
chr1	23794253	169	CHM13_G0000742
chr1	25078509	169	CHM13_G0000777
chr1	25102372	169	CHM13_G0000779
chr1	25108663	169	CHM13_G0000780
chr1	25198546	169	CHM13_G0000784
chr1	26310459	169	CHM13_G0000833
chr1	26655254	169	CHM13_G0000847
chr1	46117547	169	LOFF_G0000044
chr1	65025527	169	CHM13_G0001865
chr1	103465756	169	CHM13_G0002438
chr1	103504155	169	CHM13_G0002439
chr1	103516937	169	CHM13_G0002440
chr1	103536280	169	LOFF_G0000049
chr1	103575109	169	LOFF_G0000050
chr1	103598298	169	LOFF_G0000051
chr1	103611078	169	LOFF_G0000052
chr1	103630426	169	CHM13_G0002441
chr1	103656732	169	LOFF_G0000053
chr1	103692432	169	LOFF_G0000054
chr1	103705211	169	LOFF_G0000055
chr1	103724558	169	LOFF_G0000056
chr1	103750862	169	CHM13_G0002442
chr1	103787544	169	CHM13_G0002443
chr1	108256984	169	CHM13_G0002471
chr1	108306517	169	CHM13_G0002473
chr1	108316997	169	CHM13_G0002474
chr1	108389909	169	CHM13_G0002475
chr1	108483665	169	CHM13_G0002477
chr1	119924809	169	CHM13_G0002791
chr1	120164164	169	CHM13_G0002794
chr1	120210346	169	CHM13_G0002795
chr1	120280597	169	CHM13_G0002797
chr1	120409666	169	LOFF_G0000065
chr1	120433148	169	CHM13_G0002799
chr1	120503159	169	CHM13_G0002801
chr1	120737164	169	CHM13_G0002804
chr1	120737167	169	CHM13_G0002805
chr1	120899121	169	CHM13_G0002808
chr1	120973036	169	CHM13_G0002812
chr1	120995081	169	CHM13_G0002813
chr1	121096727	169	CHM13_G0002816
chr1	121117592	169	CHM13_G0002819
chr1	121127577	169	CHM13_G0002821
chr1	121177005	169	CHM13_G0002823
chr1	121194174	169	CHM13_G0002824
chr1	142324620	169	LOFF_G0000108
chr1	142426296	169	CHM13_G0002840
chr1	142491734	169	CHM13_G0002841
chr1	142533331	169	CHM13_G0002844
chr1	142817364	169	CHM13_G0002855
chr1	142883386	169	CHM13_G0002860
chr1	142946823	169	CHM13_G0002862
chr1	142966565	169	CHM13_G0002864
chr1	143027384	169	CHM13_G0002867
chr1	143047108	169	CHM13_G0002868
chr1	143163926	169	LOFF_G0000117
chr1	143280830	169	LOFF_G0000122
chr1	143377448	169	LOFF_G0000126
chr1	143472957	169	CHM13_G0002872
chr1	143591827	169	CHM13_G0002876
chr1	143604943	169	CHM13_G0002877
chr1	143692934	169	CHM13_G0002884
chr1	143760915	169	CHM13_G0002887
chr1	143854255	169	CHM13_G0002889
chr1	144012011	169	CHM13_G0002892
chr1	144220683	169	CHM13_G0002894
chr1	144264692	169	CHM13_G0002895
chr1	144288807	169	CHM13_G0002896
chr1	144366358	169	CHM13_G0002900
chr1	144414640	169	CHM13_G0002905
chr1	144624327	169	CHM13_G0002911
chr1	144625930	169	CHM13_G0002912
chr1	144689108	169	CHM13_G0002913
chr1	144724764	169	CHM13_G0002914
chr1	144787641	169	CHM13_G0002915
chr1	145034532	169	CHM13_G0002926
chr1	145044076	169	CHM13_G0002929
chr1	145181595	169	CHM13_G0002939
chr1	145263047	169	CHM13_G0002941
chr1	145439434	169	CHM13_G0002945
chr1	145474976	169	CHM13_G0002947
chr1	145721099	169	CHM13_G0002953
chr1	145768950	169	CHM13_G0002954
chr1	145855640	169	CHM13_G0002957
chr1	146003304	169	CHM13_G0002960
chr1	146037811	169	CHM13_G0002961
chr1	146108308	169	CHM13_G0002962
chr1	146323668	169	CHM13_G0002965
chr1	146347680	169	CHM13_G0002967
chr1	146568093	169	LOFF_G0000157
chr1	146572933	169	CHM13_G0002987
chr1	146655090	169	CHM13_G0002990
chr1	146657846	169	CHM13_G0002991
chr1	146713523	169	CHM13_G0002993
chr1	146792465	169	CHM13_G0002996
chr1	146813830	169	CHM13_G0002999
chr1	147812235	169	CHM13_G0003030
chr1	147894132	169	CHM13_G0003032
chr1	148309242	169	LOFF_G0000163
