gene_a	gene_b	dn_a	dn_b	cls	ep_impure	gstm2	mage	in_dna_loose	mean_matched_id	div_bin	colinear	chromA	startA	endA	chromB	startB	endB	same_chrom	cross_n	cross_best_idfm	cross_best_idfi	same_region	same_best_idfm	a_in_segdup	b_in_segdup	cn_status	cn_a	cn_b	cn_diff	segdup_keep_90	segdup_keep_95	segdup_keep_98
ABCD1	LOC129526391	DN_NC_073236.2_25270756_7	DN_NC_073247.2_165410205_10	TP	1	0	0	1	0.9505	id>=0.95	3	NC_073236.2	25270756	25322454	NC_073247.2	165410205	165430306	0	1	0.9544	0.9331	0	0.0	1	1	NA_both				1	1	0
ABCD1	LOC129526471	DN_NC_073236.2_22701854_7	DN_NC_073247.2_165410205_10	TP	1	0	0	1	0.9506	id>=0.95	3	NC_073236.2	22701854	22771560	NC_073247.2	165410205	165430306	0	1	0.9546	0.9376	0	0.0	1	1	NA_both				1	1	0
ABCD1	LOC129531453	DN_NC_073240.2_15970659_7	DN_NC_073247.2_165410205_10	TP	1	0	0	1	0.9457	0.90-0.95	3	NC_073240.2	15970659	16028853	NC_073247.2	165410205	165430306	0	1	0.9515	0.9343	0	0.0	1	1	NA_both				1	1	0
ACSBG1	IDH3A	DN_NC_073240.2_79048326_11	DN_NC_073240.2_79068535_14	TP	1	0	0	1	1.0	id>=0.95	1	NC_073240.2	79048326	79071119	NC_073240.2	79068535	79134184	1	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
ACTB	ACTG1	DN_NC_073228.2_10434405_6	DN_NC_073230.2_12962256_6	TP	0	0	0	1	0.895	0.80-0.90	4	NC_073228.2	10434405	10437549	NC_073230.2	12962256	12966021	0	1	0.7791	0.6757	0	0.0	1	1	NA_both				0	0	0
ADH1B	LOC101136823	DN_NC_073227.2_119617950_9	DN_NC_073227.2_119647764_9	TP	0	0	0	1	0.9061	0.90-0.95	9	NC_073227.2	119617950	119635004	NC_073227.2	119647764	119666104	1	2	0.8817	0.8523	0	0.0	1	1	NA_both				0	0	0
AKR1B10	LOC115935241	DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	TP	0	0	0	1	0.9758	id>=0.95	8	NC_073230.2	143596666	143612786	NC_073230.2	143617302	143646376	1	2	0.9331	0.6671	1	0.9331	1	1	NA_both				1	0	0
AKR7A2	LOC115933748	DN_NC_073224.2_220588830_7	DN_NC_073224.2_220611411_7	TP	0	0	0	1	0.925	0.90-0.95	5	NC_073224.2	220588830	220597024	NC_073224.2	220611411	220619269	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
ALDH1B1	LOC115935842	DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562366_2	TP	0	0	0	1	0.9194	0.90-0.95	2	NC_073236.2	32676987	32683217	NC_073237.2	24562366	24568405	0	1	0.9858	0.9615	0	0.0	1	1	NA_both				1	1	1
ALDH1B1	LOC129524687	DN_NC_073237.2_24562360_2	DN_NC_073237.2_31692944_2	TP	0	0	0	1	0.98	id>=0.95	2	NC_073237.2	24562360	24568445	NC_073237.2	31692944	31699120	1	1	0.9863	0.9689	0	0.0	1	1	NA_both				1	1	1
ALG10	ALG10B	DN_NC_073234.2_62953363_3	DN_NC_073234.2_67151860_3	TP	0	0	0	1	0.9776	id>=0.95	3	NC_073234.2	62953363	62961959	NC_073234.2	67151860	67159051	1	1	0.9475	0.761	0	0.0	1	1	NA_both				1	0	0
ANKRD18A	ANKRD18B	DN_NC_073237.2_24387014_11	DN_NC_073237.2_31481917_11	TP	0	0	0	1	0.9772	id>=0.95	10	NC_073237.2	24387014	24415087	NC_073237.2	31481917	31508326	1	1	0.9799	0.8389	0	0.0	1	1	NA_both				1	1	0
ANKRD18A	LOC101142783	DN_NC_073237.2_24387014_11	DN_NC_073237.2_29418618_13	TP	0	0	0	1	0.9791	id>=0.95	11	NC_073237.2	24387014	24415087	NC_073237.2	29418618	29453726	1	1	0.9842	0.84	0	0.0	1	1	NA_both				1	1	1
ANKRD18A	LOC115933254	DN_NC_073236.2_32935295_3	DN_NC_073237.2_24387014_11	TP	0	0	0	1	0.9656	id>=0.95	1	NC_073236.2	32935295	32988354	NC_073237.2	24387014	24415087	0	1	0.983	0.9607	0	0.0	1	1	NA_a		8		1	1	1
ANKRD18B	LOC101142783	DN_NC_073237.2_29418618_13	DN_NC_073237.2_31481917_11	TP	0	0	0	1	0.9715	id>=0.95	9	NC_073237.2	29418618	29453726	NC_073237.2	31481917	31508326	1	1	0.967	0.9429	0	0.0	1	1	NA_both				1	1	0
ANKRD18B	LOC101147259	DN_NC_073237.2_31481917_11	DN_NC_073237.2_93516915_6	TP	0	0	0	1	0.9325	0.90-0.95	5	NC_073237.2	31481917	31508326	NC_073237.2	93516915	93564415	1	1	0.9395	0.6885	0	0.0	1	1	NA_both				1	0	0
