seed_gene	tid	chrom	start	end	n_exon	strand	n_reads	identity	coverage
LOC101141440	ANSE_NC_073232.2_99738385_6	NC_073232.2	99738385	99747746	6	+	1	0.8831	0.9100
LOC101141440	ANSE_NC_073232.2_64999026_7	NC_073232.2	64999026	65008257	7	-	1	0.8469	0.9027
LOC101141440	ANSE_NC_073232.2_99723586_8	NC_073232.2	99723586	99747746	8	+	2	0.9897	0.7711
LOC101141440	ANSE_NC_073232.2_92241892_6	NC_073232.2	92241892	92248358	6	+	2	0.9493	0.7411
LOC101141440	ANSE_NC_073232.2_64999026_9	NC_073232.2	64999026	65011633	9	-	1	0.8469	0.7572
LOC101141440	ANSE_NC_073232.2_92224253_7	NC_073232.2	92224253	92248358	7	+	1	0.9564	0.5913
LOC101141440	ANSE_NC_073232.2_92237342_7	NC_073232.2	92237342	92248358	7	+	2	0.9534	0.5902
LOC109029264	ANSE_NC_073234.2_24956589_8	NC_073234.2	24956589	24963118	8	+	1	0.8464	0.5527
LOC109029264	ANSE_NC_073234.2_24957097_8	NC_073234.2	24957097	24963117	8	+	1	0.8464	0.5527
LOC109029264	ANSE_NC_073234.2_24957146_8	NC_073234.2	24957146	24963117	8	+	1	0.8464	0.5527
LOC109029264	ANSE_NC_073234.2_24954696_8	NC_073234.2	24954696	24963118	8	+	1	0.8464	0.5527
