transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.12780.1	NC_073238.2	24957653	25041728	191	137	1	copy0
STRG.12780.2	NC_073238.2	24957653	25041645	191	137	1	copy0
STRG.12780.3	NC_073238.2	24959976	25041645	190	136	1	copy0
STRG.12780.4	NC_073238.2	24959976	25041645	190	136	1	copy0
STRG.12780.5	NC_073238.2	24959976	24974866	141	114	1	copy0
STRG.12780.6	NC_073238.2	24959976	25041069	190	136	1	copy0
STRG.12780.7	NC_073238.2	24959976	25041069	190	136	1	copy0
STRG.12780.8	NC_073238.2	24959976	24968643	125	114	1	copy0
STRG.12780.9	NC_073238.2	24959976	25041645	190	136	1	copy0
STRG.12780.10	NC_073238.2	24959976	25041069	190	136	1	copy0
STRG.12780.11	NC_073238.2	24959976	25041728	190	136	1	copy0
STRG.12780.12	NC_073238.2	24959976	25041728	190	136	1	copy0
STRG.12780.13	NC_073238.2	24959976	25041069	190	136	1	copy0
STRG.12780.14	NC_073238.2	24959976	25041728	190	136	1	copy0
STRG.12780.15	NC_073238.2	24959976	25041728	190	136	1	copy0
STRG.12780.16	NC_073238.2	24959976	25041645	190	136	1	copy0
STRG.12780.17	NC_073238.2	24959976	24968643	125	114	1	copy0
STRG.12780.18	NC_073238.2	24959976	24969690	125	114	1	copy0
STRG.12780.19	NC_073238.2	24959976	24973378	141	114	1	copy0
STRG.12780.20	NC_073238.2	24959976	25041645	190	136	1	copy0
STRG.12780.21	NC_073238.2	24979509	25041645	137	88	1	copy0
STRG.12780.22	NC_073238.2	24979509	25041069	137	88	1	copy0
STRG.18294.1	NC_086018.1	27766578	27802704	50	0	0	
STRG.18294.2	NC_086018.1	27766578	27802704	50	0	0	
STRG.18294.3	NC_086018.1	27766578	27802704	50	0	0	
STRG.18294.4	NC_086018.1	27766578	27802704	50	0	0	
STRG.18294.5	NC_086018.1	27766578	27802599	50	0	0	
STRG.18294.6	NC_086018.1	27766578	27802704	50	0	0	
STRG.18295.1	NC_086018.1	27803011	27805591	123	0	0	
STRG.18295.2	NC_086018.1	27803011	27805591	123	0	0	
