gene_a	gene_b	in_rna	in_dna_loose	in_dna_whole	n_tied	expr_a	expr_b	cross_map	chrom_a	chrom_b	same_chrom	dist_bp	id	cov_a	cov_b
AARSD1	LOC134757996	0	1	0	0	1	0	0	NC_073228.2	NC_073224.2	0	-1	0.9340	0.237	0.988
ABCB5	GNG5	1	0	0	58	1	1	1	NC_073230.2	NC_073224.2	0	-1	0.0000	0.000	0.000
ABCD1	LOC101136771	0	1	0	0	1	1	0	NC_073247.2	NC_073236.2	0	-1	0.9245	0.376	0.000
ABCD1	LOC129526391	0	1	0	0	1	1	0	NC_073247.2	NC_073236.2	0	-1	0.9279	0.376	0.000
ABCD1	LOC129526471	0	1	0	0	1	1	0	NC_073247.2	NC_073236.2	0	-1	0.9266	0.377	0.575
ABCD1	LOC129527283	0	1	0	0	1	1	0	NC_073247.2	NC_073240.2	0	-1	0.9268	0.353	0.890
ABCD1	LOC129531453	0	1	0	0	1	1	0	NC_073247.2	NC_073240.2	0	-1	0.9212	0.377	0.000
ABCD1	LOC134757041	0	1	0	0	1	0	0	NC_073247.2	NC_073238.2	0	-1	0.9594	0.000	0.959
ABRAXAS1	MRPS18C	0	1	0	0	1	1	0	NC_073227.2	NC_073227.2	1	4995	1.0000	0.102	0.430
ACER2	LOC101139980	0	1	0	0	1	0	1	NC_073237.2	NC_073235.2	0	-1	0.9686	0.151	1.000
ACOT11	FAM151A	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	11592	1.0000	0.178	0.386
ACOT7	LOC101140727	0	1	0	0	1	0	0	NC_073224.2	NC_073227.2	0	-1	0.9131	0.388	0.904
ACOT8	SNX21	0	1	0	0	1	1	0	NC_073245.2	NC_073245.2	1	7741	1.0000	0.594	0.479
ACP1	LOC101146543	1	1	0	278	1	1	1	NC_073236.2	NC_073231.2	0	-1	0.9713	0.420	0.997
ACSBG1	IDH3A	0	1	0	0	1	1	0	NC_073240.2	NC_073240.2	1	19333	1.0000	0.247	0.568
ACSL4	LOC109024752	0	1	0	0	1	0	0	NC_073247.2	NC_073247.2	1	91133	1.0000	0.124	0.379
ACSM2A	LOC101149481	0	1	1	0	1	1	1	NC_073242.2	NC_073242.2	1	82672	0.9817	1.000	1.000
ACTB	ACTG1	0	1	0	0	1	1	1	NC_073230.2	NC_073228.2	0	-1	0.9156	0.526	0.467
ACTB	LOC101139634	0	1	0	0	1	1	0	NC_073230.2	NC_073235.2	0	-1	0.9154	0.938	0.000
ACTB	LOC115933751	0	1	1	0	1	1	0	NC_073230.2	NC_073235.2	0	-1	0.9098	0.915	0.545
ACTB	LOC115933765	0	1	0	0	1	1	0	NC_073230.2	NC_073235.2	0	-1	0.9190	0.615	0.000
ACTN1	LOC101151349	1	0	0	8	1	0	1	NC_073239.2	NC_073247.2	0	-1	0.0000	0.000	0.000
ACTR3	LOC109024269	0	1	0	0	1	1	0	NC_073235.2	NC_073244.2	0	-1	0.9493	0.000	0.466
ACTR3B	LOC129523865	0	1	0	0	1	0	0	NC_073230.2	NC_073230.2	1	108764338	0.9067	0.000	0.368
