fam	gene	chrom	start	end	sibling_id	unique_own	band	cause	rec_0.98	rec_0.95	rec_0.90
ID_26	SLC9B1P1	chr16	32804124	32821138	0.9473563086128531	40	90-95%	distinguishable-but-MERGED	N	N	N
ID_458	SPAG11B	chr8	12534401	12555431	0.993916349809886	20	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_260	MEP1AP4	chr9	44369523	44375633	0.9797979797979798	11	95-98%	distinguishable-but-MERGED	N	N	N
ID_261	CNTNAP3P1	chr9	80247804	80257862		24	no-sibling	distinguishable-but-MERGED	N	N	N
ID_338	DEFB108D	chr8	7634987	7639336		20	no-sibling	distinguishable-but-MERGED	N	N	N
ID_63	AC097527.1	chr2	106932223	106939096	0.9852589641434263	3	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_240	FO681492.1	chr10	48641165	48655007	0.9647001934235977	3	95-98%	distinguishable-but-MERGED	N	N	N
ID_63	ANAPC1P5	chr2	87992304	88004460		12	no-sibling	distinguishable-but-MERGED	N	N	N
ID_338	DEFB108C	chr8	7102093	7106486	0.9537163702690379	4	95-98%	distinguishable-but-MERGED	N	N	N
ID_458	SPAG11A	chr8	7171678	7192682		4	no-sibling	distinguishable-but-MERGED	N	N	N
ID_260	AL513478.2	chr9	40202700	40208822	0.9882525697503671	6	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_148	AC142384.1	chr16	34884759	34929924		3	no-sibling	distinguishable-but-MERGED	N	N	N
ID_226	H3-2	chr1	142966564	142977985	0.9898305084745763	35	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_226	H2BP1	chr1	121117591	121126640	0.9932203389830508	31	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_386	LIMS1	chr2	108994973	109147842	0.9867109634551495	1189	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_386	LIMS4	chr2	110869109	110895544		172	no-sibling	distinguishable-but-MERGED	N	N	N
ID_146	AC124944.2	chr3	198403551	198444967	0.9766666666666667	828	95-98%	distinguishable-but-MERGED	N	N	N
ID_402	NCF1	chr7	75976253	75991692	0.9934372969460689	4	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_208	CASTOR2	chr7	76167037	76233789	0.9862332311711802	119	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_12	POMZP3	chr7	77889197	77906183		186	no-sibling	distinguishable-but-MERGED	N	N	N
ID_260	MEP1AP1	chr9	77952010	77958144		37	no-sibling	distinguishable-but-MERGED	N	N	N
ID_327	CTSLP3	chr10	47641642	47647779	0.980327868852459	14	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_148	AC126603.1	chr15	18136928	18186041	0.9497902162386463	3	90-95%	distinguishable-but-MERGED	N	N	N
ID_156	WHAMMP3	chr15	20336417	20358287	0.9900373599003736	321	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_14	AC090616.5	chr17	33034040	33040757	0.9125	15	90-95%	distinguishable-but-MERGED	N	N	N
ID_215	AC245297.1	chr1	145855639	145979396	0.9858657243816255	78	98-99.9%	distinguishable-but-MERGED	N	N	N
ID_63	ANAPC1P1	chr2	86863741	86914950	1.0	28	>=99.9% (K=0)	distinguishable-but-MERGED	N	N	N
ID_407	TRIM73	chr7	76682335	76698280	1.0	27	>=99.9% (K=0)	distinguishable-but-MERGED	N	N	N
ID_35	AC008443.6	chr5	181851743	181855644	0.9861680327868853	3	98-99.9%	distinguishable-but-unseeded	N	N	N
ID_127	TCAF2	chr7	144980464	145010762	0.9988526471070316	136	98-99.9%	distinguishable-but-unseeded	N	N	N
ID_127	TCAF2C	chr7	145090337	145098763		11	no-sibling	distinguishable-but-unseeded	N	N	N
ID_251	AL356585.4	chr13	13734170	13738626	0.9514476614699332	39	95-98%	distinguishable-but-unseeded	N	N	N
ID_14	LRRC37BP1	chr17	31574334	31581958	0.9815638075313807	304	98-99.9%	distinguishable-but-unseeded	N	N	N
ID_147	ANKRD30BP2	chr21	11382453	11411385	0.9583878946602647	331	95-98%	distinguishable-but-unseeded	N	N	N
ID_175	AC134878.2	chr22	5801017	5862418	0.9056139198949442	413	90-95%	distinguishable-but-unseeded	N	N	N
ID_251	ANKRD36B	chr2	97950885	98048181	0.9875	3280	98-99.9%	distinguishable-but-unseeded	N	N	N
ID_127	AC099548.2	chr7	145042141	145117285	1.0	78	>=99.9% (K=0)	distinguishable-but-unseeded	N	N	N
ID_175	TEKT4P2	chr21	5692610	5754003	0.9871794871794872	24	98-99.9%	distinguishable-but-unseeded	N	N	N
ID_431	PPIAL4A	chr1	120899120	120899781	0.9883527454242929	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_431	PPIAL4E	chr1	143692933	143693719	0.9979838709677419	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
ID_431	PPIAL4C	chr1	148708008	148708609		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_334	DEFB104B	chr8	12522996	12527770		0	no-sibling	expressed-K=0: exon-homogenized	N	N	N
ID_332	DDX11L16	chr16	4785	7013	0.9838492597577388	0	98-99.9%	expressed-K=0: exon-homogenized	N	N	N
