family_id	seed_tid	tid	chrom	start	end	n_exon	strand	n_reads	identity	coverage
GWFAM72	DN_NC_073247.2_84611047_7	SE_NC_073247.2_84544129_7	NC_073247.2	84544129	84586429	7	+	2	1.0000	0.9795
GWFAM16	DN_NC_073229.2_49583457_41	SE_NC_073229.2_49609918_41	NC_073229.2	49609918	49624154	41	+	1	0.9769	0.9983
GWFAM45	DN_NC_073239.2_35520653_9	SE_NC_073239.2_35396951_9	NC_073239.2	35396951	35468587	9	+	1	0.9942	0.9731
GWFAM45	DN_NC_073239.2_35396928_9	SE_NC_073239.2_35520684_8	NC_073239.2	35520684	35581003	8	+	1	0.9707	0.9877
GWFAM46	DN_NC_073239.2_122741456_4	SE_NC_073239.2_122741462_5	NC_073239.2	122741462	122920232	5	-	1	1.0000	0.9521
GWFAM54	DN_NC_073242.2_26889052_8	SE_NC_073242.2_27178722_8	NC_073242.2	27178722	27222349	8	-	2	0.9682	0.9814
GWFAM55	DN_NC_073242.2_32258504_8	SE_NC_073242.2_32495364_9	NC_073242.2	32495364	32531671	9	-	2	0.9722	0.9769
GWFAM40	DN_NC_073238.2_32266748_7	SE_NC_073238.2_33425477_8	NC_073238.2	33425477	33511623	8	-	2	0.9547	0.9927
GWFAM38	DN_NC_073238.2_22875931_6	SE_NC_073236.2_21265378_6	NC_073236.2	21265378	21342125	6	-	1	0.9678	0.9777
GWFAM67	DN_NC_073245.2_35742396_2	SE_NC_073245.2_35701052_2	NC_073245.2	35701052	35747289	2	+	2	0.9997	0.9461
GWFAM36	DN_NC_073237.2_83893634_7	SE_NC_073237.2_84364262_8	NC_073237.2	84364262	84388341	8	-	1	0.9591	0.9836
GWFAM38	DN_NC_073238.2_22875931_6	SE_NC_073240.2_14397531_6	NC_073240.2	14397531	14474108	6	-	2	0.9624	0.9751
GWFAM41	DN_NC_073238.2_30171533_2	SE_NC_073238.2_33197456_2	NC_073238.2	33197456	33228323	2	+	1	0.9413	0.9953
GWFAM76	DN_NC_086017.1_209174439_6	SE_NC_086017.1_209174440_7	NC_086017.1	209174440	209212633	7	-	1	0.9887	0.9432
GWFAM48	DN_NC_073240.2_24402646_2	SE_NC_073240.2_21201978_2	NC_073240.2	21201978	21234501	2	+	1	0.9701	0.9610
GWFAM2	DN_NC_073224.2_101602474_9	SE_NC_073224.2_101594000_10	NC_073224.2	101594000	101607689	10	+	2	1.0000	0.9293
GWFAM36	DN_NC_073237.2_84204483_4	SE_NC_073237.2_84005225_4	NC_073237.2	84005225	84078830	4	-	1	0.9415	0.9869
GWFAM74	DN_NC_073247.2_164381225_3	SE_NC_073247.2_164442451_3	NC_073247.2	164442451	164446017	3	-	1	0.9605	0.9634
GWFAM67	DN_NC_073245.2_35742396_2	SE_NC_073245.2_35701086_3	NC_073245.2	35701086	35747289	3	+	1	0.9997	0.9245
GWFAM18	DN_NC_073229.2_136502913_3	SE_NC_073229.2_136550637_2	NC_073229.2	136550637	136554622	2	+	2	0.9298	0.9927
GWFAM47	DN_NC_073239.2_123333526_2	SE_NC_073239.2_123333527_2	NC_073239.2	123333527	123466889	2	-	2	0.9474	0.9731
GWFAM53	DN_NC_073242.2_27157172_8	SE_NC_073242.2_26867512_7	NC_073242.2	26867512	26886426	7	+	1	0.9454	0.9745
GWFAM80	DN_NC_086018.1_22406144_7	SE_NC_086018.1_22371802_7	NC_086018.1	22371802	22391271	7	-	2	0.9221	0.9932
GWFAM38	DN_NC_073238.2_23273370_7	SE_NC_073238.2_24374294_7	NC_073238.2	24374294	24402044	7	-	1	0.9308	0.9813
GWFAM37	DN_NC_073237.2_84364241_25	SE_NC_073237.2_83709396_25	NC_073237.2	83709396	83917728	25	+	1	0.9924	0.9186
GWFAM70	DN_NC_073247.2_59782501_5	SE_NC_073247.2_59696708_5	NC_073247.2	59696708	59704039	5	+	1	0.9693	0.9309
GWFAM29	DN_NC_073236.2_25270780_7	SE_NC_073236.2_22701878_7	NC_073236.2	22701878	22771559	7	+	1	0.9120	0.9873
GWFAM66	DN_NC_073244.2_68333010_5	SE_NC_073244.2_68293347_5	NC_073244.2	68293347	68300401	5	-	1	0.9095	0.9895
GWFAM8	DN_NC_073228.2_79926337_12	SE_NC_073228.2_83435532_12	NC_073228.2	83435532	83477430	12	-	1	0.9333	0.9640
GWFAM19	DN_NC_073230.2_64705378_4	SE_NC_073230.2_63938115_4	NC_073230.2	63938115	63959789	4	+	1	0.9655	0.9269
GWFAM55	DN_NC_073242.2_32495347_8	SE_NC_073242.2_32258512_9	NC_073242.2	32258512	32294781	9	-	2	0.9394	0.9524
GWFAM48	DN_NC_073240.2_24402678_3	SE_NC_073240.2_21202011_3	NC_073240.2	21202011	21245530	3	+	1	0.9700	0.9184
GWFAM16	DN_NC_073229.2_49609912_41	SE_NC_073229.2_49583457_41	NC_073229.2	49583457	49597694	41	+	1	0.9800	0.9057
GWFAM66	DN_NC_073244.2_68333010_5	SE_NC_073244.2_68333131_5	NC_073244.2	68333131	68424913	5	-	1	1.0000	0.8839
GWFAM36	DN_NC_073237.2_84204483_4	SE_NC_073237.2_84005233_5	NC_073237.2	84005233	84078755	5	-	1	0.9130	0.9665
GWFAM43	DN_NC_073238.2_33291944_5	SE_NC_073238.2_32460929_4	NC_073238.2	32460929	32490302	4	+	1	0.8964	0.9842
GWFAM80	DN_NC_086018.1_22406144_7	SE_NC_086018.1_22520078_8	NC_086018.1	22520078	22539545	8	-	1	0.8838	0.9971
GWFAM48	DN_NC_073240.2_24402646_2	SE_NC_073240.2_21107965_2	NC_073240.2	21107965	21234587	2	+	1	0.9793	0.8945
GWFAM57	DN_NC_073242.2_66060902_2	SE_NC_073242.2_66832275_3	NC_073242.2	66832275	66834397	3	-	2	1.0000	0.8736
GWFAM37	DN_NC_073237.2_84005209_4	SE_NC_073237.2_84204663_5	NC_073237.2	84204663	84278096	5	+	1	0.9128	0.9545
GWFAM28	DN_NC_073236.2_23070422_5	SE_NC_073238.2_25250991_4	NC_073238.2	25250991	25267149	4	-	1	0.8776	0.9923
GWFAM80	DN_NC_086018.1_22406144_7	SE_NC_086018.1_22166714_8	NC_086018.1	22166714	22186684	8	+	2	0.8763	0.9917
GWFAM39	DN_NC_073238.2_29552546_8	SE_NC_073236.2_30994254_8	NC_073236.2	30994254	31008569	8	+	1	0.8999	0.9654
GWFAM33	DN_NC_073236.2_46553271_10	SE_NC_073236.2_46432735_11	NC_073236.2	46432735	46585594	11	+	1	0.9235	0.9363
GWFAM48	DN_NC_073240.2_24402646_2	SE_NC_073240.2_21107960_3	NC_073240.2	21107960	21234587	3	+	2	0.9793	0.8820
GWFAM53	DN_NC_073242.2_27157172_8	SE_NC_073242.2_27042290_8	NC_073242.2	27042290	27176058	8	+	1	0.9774	0.8802
GWFAM58	DN_NC_073242.2_66832276_2	SE_NC_073242.2_66060507_3	NC_073242.2	66060507	66062625	3	+	2	1.0000	0.8599
GWFAM13	DN_NC_073228.2_182670660_2	SE_NC_073228.2_181540086_3	NC_073228.2	181540086	181545340	3	+	2	0.8976	0.9539
GWFAM0	DN_NC_073224.2_15783716_8	SE_NC_073224.2_19027219_8	NC_073224.2	19027219	19035384	8	-	1	0.8928	0.9527
GWFAM40	DN_NC_073238.2_32266748_7	SE_NC_073240.2_24226772_6	NC_073240.2	24226772	24300310	6	+	1	0.8941	0.9474
GWFAM50	DN_NC_073240.2_33035919_18	SE_NC_073240.2_33337179_17	NC_073240.2	33337179	33347828	17	+	1	0.8527	0.9927
GWFAM57	DN_NC_073242.2_66060902_2	SE_NC_073242.2_66832285_2	NC_073242.2	66832285	66834007	2	-	1	0.8512	0.9923
GWFAM28	DN_NC_073236.2_23070422_5	SE_NC_073240.2_17176065_6	NC_073240.2	17176065	17192309	6	-	1	0.8529	0.9841
GWFAM28	DN_NC_073236.2_23070422_5	SE_NC_073238.2_25250992_5	NC_073238.2	25250992	25267149	5	-	1	0.8447	0.9915
GWFAM67	DN_NC_073245.2_35742396_2	SE_NC_073245.2_35701194_3	NC_073245.2	35701194	35746881	3	+	1	0.9997	0.8329
GWFAM50	DN_NC_073240.2_33035919_18	SE_NC_073240.2_29616569_18	NC_073240.2	29616569	29627196	18	+	1	0.8853	0.9397
GWFAM0	DN_NC_073224.2_15783716_8	SE_NC_073224.2_29081369_8	NC_073224.2	29081369	29090914	8	-	2	0.8378	0.9896
GWFAM57	DN_NC_073242.2_66060869_2	SE_NC_073242.2_66832287_3	NC_073242.2	66832287	66834776	3	-	1	1.0000	0.8236
GWFAM0	DN_NC_073224.2_15783716_8	SE_NC_073224.2_15783766_8	NC_073224.2	15783766	15902124	8	+	1	0.8579	0.9583
GWFAM39	DN_NC_073238.2_31858809_4	SE_NC_073228.2_70518468_4	NC_073228.2	70518468	70530067	4	-	1	0.8215	0.9958
GWFAM8	DN_NC_073228.2_83435233_12	SE_NC_073228.2_79926417_12	NC_073228.2	79926417	79970835	12	-	1	0.9371	0.8724
GWFAM35	DN_NC_073236.2_92250633_16	SE_NC_073236.2_92072361_17	NC_073236.2	92072361	92328568	17	-	1	1.0000	0.8134
GWFAM28	DN_NC_073236.2_22551045_8	SE_NC_073227.2_12087823_9	NC_073227.2	12087823	12110550	9	-	1	0.8479	0.9572
GWFAM26	DN_NC_073234.2_140369418_2	SE_NC_073234.2_140369419_2	NC_073234.2	140369419	140386326	2	-	1	0.9633	0.8378
GWFAM38	DN_NC_073238.2_22875931_6	SE_NC_073236.2_30633009_6	NC_073236.2	30633009	30708415	6	+	1	0.8251	0.9751
GWFAM54	DN_NC_073242.2_27178722_8	SE_NC_073242.2_26889057_9	NC_073242.2	26889057	26932764	9	-	1	0.8892	0.8994
GWFAM49	DN_NC_073240.2_22861517_4	SE_NC_073240.2_21986618_4	NC_073240.2	21986618	22022171	4	-	1	0.9594	0.8289
GWFAM62	DN_NC_073244.2_48660338_4	SE_NC_073244.2_48919812_4	NC_073244.2	48919812	48976084	4	-	1	0.9528	0.8279
GWFAM0	DN_NC_073224.2_15783716_8	SE_NC_073224.2_19235754_9	NC_073224.2	19235754	19243905	9	-	2	0.8141	0.9680
GWFAM44	DN_NC_073239.2_32665974_8	SE_NC_073239.2_32630525_8	NC_073239.2	32630525	32646111	8	-	1	0.8005	0.9819
GWFAM62	DN_NC_073244.2_48660338_4	SE_NC_073244.2_48919821_5	NC_073244.2	48919821	48976121	5	-	2	0.9526	0.8246
GWFAM7	DN_NC_073228.2_79860005_3	SE_NC_073228.2_81589079_4	NC_073228.2	81589079	81625241	4	+	1	0.9229	0.8462
GWFAM44	DN_NC_073239.2_32630520_8	SE_NC_073239.2_32665984_8	NC_073239.2	32665984	32681488	8	-	1	0.8005	0.9713
GWFAM70	DN_NC_073247.2_59744386_5	SE_NC_073247.2_59707380_4	NC_073247.2	59707380	59713566	4	+	1	0.9807	0.7886
GWFAM14	DN_NC_073228.2_181540807_2	SE_NC_073228.2_179980535_2	NC_073228.2	179980535	179984459	2	-	2	0.9149	0.8362
GWFAM48	DN_NC_073240.2_21107960_3	SE_NC_073240.2_24402682_2	NC_073240.2	24402682	24429788	2	+	1	0.9705	0.7829
GWFAM75	DN_NC_073247.2_166902564_6	SE_NC_073247.2_166902908_6	NC_073247.2	166902908	166995694	6	-	1	1.0000	0.7471
GWFAM7	DN_NC_073228.2_83368453_5	SE_NC_073228.2_79860045_5	NC_073228.2	79860045	79867106	5	-	2	0.8799	0.8471
GWFAM42	DN_NC_073238.2_33511834_2	SE_NC_073240.2_21103721_2	NC_073240.2	21103721	21107779	2	-	2	0.9209	0.8069
GWFAM39	DN_NC_073238.2_29552546_8	SE_NC_073237.2_22953958_7	NC_073237.2	22953958	22968589	7	-	1	0.8415	0.8807
GWFAM28	DN_NC_073236.2_22551045_8	SE_NC_073236.2_24785620_9	NC_073236.2	24785620	24809046	9	+	1	0.9103	0.8138
GWFAM48	DN_NC_073240.2_21107960_3	SE_NC_073240.2_24117463_3	NC_073240.2	24117463	24144766	3	-	2	0.8467	0.8745
GWFAM15	DN_NC_073229.2_49429157_2	SE_NC_073229.2_49419328_2	NC_073229.2	49419328	49433114	2	+	1	1.0000	0.7362
GWFAM40	DN_NC_073238.2_29962913_11	SE_NC_073238.2_29894119_12	NC_073238.2	29894119	29992339	12	+	1	1.0000	0.7354
GWFAM15	DN_NC_073229.2_49429157_2	SE_NC_073229.2_49418537_2	NC_073229.2	49418537	49433114	2	+	1	1.0000	0.7318
GWFAM41	DN_NC_073238.2_30171533_2	SE_NC_073238.2_33197461_2	NC_073238.2	33197461	33227472	2	+	1	0.9712	0.7484
GWFAM12	DN_NC_073228.2_182778981_6	SE_NC_073228.2_179796833_6	NC_073228.2	179796833	179805699	6	-	1	0.9263	0.7824
GWFAM7	DN_NC_073228.2_79860005_3	SE_NC_073228.2_83368492_2	NC_073228.2	83368492	83371841	2	-	1	0.8852	0.8188
GWFAM36	DN_NC_073237.2_84588096_3	SE_NC_073237.2_84674625_3	NC_073237.2	84674625	84679994	3	+	1	1.0000	0.7238
GWFAM26	DN_NC_073234.2_140369418_2	SE_NC_073234.2_140369419_3	NC_073234.2	140369419	140397852	3	-	1	0.8625	0.8378
GWFAM62	DN_NC_073244.2_48919551_6	SE_NC_073244.2_48660603_6	NC_073244.2	48660603	48688583	6	-	2	0.9529	0.7514
GWFAM14	DN_NC_073228.2_182473922_9	SE_NC_073228.2_182638383_9	NC_073228.2	182638383	182667554	9	-	1	0.8918	0.7985
GWFAM78	DN_NC_086018.1_22166699_9	SE_NC_086018.1_22406147_8	NC_086018.1	22406147	22425689	8	-	1	0.8129	0.8606
GWFAM30	DN_NC_073236.2_32048257_8	SE_NC_073236.2_34983788_7	NC_073236.2	34983788	34991895	7	-	1	0.8469	0.8219
GWFAM30	DN_NC_073236.2_34983788_8	SE_NC_073236.2_32048259_8	NC_073236.2	32048259	32058715	8	-	1	0.8378	0.8297
GWFAM1	DN_NC_073224.2_91906991_7	SE_NC_073224.2_91908908_8	NC_073224.2	91908908	92087543	8	-	1	1.0000	0.6869
GWFAM19	DN_NC_073230.2_63938093_3	SE_NC_073230.2_64705341_4	NC_073230.2	64705341	64721434	4	+	1	0.8159	0.8370
GWFAM58	DN_NC_073242.2_66832275_2	SE_NC_073242.2_66060104_3	NC_073242.2	66060104	66062622	3	+	1	0.8607	0.7583
GWFAM25	DN_NC_073234.2_52202933_4	SE_NC_073234.2_52151538_4	NC_073234.2	52151538	52155846	4	+	1	0.8240	0.7730
GWFAM42	DN_NC_073238.2_30202645_2	SE_NC_073238.2_33193575_2	NC_073238.2	33193575	33197245	2	-	2	0.9832	0.6452
GWFAM25	DN_NC_073234.2_52202933_4	SE_NC_073234.2_52064471_5	NC_073234.2	52064471	52073422	5	-	1	0.8390	0.7456
GWFAM49	DN_NC_073240.2_20543122_2	SE_NC_073240.2_22018492_3	NC_073240.2	22018492	22022171	3	-	1	0.8357	0.7451
GWFAM61	DN_NC_073244.2_49101727_5	SE_NC_073244.2_49059445_5	NC_073244.2	49059445	49123661	5	+	1	0.9995	0.6078
GWFAM15	DN_NC_073229.2_49429157_2	SE_NC_073229.2_49418392_2	NC_073229.2	49418392	49420814	2	+	1	0.9772	0.6212
GWFAM70	DN_NC_073247.2_59782501_5	SE_NC_073247.2_59773872_4	NC_073247.2	59773872	59780305	4	+	1	1.0000	0.6044
GWFAM12	DN_NC_073228.2_179796427_6	SE_NC_073228.2_182779394_5	NC_073228.2	182779394	182787179	5	-	1	0.9852	0.6114
GWFAM10	DN_NC_073228.2_144930609_2	SE_NC_073228.2_144930603_2	NC_073228.2	144930603	144946459	2	+	1	0.8248	0.7301
GWFAM10	DN_NC_073228.2_144930609_2	SE_NC_073228.2_144930589_2	NC_073228.2	144930589	144943604	2	+	1	0.8242	0.7270
GWFAM25	DN_NC_073234.2_52151342_4	SE_NC_073234.2_52203057_4	NC_073234.2	52203057	52206658	4	+	2	0.8240	0.7253
GWFAM39	DN_NC_073238.2_29552546_8	SE_NC_073236.2_32563057_8	NC_073236.2	32563057	32576422	8	+	1	0.8835	0.6721
GWFAM50	DN_NC_073240.2_33035919_18	SE_NC_073240.2_31360632_18	NC_073240.2	31360632	31372490	18	+	1	0.9455	0.6267
